# Galanti et al. (2025, Nature Astronomy: https://doi.org/10.1038/s41550-026-02777-x) Extended Data Table 1
# occ lat_pc  r_km    lon
  53I 31.02   70176   122.37
  53E 21.89   70810   145.84
  54I 35.26   69846   178.6
  54E 16.62   71108   157.35
  60I 39.78   69482   41.99
  60E 16.35   71121   55.25
  61I 50.98   68587   120.22
  62I 56.71   68164   134.03
  62E -19.04  70981   154.84
  63I 62.68   67770   139.41
  64I 66.2    67564   134.66
  64E -43.32  69198   111.03
  65I 68.11   67463   351.04
  65E -49.12  68733   7.25
  66I 68.22   67457   29.16
  66E -48.7    68766   55.6
  67I 66.44   67551   75.01
  67E -41.76  69324   99.5
  68I 63.79   67702   63.29
  68E -31.76  70125   110.29
  69I 62.14   67803   149.95
  69E -25.17  70602   172.19
  70I 62.81   67762   176.86
  70E -26.17  70535   149.66
