       Table 1 (Garcia-Melendo et al.)

 Averaged mean zonal flow from Cassini ISS
 CB2 and CB3 images, from 2004 to 2008.

 Lat       Lat       u      sigma-u    Number
 Pc        Pg       m/s       m/s    of points
------    -----     -----   -------  ---------
-89.9     -89.9     7.1       4.7       5
-89.8     -89.8     7.5       6.7       9
-89.6     -89.7     13.2      8.1       2
-89.5     -89.6     47.5      31.7      4
-89.3     -89.4     76.3      6.0       6
-89.0     -89.2     102.1     14.7      5
-88.8     -89.0     137.4     26.1      3
-88.6     -88.9     132.5     0.0       1
-88.5     -88.8     152.8     8.4       6
-88.3     -88.6     153.1     11.0      4
-88.0     -88.4     146.4     6.8       7
-87.7     -88.1     144.1     9.9       4
-87.6     -88.0     146.6     3.8       5
-87.5     -88.0     145.7     4.4       10
-87.3     -87.8     139.4     4.2       10
-87.0     -87.6     142.6     7.8       13
-86.7     -87.3     135.0     3.8       8
-86.6     -87.2     134.4     4.0       5
-86.5     -87.2     139.7     4.7       9
-86.3     -87.0     135.5     5.8       10
-86.0     -86.7     130.2     2.6       15
-85.8     -86.6     124.3     3.7       10
-85.6     -86.4     121.9     3.6       5
-85.5     -86.3     120.1     2.6       10
-85.3     -86.2     120.6     2.9       10
-85.0     -85.9     114.4     7.4       15
-84.8     -85.8     109.2     5.3       10
-84.6     -85.6     110.9     2.8       5
-84.5     -85.5     104.1     2.8       10
-84.3     -85.4     92.9      2.1       10
-84.0     -85.1     87.2      7.5       15
-83.8     -84.9     79.7      5.1       10
-83.6     -84.8     74.6      4.7       5
-83.5     -84.7     68.9      4.4       10
-83.3     -84.5     62.3      2.9       10
-83.0     -84.3     56.2      5.1       15
-82.8     -84.1     50.7      5.2       10
-82.6     -84.0     48.5      4.8       5
-82.5     -83.9     44.7      2.9       14
-82.3     -83.7     46.2      4.5       14
-82.0     -83.5     40.0      3.6       29
-81.7     -83.2     35.2      3.8       31
-81.6     -83.1     33.3      2.2       17
-81.5     -83.1     32.3      3.2       36
-81.2     -82.9     29.3      3.3       36
-81.0     -82.7     27.1      2.5       51
-80.7     -82.5     24.4      3.5       36
-80.6     -82.3     24.4      2.2       17
-80.5     -82.2     21.6      3.2       35
-80.3     -82.1     17.8      4.8       34
-80.0     -81.8     16.1      3.0       53
-79.8     -81.7     14.1      2.2       32
-79.6     -81.5     12.2      2.0       15
-79.5     -81.4     11.1      1.8       30
-79.2     -81.2     8.7       2.6       31
