# planetographic latitude center, avg, stddev [deg], drift rate [deg E / h], error [deg/h], stddev [deg/h], wind speed, stddev [m/s], bin count
 85 , +84.58 , 0.41 , -3.801 , 0.022 , 0.32 , +42.0  , 0.2 , 2
 83 , +82.24 , 0.44 , -4.085 , 0.003 , 0.13 , +63.1  , 0.1 , 12
 81 , +80.84 , 0.32 , -4.096 , 0.002 , 0.39 , +81.2  , 0.0 , 9
 79 , +78.23 , 0.15 , -4.081 , 0.015 , 1.00 , +98.7  , 0.4 , 6
 77 , +76.11 , 0.58 , -4.070 , 0.002 , 0.36 , +116.0 , 0.1 , 11
 75 , +75.16 , 0.69 , -4.068 , 0.007 , 0.31 , +133.3 , 0.2 , 24
 73 , +73.51 , 0.50 , -4.074 , 0.004 , 0.26 , +150.7 , 0.1 , 48
 71 , +71.00 , 0.60 , -4.114 , 0.008 , 0.52 , +169.4 , 0.3 , 12
 69 , +68.74 , 0.66 , -4.072 , 0.006 , 0.28 , +184.5 , 0.3 , 23
 67 , +66.93 , 0.64 , -4.068 , 0.004 , 0.18 , +200.8 , 0.2 , 51
 65 , +65.23 , 0.59 , -4.067 , 0.005 , 0.24 , +217.0 , 0.3 , 49
 63 , +63.41 , 0.51 , -4.035 , 0.004 , 0.22 , +231.2 , 0.2 , 39
 61 , +61.30 , 0.49 , -4.050 , 0.009 , 0.18 , +247.7 , 0.6 , 22
 59 , +59.11 , 0.56 , -3.979 , 0.017 , 0.14 , +258.3 , 1.1 , 21
 57 , +57.33 , 0.43 , -3.841 , 0.017 , 0.15 , +263.4 , 1.1 , 22
 55 , +55.16 , 0.41 , -3.651 , 0.057 , 0.07 , +263.5 , 4.1 , 3
 53 , +52.34 , 0.18 , -3.094 , 0.023 , 0.15 , +234.2 , 1.7 , 11
 51 , +50.77 , 0.48 , -2.959 , 0.005 , 0.20 , +234.0 , 0.4 , 45
 49 , +48.42 , 0.50 , -2.665 , 0.005 , 0.23 , +219.5 , 0.4 , 46
 47 , +47.34 , 0.54 , -2.426 , 0.003 , 0.22 , +207.6 , 0.2 , 40
 45 , +44.54 , 0.53 , -2.031 , 0.004 , 0.16 , +180.0 , 0.3 , 17
 43 , +42.38 , 0.57 , -1.681 , 0.002 , 0.22 , +154.0 , 0.2 , 11
 41 , +40.95 , 0.41 , -1.620 , 0.012 , 0.15 , +153.0 , 1.1 , 15
 39 , +39.05 , 0.46 , -1.250 , 0.000 , 0.11 , +121.4 , 0.0 , 17
 37 , +37.67 , 0.53 , -1.248 , 0.000 , 0.19 , +124.5 , 0.0 , 25
 35 , +35.60 , 0.34 , -0.771 , 0.001 , 0.13 , +78.8  , 0.1 , 12
 33 , +33.43 , 0.53 , -0.748 , 0.001 , 0.14 , +78.3  , 0.1 , 21
 31 , +30.14 , 1.07 , -0.482 , 0.012 , 0.13 , +51.5  , 1.3 , 4
 29 , +28.89 , 0.21 , -0.487 , 0.054 , 0.15 , +53.1  , 5.9 , 3
 27 , +26.26 , 0.26 , -0.297 , 0.020 , 0.15 , +32.9  , 2.3 , 4
 25 , +25.21 , 0.53 , -0.065 , 0.000 , 0.17 , +7.4   , 0.0 , 26
 23 , +23.27 , 0.62 , -0.097 , 0.017 , 0.33 , +11.1  , 2.0 , 11
 21 , +20.38 , 0.53 , -0.058 , 0.004 , 0.17 , +6.7   , 0.5 , 13
 19 , +19.19 , 0.51 , +0.155 , 0.000 , 0.22 , -18.2  , 0.0 , 12
 17 , +17.05 , 0.64 , +0.184 , 0.000 , 0.15 , -21.8  , 0.0 , 14
 15 , +15.70 , 0.62 , +0.173 , 0.001 , 0.16 , -20.7  , 0.1 , 6
 13 , +12.85 , 0.56 , -0.003 , 0.034 , 0.09 , +0.4   , 4.1 , 3
  7 , +6.17  , 0.00 , +0.214 , 0.193 , 0.00 , -26.3  , 23.7 , 1
  5 , +5.04  , 0.39 , +0.703 , 0.063 , 0.12 , -86.8  , 7.8 , 3
  3 , +2.31  , 0.74 , +0.519 , 0.017 , 0.12 , -64.3  , 2.2 , 11
  1 , +1.51  , 0.41 , +0.367 , 0.014 , 0.23 , -45.5  , 1.7 , 20
-3  , -3.02  , 0.74 , +0.139 , 0.011 , 0.30 , -17.2  , 1.4 , 17
-5  , -5.38  , 0.48 , +0.383 , 0.009 , 0.23 , -47.3  , 1.1 , 39
-7  , -6.49  , 0.45 , +0.072 , 0.063 , 0.36 , +8.8   , 7.7 , 4
-11 , -11.30 , 0.00 , +0.255 , 0.116 , 0.00 , -31.1  , 14.1 , 1
-15 , -14.60 , 0.00 , +0.328 , 0.130 , 0.00 , -39.4  , 15.6 , 1
-17 , -16.68 , 0.00 , -0.379 , 0.099 , 0.00 , +45.0  , 11.8 , 1
-19 , -18.56 , 0.00 , +0.121 , 0.113 , 0.00 , -14.2  , 13.3 , 1
-21 , -21.24 , 0.35 , -0.060 , 0.168 , 0.36 , +6.9   , 19.5 , 2
-23 , -23.36 , 0.47 , -0.221 , 0.044 , 0.37 , +25.3  , 5.1 , 3
-25 , -24.55 , 0.56 , -0.293 , 0.042 , 0.25 , +33.0  , 4.7 , 3
-27 , -26.03 , 0.00 , -0.101 , 0.178 , 0.00 , +11.2  , 19.7 , 1
-29 , -29.43 , 0.41 , -0.603 , 0.018 , 0.19 , +65.7  , 2.0 , 5
-31 , -30.61 , 0.45 , -0.622 , 0.033 , 0.11 , +66.4  , 3.5 , 4
-33 , -33.17 , 0.82 , -1.010 , 0.005 , 0.19 , +105.7 , 0.5 , 2
-35 , -34.67 , 0.25 , -0.869 , 0.071 , 0.20 , +88.8  , 7.2 , 2
-37 , -36.06 , 0.00 , -1.140 , 0.110 , 0.00 , +113.8 , 11.0 , 1
-39 , -39.78 , 0.00 , -1.333 , 0.105 , 0.00 , +129.6 , 10.2 , 1
-41 , -41.31 , 0.00 , -1.526 , 0.198 , 0.00 , +144.2 , 18.7 , 1
-45 , -44.50 , 0.15 , -2.262 , 0.093 , 0.17 , +200.5 , 8.2 , 2
-47 , -46.22 , 0.11 , -1.816 , 0.101 , 0.24 , +155.4 , 8.7 , 2
