detailed model output for Jupiter's 100-mbar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this is the isobaric shape model at 100 mbar assuming the zonal wind profile 2016_PJ03_201803001433999163 from Tollefson et al. (2017, Icarus 296).
see jupiter_model_reference_geoid.txt for the accompanying reference geoid rotating rigidly at System III rotation.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00018        66884.857
        -0.99981          1.55153         88.89630         89.03156          0.00236          0.00018        66886.378
        -0.99963          1.54355         88.43911         88.63036          0.00334          0.00018        66887.899
        -0.99944          1.53743         88.08828         88.32247          0.00409          0.00018        66889.420
        -0.99926          1.53227         87.79250         88.06288          0.00472          0.00018        66890.940
        -0.99907          1.52772         87.53191         87.83414          0.00528          0.00018        66892.460
        -0.99889          1.52361         87.29630         87.62732          0.00578          0.00018        66893.981
        -0.99870          1.51983         87.07962         87.43711          0.00624          0.00018        66895.501
        -0.99852          1.51631         86.87793         87.26003          0.00667          0.00018        66897.020
        -0.99833          1.51300         86.68850         87.09371          0.00707          0.00018        66898.540
        -0.99814          1.50987         86.50932         86.93637          0.00745          0.00018        66900.060
        -0.99796          1.50690         86.33888         86.78670          0.00782          0.00018        66901.579
        -0.99592          1.48041         84.82152         85.45360          0.01103          0.00018        66918.281
        -0.99388          1.46008         83.65660         84.42923          0.01348          0.00018        66934.964
        -0.99184          1.44293         82.67402         83.56444          0.01554          0.00018        66951.628
        -0.98980          1.42782         81.80791         82.80149          0.01734          0.00018        66968.272
        -0.98776          1.41414         81.02449         82.11076          0.01896          0.00018        66984.896
        -0.98571          1.40156         80.30368         81.47469          0.02044          0.00018        67001.501
        -0.98367          1.38985         79.63242         80.88183          0.02181          0.00018        67018.086
        -0.98163          1.37884         79.00164         80.32422          0.02308          0.00018        67034.652
        -0.97959          1.36842         78.40473         79.79610          0.02428          0.00018        67051.198
        -0.97755          1.35851         77.83669         79.29308          0.02542          0.00018        67067.723
        -0.97551          1.34903         77.29366         78.81179          0.02650          0.00018        67084.229
        -0.97347          1.33993         76.77255         78.34953          0.02752          0.00018        67100.716
        -0.97143          1.33118         76.27087         77.90411          0.02851          0.00018        67117.182
        -0.96939          1.32272         75.78655         77.47374          0.02945          0.00018        67133.628
        -0.96735          1.31455         75.31789         77.05692          0.03035          0.00018        67150.054
        -0.96531          1.30661         74.86342         76.65237          0.03122          0.00018        67166.459
        -0.96327          1.29891         74.42190         76.25901          0.03206          0.00018        67182.845
        -0.96122          1.29141         73.99227         75.87590          0.03288          0.00018        67199.210
        -0.95918          1.28410         73.57358         75.50223          0.03366          0.00018        67215.555
        -0.95714          1.27697         73.16502         75.13729          0.03442          0.00018        67231.880
        -0.95510          1.27000         72.76587         74.78045          0.03516          0.00018        67248.184
        -0.95306          1.26319         72.37549         74.43114          0.03588          0.00018        67264.468
        -0.95102          1.25652         71.99331         74.08888          0.03657          0.00018        67280.731
        -0.94898          1.24998         71.61881         73.75322          0.03725          0.00018        67296.974
        -0.94694          1.24357         71.25154         73.42374          0.03791          0.00018        67313.196
        -0.94490          1.23728         70.89108         73.10010          0.03855          0.00018        67329.397
        -0.94286          1.23110         70.53705         72.78196          0.03918          0.00018        67345.577
        -0.94082          1.22503         70.18910         72.46902          0.03979          0.00018        67361.737
        -0.93878          1.21906         69.84693         72.16100          0.04039          0.00018        67377.876
        -0.93673          1.21318         69.51023         71.85766          0.04097          0.00018        67393.993
        -0.93469          1.20740         69.17874         71.55876          0.04154          0.00018        67410.090
        -0.93265          1.20170         68.85223         71.26409          0.04209          0.00018        67426.166
        -0.93061          1.19608         68.53045         70.97345          0.04264          0.00018        67442.220
        -0.92857          1.19055         68.21321         70.68666          0.04317          0.00018        67458.253
        -0.92653          1.18508         67.90030         70.40355          0.04369          0.00018        67474.265
        -0.92449          1.17970         67.59155         70.12396          0.04420          0.00018        67490.256
        -0.92245          1.17438         67.28677         69.84774          0.04470          0.00018        67506.226
        -0.92041          1.16912         66.98583         69.57475          0.04519          0.00018        67522.174
        -0.91837          1.16393         66.68855         69.30487          0.04566          0.00018        67538.100
        -0.91633          1.15881         66.39482         69.03798          0.04613          0.00018        67554.005
        -0.91429          1.15374         66.10449         68.77396          0.04659          0.00018        67569.888
        -0.91224          1.14873         65.81745         68.51270          0.04704          0.00018        67585.750
        -0.91020          1.14378         65.53357         68.25411          0.04748          0.00018        67601.589
        -0.90816          1.13888         65.25275         67.99809          0.04792          0.00018        67617.408
        -0.90612          1.13403         64.97488         67.74455          0.04834          0.00018        67633.204
        -0.90408          1.12923         64.69988         67.49340          0.04876          0.00018        67648.978
        -0.90204          1.12447         64.42763         67.25745          0.04939          0.00018        67664.758
        -0.90000          1.11977         64.15807         67.00657          0.04972          0.00018        67680.548
        -0.89796          1.11511         63.89109         66.75961          0.05007          0.00018        67696.295
        -0.89592          1.11049         63.62664         66.51571          0.05042          0.00018        67712.010
        -0.89388          1.10592         63.36462         66.27474          0.05079          0.00018        67727.695
        -0.89184          1.10139         63.10497         66.03714          0.05118          0.00018        67743.357
        -0.88980          1.09690         62.84761         65.80209          0.05157          0.00018        67759.005
        -0.88776          1.09245         62.59250         65.56837          0.05194          0.00018        67774.634
        -0.88571          1.08803         62.33955         65.33623          0.05230          0.00018        67790.246
        -0.88367          1.08365         62.08872         65.10596          0.05266          0.00018        67805.837
        -0.88163          1.07931         61.83994         64.87871          0.05304          0.00018        67821.414
        -0.87959          1.07500         61.59317         64.65097          0.05337          0.00018        67836.972
        -0.87755          1.07073         61.34834         64.42567          0.05371          0.00018        67852.508
        -0.87551          1.06649         61.10542         64.20185          0.05404          0.00018        67868.023
        -0.87347          1.06228         60.86434         63.97924          0.05437          0.00018        67883.519
        -0.87143          1.05811         60.62508         63.75564          0.05464          0.00018        67898.988
        -0.86939          1.05396         60.38757         63.53220          0.05488          0.00018        67914.417
        -0.86735          1.04985         60.15179         63.31161          0.05515          0.00018        67929.810
        -0.86531          1.04576         59.91768         63.09279          0.05542          0.00018        67945.172
        -0.86327          1.04170         59.68521         62.87629          0.05569          0.00018        67960.504
        -0.86122          1.03767         59.45435         62.66146          0.05597          0.00018        67975.811
        -0.85918          1.03367         59.22505         62.44624          0.05622          0.00018        67991.091
        -0.85714          1.02970         58.99728         62.23371          0.05649          0.00018        68006.340
        -0.85510          1.02575         58.77101         62.02251          0.05675          0.00018        68021.564
        -0.85306          1.02182         58.54620         61.81235          0.05701          0.00018        68036.762
        -0.85102          1.01793         58.32283         61.60327          0.05725          0.00018        68051.934
        -0.84898          1.01405         58.10086         61.39550          0.05750          0.00018        68067.080
        -0.84694          1.01020         57.88026         61.18912          0.05775          0.00018        68082.201
        -0.84490          1.00637         57.66100         60.98402          0.05800          0.00018        68097.297
        -0.84286          1.00257         57.44307         60.78014          0.05824          0.00018        68112.370
        -0.84082          0.99879         57.22642         60.57635          0.05847          0.00018        68127.418
        -0.83878          0.99503         57.01104         60.37492          0.05871          0.00018        68142.442
        -0.83673          0.99129         56.79690         60.17389          0.05894          0.00018        68157.443
        -0.83469          0.98758         56.58398         59.97333          0.05916          0.00018        68172.418
        -0.83265          0.98388         56.37224         59.77429          0.05938          0.00018        68187.367
        -0.83061          0.98021         56.16168         59.57622          0.05959          0.00018        68202.293
        -0.82857          0.97655         55.95227         59.37921          0.05981          0.00018        68217.195
        -0.82653          0.97292         55.74398         59.18312          0.06002          0.00018        68232.074
        -0.82449          0.96930         55.53680         58.98784          0.06023          0.00018        68246.929
        -0.82245          0.96570         55.33070         58.79244          0.06042          0.00018        68261.758
        -0.82041          0.96212         55.12567         58.59865          0.06061          0.00018        68276.559
        -0.81837          0.95856         54.92169         58.40619          0.06082          0.00018        68291.338
        -0.81633          0.95502         54.71874         58.21463          0.06101          0.00018        68306.093
        -0.81429          0.95150         54.51680         58.02433          0.06122          0.00018        68320.827
        -0.81224          0.94799         54.31585         57.83497          0.06142          0.00018        68335.540
        -0.81020          0.94450         54.11588         57.64633          0.06162          0.00018        68350.232
        -0.80816          0.94103         53.91686         57.45918          0.06183          0.00018        68364.906
        -0.80612          0.93757         53.71880         57.27176          0.06201          0.00018        68379.560
        -0.80408          0.93413         53.52166         57.08562          0.06220          0.00018        68394.192
        -0.80204          0.93070         53.32543         56.90067          0.06240          0.00018        68408.806
        -0.80000          0.92730         53.13010         56.71687          0.06260          0.00018        68423.402
        -0.79796          0.92390         52.93566         56.53446          0.06281          0.00018        68437.983
        -0.79592          0.92052         52.74208         56.35183          0.06300          0.00018        68452.550
        -0.79388          0.91716         52.54937         56.16898          0.06317          0.00018        68467.096
        -0.79184          0.91381         52.35749         55.98675          0.06334          0.00018        68481.622
        -0.78980          0.91048         52.16644         55.80367          0.06348          0.00018        68496.122
        -0.78776          0.90716         51.97621         55.62105          0.06361          0.00018        68510.595
        -0.78571          0.90385         51.78679         55.43888          0.06374          0.00018        68525.040
        -0.78367          0.90056         51.59816         55.25699          0.06386          0.00018        68539.454
        -0.78163          0.89728         51.41030         55.07530          0.06397          0.00018        68553.838
        -0.77959          0.89401         51.22322         54.89385          0.06406          0.00018        68568.188
        -0.77755          0.89076         51.03689         54.71324          0.06416          0.00018        68582.506
        -0.77551          0.88752         50.85131         54.53310          0.06426          0.00018        68596.791
        -0.77347          0.88430         50.66647         54.35373          0.06435          0.00018        68611.044
        -0.77143          0.88108         50.48235         54.17491          0.06445          0.00018        68625.264
        -0.76939          0.87788         50.29894         53.99670          0.06454          0.00018        68639.453
        -0.76735          0.87469         50.11624         53.81930          0.06463          0.00018        68653.609
        -0.76531          0.87152         49.93423         53.64287          0.06473          0.00018        68667.736
        -0.76327          0.86835         49.75291         53.46707          0.06482          0.00018        68681.834
        -0.76122          0.86520         49.57227         53.29151          0.06491          0.00018        68695.902
        -0.75918          0.86206         49.39229         53.11670          0.06500          0.00018        68709.941
        -0.75714          0.85893         49.21296         52.94270          0.06510          0.00018        68723.951
        -0.75510          0.85581         49.03429         52.76936          0.06519          0.00018        68737.933
        -0.75306          0.85270         48.85625         52.59614          0.06527          0.00018        68751.887
        -0.75102          0.84961         48.67885         52.42377          0.06536          0.00018        68765.812
        -0.74898          0.84652         48.50206         52.25221          0.06545          0.00018        68779.711
        -0.74694          0.84345         48.32590         52.08113          0.06554          0.00018        68793.583
        -0.74490          0.84038         48.15034         51.91058          0.06563          0.00018        68807.429
        -0.74286          0.83733         47.97537         51.74035          0.06571          0.00018        68821.249
        -0.74082          0.83428         47.80100         51.57063          0.06579          0.00018        68835.042
        -0.73878          0.83125         47.62721         51.40139          0.06587          0.00018        68848.808
        -0.73673          0.82823         47.45400         51.23238          0.06595          0.00018        68862.548
        -0.73469          0.82522         47.28136         51.06392          0.06602          0.00018        68876.260
        -0.73265          0.82221         47.10927         50.89598          0.06609          0.00018        68889.946
        -0.73061          0.81922         46.93775         50.72789          0.06615          0.00018        68903.604
        -0.72857          0.81623         46.76677         50.55978          0.06620          0.00018        68917.231
        -0.72653          0.81326         46.59633         50.39384          0.06628          0.00018        68930.833
        -0.72449          0.81029         46.42642         50.22767          0.06634          0.00018        68944.409
        -0.72245          0.80734         46.25704         50.06123          0.06640          0.00018        68957.957
        -0.72041          0.80439         46.08819         49.89591          0.06646          0.00018        68971.478
        -0.71837          0.80145         45.91985         49.73101          0.06652          0.00018        68984.972
        -0.71633          0.79852         45.75202         49.56610          0.06657          0.00018        68998.440
        -0.71429          0.79560         45.58469         49.40174          0.06662          0.00018        69011.880
        -0.71224          0.79269         45.41786         49.23759          0.06667          0.00018        69025.293
        -0.71020          0.78979         45.25152         49.07399          0.06671          0.00018        69038.678
        -0.70816          0.78689         45.08567         48.91088          0.06676          0.00018        69052.037
        -0.70612          0.78401         44.92030         48.74781          0.06680          0.00018        69065.368
        -0.70408          0.78113         44.75540         48.58546          0.06685          0.00018        69078.672
        -0.70204          0.77826         44.59097         48.42427          0.06690          0.00018        69091.951
        -0.70000          0.77540         44.42700         48.26283          0.06695          0.00018        69105.205
        -0.69796          0.77254         44.26350         48.10206          0.06700          0.00018        69118.433
        -0.69592          0.76970         44.10044         47.94128          0.06704          0.00018        69131.636
