detailed model output for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric H-BAND 2014 wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00015        24311.756
        -0.99981          1.55153         88.89630         88.95765          0.00107          0.00015        24312.007
        -0.99963          1.54355         88.43911         88.52578          0.00151          0.00015        24312.257
        -0.99944          1.53743         88.08828         88.19431          0.00185          0.00015        24312.508
        -0.99926          1.53227         87.79250         87.91480          0.00213          0.00015        24312.758
        -0.99907          1.52772         87.53191         87.66849          0.00238          0.00014        24313.008
        -0.99889          1.52361         87.29630         87.44575          0.00261          0.00014        24313.257
        -0.99870          1.51983         87.07962         87.24088          0.00281          0.00014        24313.507
        -0.99852          1.51631         86.87793         87.05014          0.00301          0.00014        24313.756
        -0.99833          1.51300         86.68850         86.87095          0.00318          0.00014        24314.004
        -0.99814          1.50987         86.50932         86.70143          0.00335          0.00014        24314.253
        -0.99796          1.50690         86.33888         86.54015          0.00351          0.00014        24314.501
        -0.99592          1.48041         84.82152         85.10280          0.00491          0.00014        24317.216
        -0.99388          1.46008         83.65660         83.99707          0.00594          0.00014        24319.900
        -0.99184          1.44293         82.67402         83.06259          0.00678          0.00014        24322.555
        -0.98980          1.42782         81.80791         82.23733          0.00749          0.00014        24325.180
        -0.98776          1.41414         81.02449         81.48950          0.00812          0.00014        24327.777
        -0.98571          1.40156         80.30368         80.80023          0.00867          0.00014        24330.346
        -0.98367          1.38985         79.63242         80.15726          0.00916          0.00014        24332.888
        -0.98163          1.37884         79.00164         79.55207          0.00961          0.00014        24335.402
        -0.97959          1.36842         78.40473         78.97847          0.01001          0.00014        24337.890
        -0.97755          1.35851         77.83669         78.43178          0.01039          0.00014        24340.351
        -0.97551          1.34903         77.29366         77.90839          0.01073          0.00014        24342.787
