detailed model output for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric K-BAND 2014 wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00012        24325.659
        -0.99981          1.55153         88.89630         88.94277          0.00081          0.00012        24325.849
        -0.99963          1.54355         88.43911         88.50479          0.00115          0.00012        24326.039
        -0.99944          1.53743         88.08828         88.16867          0.00140          0.00012        24326.229
        -0.99926          1.53227         87.79250         87.88528          0.00162          0.00012        24326.419
        -0.99907          1.52772         87.53191         87.63557          0.00181          0.00012        24326.608
        -0.99889          1.52361         87.29630         87.40979          0.00198          0.00012        24326.798
        -0.99870          1.51983         87.07962         87.20214          0.00214          0.00012        24326.987
        -0.99852          1.51631         86.87793         87.00884          0.00228          0.00012        24327.177
        -0.99833          1.51300         86.68850         86.82727          0.00242          0.00012        24327.366
        -0.99814          1.50987         86.50932         86.65552          0.00255          0.00012        24327.555
        -0.99796          1.50690         86.33888         86.49213          0.00267          0.00012        24327.744
        -0.99592          1.48041         84.82152         85.03694          0.00376          0.00012        24329.818
        -0.99388          1.46008         83.65660         83.91885          0.00458          0.00012        24331.881
        -0.99184          1.44293         82.67402         82.97504          0.00525          0.00012        24333.933
        -0.98980          1.42782         81.80791         82.14246          0.00584          0.00012        24335.973
        -0.98776          1.41414         81.02449         81.38880          0.00636          0.00012        24338.003
        -0.98571          1.40156         80.30368         80.69488          0.00683          0.00012        24340.022
        -0.98367          1.38985         79.63242         80.04820          0.00726          0.00012        24342.031
        -0.98163          1.37884         79.00164         79.44009          0.00765          0.00012        24344.029
        -0.97959          1.36842         78.40473         78.86424          0.00802          0.00012        24346.016
        -0.97755          1.35851         77.83669         78.31588          0.00836          0.00012        24347.994
        -0.97551          1.34903         77.29366         77.79131          0.00869          0.00012        24349.961
        -0.97347          1.33993         76.77255         77.28761          0.00899          0.00012        24351.919
        -0.97143          1.33118         76.27087         76.80237          0.00928          0.00012        24353.866
        -0.96939          1.32272         75.78655         76.33365          0.00955          0.00012        24355.804
        -0.96735          1.31455         75.31789         75.87980          0.00981          0.00012        24357.732
        -0.96531          1.30661         74.86342         75.44100          0.01008          0.00012        24359.652
        -0.96327          1.29891         74.42190         75.01785          0.01040          0.00012        24361.575
        -0.96122          1.29141         73.99227         74.60570          0.01071          0.00012        24363.503
        -0.95918          1.28410         73.57358         74.20365          0.01100          0.00012        24365.435
        -0.95714          1.27697         73.16502         73.81096          0.01127          0.00012        24367.370
        -0.95510          1.27000         72.76587         73.42696          0.01154          0.00012        24369.307
        -0.95306          1.26319         72.37549         73.05107          0.01179          0.00012        24371.244
        -0.95102          1.25652         71.99331         72.68276          0.01203          0.00012        24373.181
        -0.94898          1.24998         71.61881         72.32154          0.01226          0.00012        24375.116
        -0.94694          1.24357         71.25154         71.96700          0.01249          0.00012        24377.050
        -0.94490          1.23728         70.89108         71.61876          0.01270          0.00012        24378.982
        -0.94286          1.23110         70.53705         71.27646          0.01291          0.00012        24380.911
        -0.94082          1.22503         70.18910         70.93978          0.01310          0.00012        24382.836
        -0.93878          1.21906         69.84693         70.60844          0.01329          0.00012        24384.758
        -0.93673          1.21318         69.51023         70.28217          0.01347          0.00012        24386.676
        -0.93469          1.20740         69.17874         69.96071          0.01365          0.00012        24388.589
        -0.93265          1.20170         68.85223         69.64386          0.01382          0.00012        24390.498
        -0.93061          1.19608         68.53045         69.33139          0.01398          0.00012        24392.402
        -0.92857          1.19055         68.21321         69.02312          0.01414          0.00012        24394.301
        -0.92653          1.18508         67.90030         68.71885          0.01429          0.00012        24396.194
        -0.92449          1.17970         67.59155         68.41844          0.01443          0.00012        24398.082
        -0.92245          1.17438         67.28677         68.12171          0.01457          0.00012        24399.965
        -0.92041          1.16912         66.98583         67.82853          0.01471          0.00012        24401.841
        -0.91837          1.16393         66.68855         67.53875          0.01484          0.00012        24403.712
        -0.91633          1.15881         66.39482         67.25225          0.01496          0.00012        24405.577
        -0.91429          1.15374         66.10449         66.96891          0.01509          0.00012        24407.435
        -0.91224          1.14873         65.81745         66.68861          0.01520          0.00012        24409.287
        -0.91020          1.14378         65.53357         66.41125          0.01532          0.00012        24411.133
        -0.90816          1.13888         65.25275         66.13672          0.01543          0.00012        24412.973
        -0.90612          1.13403         64.97488         65.86494          0.01553          0.00012        24414.806
        -0.90408          1.12923         64.69988         65.59581          0.01564          0.00012        24416.633
        -0.90204          1.12447         64.42763         65.32925          0.01574          0.00012        24418.453
        -0.90000          1.11977         64.15807         65.06517          0.01583          0.00012        24420.266
        -0.89796          1.11511         63.89109         64.80350          0.01592          0.00012        24422.073
        -0.89592          1.11049         63.62664         64.54416          0.01601          0.00012        24423.874
        -0.89388          1.10592         63.36462         64.28710          0.01610          0.00012        24425.667
        -0.89184          1.10139         63.10497         64.03223          0.01618          0.00012        24427.454
        -0.88980          1.09690         62.84761         63.77951          0.01626          0.00012        24429.235
        -0.88776          1.09245         62.59250         63.52885          0.01634          0.00012        24431.008
        -0.88571          1.08803         62.33955         63.28023          0.01642          0.00012        24432.775
        -0.88367          1.08365         62.08872         63.03356          0.01649          0.00012        24434.536
        -0.88163          1.07931         61.83994         62.78881          0.01656          0.00012        24436.289
        -0.87959          1.07500         61.59317         62.54593          0.01663          0.00012        24438.036
        -0.87755          1.07073         61.34834         62.30485          0.01669          0.00012        24439.776
        -0.87551          1.06649         61.10542         62.06555          0.01676          0.00012        24441.509
        -0.87347          1.06228         60.86434         61.82798          0.01682          0.00012        24443.236
        -0.87143          1.05811         60.62508         61.59208          0.01688          0.00012        24444.956
        -0.86939          1.05396         60.38757         61.35783          0.01693          0.00011        24446.669
        -0.86735          1.04985         60.15179         61.12518          0.01699          0.00011        24448.376
        -0.86531          1.04576         59.91768         60.89410          0.01704          0.00011        24450.076
        -0.86327          1.04170         59.68521         60.66455          0.01709          0.00011        24451.769
        -0.86122          1.03767         59.45435         60.43649          0.01714          0.00011        24453.456
        -0.85918          1.03367         59.22505         60.20989          0.01719          0.00011        24455.136
        -0.85714          1.02970         58.99728         59.98472          0.01723          0.00011        24456.810
        -0.85510          1.02575         58.77101         59.76095          0.01728          0.00011        24458.476
        -0.85306          1.02182         58.54620         59.53854          0.01732          0.00011        24460.137
        -0.85102          1.01793         58.32283         59.31748          0.01736          0.00011        24461.791
        -0.84898          1.01405         58.10086         59.09772          0.01740          0.00011        24463.438
        -0.84694          1.01020         57.88026         58.87925          0.01744          0.00011        24465.078
        -0.84490          1.00637         57.66100         58.66203          0.01747          0.00011        24466.713
        -0.84286          1.00257         57.44307         58.44605          0.01751          0.00011        24468.340
        -0.84082          0.99879         57.22642         58.23127          0.01754          0.00011        24469.962
        -0.83878          0.99503         57.01104         58.01767          0.01757          0.00011        24471.577
        -0.83673          0.99129         56.79690         57.80524          0.01760          0.00011        24473.185
        -0.83469          0.98758         56.58398         57.59394          0.01763          0.00011        24474.787
        -0.83265          0.98388         56.37224         57.38376          0.01765          0.00011        24476.383
        -0.83061          0.98021         56.16168         57.17467          0.01768          0.00011        24477.972
        -0.82857          0.97655         55.95227         56.96666          0.01770          0.00011        24479.555
        -0.82653          0.97292         55.74398         56.75970          0.01773          0.00011        24481.132
        -0.82449          0.96930         55.53680         56.55378          0.01775          0.00011        24482.703
        -0.82245          0.96570         55.33070         56.34888          0.01777          0.00011        24484.267
        -0.82041          0.96212         55.12567         56.14497          0.01779          0.00011        24485.825
        -0.81837          0.95856         54.92169         55.94205          0.01781          0.00011        24487.377
        -0.81633          0.95502         54.71874         55.74009          0.01783          0.00011        24488.923
        -0.81429          0.95150         54.51680         55.53908          0.01784          0.00011        24490.462
        -0.81224          0.94799         54.31585         55.33900          0.01786          0.00011        24491.996
        -0.81020          0.94450         54.11588         55.13984          0.01787          0.00011        24493.523
        -0.80816          0.94103         53.91686         54.94157          0.01788          0.00011        24495.044
        -0.80612          0.93757         53.71880         54.74420          0.01790          0.00011        24496.559
        -0.80408          0.93413         53.52166         54.54769          0.01791          0.00011        24498.068
        -0.80204          0.93070         53.32543         54.35204          0.01792          0.00011        24499.571
        -0.80000          0.92730         53.13010         54.15724          0.01793          0.00011        24501.068
        -0.79796          0.92390         52.93566         53.96326          0.01794          0.00011        24502.560
        -0.79592          0.92052         52.74208         53.77011          0.01794          0.00011        24504.045
        -0.79388          0.91716         52.54937         53.57775          0.01795          0.00011        24505.524
        -0.79184          0.91381         52.35749         53.38619          0.01795          0.00011        24506.998
        -0.78980          0.91048         52.16644         53.19541          0.01796          0.00011        24508.465
        -0.78776          0.90716         51.97621         53.00539          0.01796          0.00011        24509.927
        -0.78571          0.90385         51.78679         52.81613          0.01797          0.00011        24511.383
        -0.78367          0.90056         51.59816         52.62762          0.01797          0.00011        24512.833
        -0.78163          0.89728         51.41030         52.43984          0.01797          0.00011        24514.277
        -0.77959          0.89401         51.22322         52.25278          0.01797          0.00011        24515.716
        -0.77755          0.89076         51.03689         52.06644          0.01797          0.00011        24517.148
        -0.77551          0.88752         50.85131         51.88079          0.01797          0.00011        24518.575
        -0.77347          0.88430         50.66647         51.69584          0.01797          0.00011        24519.997
        -0.77143          0.88108         50.48235         51.51158          0.01796          0.00011        24521.413
        -0.76939          0.87788         50.29894         51.32798          0.01796          0.00011        24522.823
        -0.76735          0.87469         50.11624         51.14505          0.01796          0.00011        24524.227
        -0.76531          0.87152         49.93423         50.96277          0.01795          0.00011        24525.626
        -0.76327          0.86835         49.75291         50.78114          0.01795          0.00011        24527.019
        -0.76122          0.86520         49.57227         50.60014          0.01794          0.00011        24528.407
        -0.75918          0.86206         49.39229         50.41977          0.01793          0.00011        24529.789
        -0.75714          0.85893         49.21296         50.24002          0.01793          0.00011        24531.166
        -0.75510          0.85581         49.03429         50.06088          0.01792          0.00011        24532.537
        -0.75306          0.85270         48.85625         49.88234          0.01791          0.00011        24533.903
        -0.75102          0.84961         48.67885         49.70440          0.01790          0.00011        24535.263
        -0.74898          0.84652         48.50206         49.52705          0.01789          0.00011        24536.618
        -0.74694          0.84345         48.32590         49.35027          0.01788          0.00011        24537.967
        -0.74490          0.84038         48.15034         49.17407          0.01787          0.00011        24539.311
        -0.74286          0.83733         47.97537         48.99843          0.01786          0.00011        24540.650
        -0.74082          0.83428         47.80100         48.82335          0.01784          0.00011        24541.983
        -0.73878          0.83125         47.62721         48.64882          0.01783          0.00011        24543.311
        -0.73673          0.82823         47.45400         48.47483          0.01782          0.00011        24544.634
        -0.73469          0.82522         47.28136         48.30138          0.01780          0.00011        24545.951
        -0.73265          0.82221         47.10927         48.12846          0.01779          0.00011        24547.263
        -0.73061          0.81922         46.93775         47.95607          0.01777          0.00011        24548.570
        -0.72857          0.81623         46.76677         47.78419          0.01776          0.00011        24549.872
