detailed model output for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric VOYAGER wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00018        24285.792
        -0.99981          1.55153         88.89630         88.98153          0.00149          0.00018        24286.140
        -0.99963          1.54355         88.43911         88.55945          0.00210          0.00018        24286.488
        -0.99944          1.53743         88.08828         88.23542          0.00257          0.00018        24286.835
        -0.99926          1.53227         87.79250         87.96213          0.00296          0.00018        24287.182
        -0.99907          1.52772         87.53191         87.72125          0.00330          0.00018        24287.528
        -0.99889          1.52361         87.29630         87.50337          0.00361          0.00018        24287.873
        -0.99870          1.51983         87.07962         87.30292          0.00390          0.00018        24288.218
        -0.99852          1.51631         86.87793         87.11627          0.00416          0.00018        24288.563
        -0.99833          1.51300         86.68850         86.94088          0.00440          0.00018        24288.907
        -0.99814          1.50987         86.50932         86.77492          0.00464          0.00018        24289.250
        -0.99796          1.50690         86.33888         86.61699          0.00485          0.00018        24289.593
        -0.99592          1.48041         84.82152         85.20788          0.00674          0.00017        24293.329
        -0.99388          1.46008         83.65660         84.12147          0.00811          0.00017        24297.001
        -0.99184          1.44293         82.67402         83.20142          0.00920          0.00017        24300.612
        -0.98980          1.42782         81.80791         82.38729          0.01011          0.00017        24304.162
        -0.98776          1.41414         81.02449         81.64817          0.01089          0.00017        24307.653
        -0.98571          1.40156         80.30368         80.96573          0.01155          0.00017        24311.085
        -0.98367          1.38985         79.63242         80.32805          0.01214          0.00016        24314.461
        -0.98163          1.37884         79.00164         79.72689          0.01266          0.00016        24317.781
        -0.97959          1.36842         78.40473         79.15624          0.01312          0.00016        24321.047
        -0.97755          1.35851         77.83669         78.61160          0.01352          0.00016        24324.260
        -0.97551          1.34903         77.29366         78.08947          0.01389          0.00016        24327.421
        -0.97347          1.33993         76.77255         77.58706          0.01422          0.00016        24330.531
        -0.97143          1.33118         76.27087         77.10213          0.01451          0.00016        24333.592
        -0.96939          1.32272         75.78655         76.63284          0.01477          0.00015        24336.603
        -0.96735          1.31455         75.31789         76.17764          0.01501          0.00015        24339.568
        -0.96531          1.30661         74.86342         75.73368          0.01519          0.00015        24342.485
        -0.96327          1.29891         74.42190         75.29847          0.01530          0.00015        24345.345
        -0.96122          1.29141         73.99227         74.87490          0.01540          0.00015        24348.148
        -0.95918          1.28410         73.57358         74.46209          0.01551          0.00015        24350.898
        -0.95714          1.27697         73.16502         74.05921          0.01561          0.00015        24353.600
        -0.95510          1.27000         72.76587         73.66555          0.01570          0.00014        24356.256
        -0.95306          1.26319         72.37549         73.28047          0.01579          0.00014        24358.870
        -0.95102          1.25652         71.99331         72.90341          0.01588          0.00014        24361.444
        -0.94898          1.24998         71.61881         72.53388          0.01597          0.00014        24363.980
        -0.94694          1.24357         71.25154         72.17141          0.01605          0.00014        24366.482
        -0.94490          1.23728         70.89108         71.81559          0.01614          0.00014        24368.949
        -0.94286          1.23110         70.53705         71.46605          0.01621          0.00014        24371.385
        -0.94082          1.22503         70.18910         71.12244          0.01629          0.00014        24373.791
        -0.93878          1.21906         69.84693         70.78446          0.01636          0.00014        24376.168
        -0.93673          1.21318         69.51023         70.45184          0.01643          0.00014        24378.517
        -0.93469          1.20740         69.17874         70.12429          0.01650          0.00013        24380.840
        -0.93265          1.20170         68.85223         69.80158          0.01657          0.00013        24383.138
        -0.93061          1.19608         68.53045         69.48349          0.01663          0.00013        24385.412
        -0.92857          1.19055         68.21321         69.16981          0.01670          0.00013        24387.662
        -0.92653          1.18508         67.90030         68.86035          0.01676          0.00013        24389.890
        -0.92449          1.17970         67.59155         68.55494          0.01681          0.00013        24392.097
        -0.92245          1.17438         67.28677         68.25340          0.01687          0.00013        24394.282
        -0.92041          1.16912         66.98583         67.95557          0.01693          0.00013        24396.448
        -0.91837          1.16393         66.68855         67.66133          0.01698          0.00013        24398.594
        -0.91633          1.15881         66.39482         67.37052          0.01703          0.00013        24400.721
        -0.91429          1.15374         66.10449         67.08303          0.01708          0.00013        24402.830
        -0.91224          1.14873         65.81745         66.79872          0.01713          0.00013        24404.921
        -0.91020          1.14378         65.53357         66.51749          0.01717          0.00013        24406.995
        -0.90816          1.13888         65.25275         66.23924          0.01722          0.00013        24409.052
        -0.90612          1.13403         64.97488         65.96384          0.01726          0.00013        24411.093
        -0.90408          1.12923         64.69988         65.69123          0.01730          0.00013        24413.118
        -0.90204          1.12447         64.42763         65.42130          0.01734          0.00012        24415.128
        -0.90000          1.11977         64.15807         65.15397          0.01738          0.00012        24417.123
        -0.89796          1.11511         63.89109         64.88915          0.01742          0.00012        24419.103
        -0.89592          1.11049         63.62664         64.62677          0.01746          0.00012        24421.068
        -0.89388          1.10592         63.36462         64.36676          0.01749          0.00012        24423.020
        -0.89184          1.10139         63.10497         64.10905          0.01752          0.00012        24424.958
        -0.88980          1.09690         62.84761         63.85356          0.01756          0.00012        24426.883
        -0.88776          1.09245         62.59250         63.60024          0.01759          0.00012        24428.794
        -0.88571          1.08803         62.33955         63.34903          0.01762          0.00012        24430.693
        -0.88367          1.08365         62.08872         63.09986          0.01765          0.00012        24432.579
        -0.88163          1.07931         61.83994         62.85269          0.01768          0.00012        24434.453
        -0.87959          1.07500         61.59317         62.60745          0.01770          0.00012        24436.315
        -0.87755          1.07073         61.34834         62.36410          0.01773          0.00012        24438.165
        -0.87551          1.06649         61.10542         62.12260          0.01775          0.00012        24440.004
        -0.87347          1.06228         60.86434         61.88289          0.01778          0.00012        24441.831
        -0.87143          1.05811         60.62508         61.64492          0.01780          0.00012        24443.647
        -0.86939          1.05396         60.38757         61.40867          0.01782          0.00012        24445.452
        -0.86735          1.04985         60.15179         61.17407          0.01784          0.00012        24447.246
        -0.86531          1.04576         59.91768         60.94111          0.01786          0.00012        24449.029
        -0.86327          1.04170         59.68521         60.70973          0.01788          0.00012        24450.802
        -0.86122          1.03767         59.45435         60.47990          0.01790          0.00012        24452.565
        -0.85918          1.03367         59.22505         60.25158          0.01792          0.00012        24454.318
        -0.85714          1.02970         58.99728         60.02475          0.01793          0.00012        24456.061
        -0.85510          1.02575         58.77101         59.79936          0.01795          0.00012        24457.794
        -0.85306          1.02182         58.54620         59.57539          0.01796          0.00012        24459.517
        -0.85102          1.01793         58.32283         59.35280          0.01798          0.00012        24461.231
        -0.84898          1.01405         58.10086         59.13158          0.01799          0.00012        24462.935
        -0.84694          1.01020         57.88026         58.91168          0.01800          0.00012        24464.630
        -0.84490          1.00637         57.66100         58.69307          0.01801          0.00012        24466.316
        -0.84286          1.00257         57.44307         58.47574          0.01802          0.00012        24467.993
        -0.84082          0.99879         57.22642         58.25966          0.01803          0.00012        24469.662
        -0.83878          0.99503         57.01104         58.04480          0.01804          0.00011        24471.321
        -0.83673          0.99129         56.79690         57.83115          0.01805          0.00011        24472.972
        -0.83469          0.98758         56.58398         57.61866          0.01806          0.00011        24474.614
        -0.83265          0.98388         56.37224         57.40732          0.01807          0.00011        24476.248
        -0.83061          0.98021         56.16168         57.19712          0.01807          0.00011        24477.873
        -0.82857          0.97655         55.95227         56.98803          0.01808          0.00011        24479.491
        -0.82653          0.97292         55.74398         56.78002          0.01808          0.00011        24481.100
        -0.82449          0.96930         55.53680         56.57308          0.01809          0.00011        24482.701
        -0.82245          0.96570         55.33070         56.36719          0.01809          0.00011        24484.294
        -0.82041          0.96212         55.12567         56.16233          0.01809          0.00011        24485.880
        -0.81837          0.95856         54.92169         55.95848          0.01810          0.00011        24487.457
        -0.81633          0.95502         54.71874         55.75562          0.01810          0.00011        24489.027
        -0.81429          0.95150         54.51680         55.55374          0.01810          0.00011        24490.589
        -0.81224          0.94799         54.31585         55.35282          0.01810          0.00011        24492.144
        -0.81020          0.94450         54.11588         55.15284          0.01810          0.00011        24493.691
        -0.80816          0.94103         53.91686         54.95378          0.01810          0.00011        24495.231
        -0.80612          0.93757         53.71880         54.75564          0.01810          0.00011        24496.764
        -0.80408          0.93413         53.52166         54.55839          0.01809          0.00011        24498.289
        -0.80204          0.93070         53.32543         54.36202          0.01809          0.00011        24499.808
        -0.80000          0.92730         53.13010         54.16652          0.01809          0.00011        24501.319
        -0.79796          0.92390         52.93566         53.97187          0.01809          0.00011        24502.823
        -0.79592          0.92052         52.74208         53.77806          0.01808          0.00011        24504.320
        -0.79388          0.91716         52.54937         53.58508          0.01808          0.00011        24505.810
        -0.79184          0.91381         52.35749         53.39291          0.01807          0.00011        24507.294
        -0.78980          0.91048         52.16644         53.20153          0.01807          0.00011        24508.771
        -0.78776          0.90716         51.97621         53.01095          0.01806          0.00011        24510.241
        -0.78571          0.90385         51.78679         52.82114          0.01805          0.00011        24511.704
        -0.78367          0.90056         51.59816         52.63209          0.01805          0.00011        24513.161
        -0.78163          0.89728         51.41030         52.44379          0.01804          0.00011        24514.611
        -0.77959          0.89401         51.22322         52.25624          0.01803          0.00011        24516.055
        -0.77755          0.89076         51.03689         52.06941          0.01802          0.00011        24517.492
        -0.77551          0.88752         50.85131         51.88330          0.01801          0.00011        24518.923
        -0.77347          0.88430         50.66647         51.69791          0.01800          0.00011        24520.347
        -0.77143          0.88108         50.48235         51.51321          0.01799          0.00011        24521.766
        -0.76939          0.87788         50.29894         51.32919          0.01798          0.00011        24523.178
        -0.76735          0.87469         50.11624         51.14586          0.01797          0.00011        24524.584
        -0.76531          0.87152         49.93423         50.96319          0.01796          0.00011        24525.983
        -0.76327          0.86835         49.75291         50.78119          0.01795          0.00011        24527.377
        -0.76122          0.86520         49.57227         50.59983          0.01793          0.00011        24528.765
        -0.75918          0.86206         49.39229         50.41911          0.01792          0.00011        24530.146
        -0.75714          0.85893         49.21296         50.23903          0.01791          0.00011        24531.522
        -0.75510          0.85581         49.03429         50.05957          0.01789          0.00011        24532.891
        -0.75306          0.85270         48.85625         49.88073          0.01788          0.00011        24534.255
        -0.75102          0.84961         48.67885         49.70249          0.01787          0.00011        24535.613
        -0.74898          0.84652         48.50206         49.52485          0.01785          0.00011        24536.965
        -0.74694          0.84345         48.32590         49.34781          0.01784          0.00011        24538.312
        -0.74490          0.84038         48.15034         49.17134          0.01782          0.00011        24539.652
        -0.74286          0.83733         47.97537         48.99546          0.01780          0.00011        24540.987
        -0.74082          0.83428         47.80100         48.82014          0.01779          0.00011        24542.316
        -0.73878          0.83125         47.62721         48.64538          0.01777          0.00011        24543.640
        -0.73673          0.82823         47.45400         48.47117          0.01775          0.00011        24544.958
        -0.73469          0.82522         47.28136         48.29752          0.01774          0.00011        24546.271
        -0.73265          0.82221         47.10927         48.12440          0.01772          0.00011        24547.578
        -0.73061          0.81922         46.93775         47.95181          0.01770          0.00011        24548.879
        -0.72857          0.81623         46.76677         47.77975          0.01768          0.00011        24550.175
        -0.72653          0.81326         46.59633         47.60821          0.01766          0.00011        24551.466
        -0.72449          0.81029         46.42642         47.43719          0.01764          0.00011        24552.751
        -0.72245          0.80734         46.25704         47.26667          0.01762          0.00011        24554.031
        -0.72041          0.80439         46.08819         47.09665          0.01760          0.00011        24555.306
        -0.71837          0.80145         45.91985         46.92713          0.01758          0.00011        24556.575
        -0.71633          0.79852         45.75202         46.75810          0.01756          0.00011        24557.839
        -0.71429          0.79560         45.58469         46.58955          0.01754          0.00010        24559.098
        -0.71224          0.79269         45.41786         46.42148          0.01752          0.00010        24560.351
        -0.71020          0.78979         45.25152         46.25388          0.01749          0.00010        24561.599
        -0.70816          0.78689         45.08567         46.08675          0.01747          0.00010        24562.843
        -0.70612          0.78401         44.92030         45.92007          0.01745          0.00010        24564.081
        -0.70408          0.78113         44.75540         45.75386          0.01743          0.00010        24565.314
        -0.70204          0.77826         44.59097         45.58809          0.01740          0.00010        24566.541
        -0.70000          0.77540         44.42700         45.42277          0.01738          0.00010        24567.764
        -0.69796          0.77254         44.26350         45.25789          0.01736          0.00010        24568.982
        -0.69592          0.76970         44.10044         45.09345          0.01733          0.00010        24570.195
        -0.69388          0.76686         43.93784         44.92943          0.01731          0.00010        24571.403
        -0.69184          0.76403         43.77568         44.76584          0.01728          0.00010        24572.605
        -0.68980          0.76121         43.61396         44.60267          0.01726          0.00010        24573.803
        -0.68776          0.75839         43.45267         44.43992          0.01723          0.00010        24574.996
        -0.68571          0.75558         43.29181         44.27758          0.01721          0.00010        24576.184
        -0.68367          0.75278         43.13137         44.11565          0.01718          0.00010        24577.368
        -0.68163          0.74999         42.97136         43.95412          0.01715          0.00010        24578.546
        -0.67959          0.74721         42.81176         43.79299          0.01713          0.00010        24579.720
        -0.67755          0.74443         42.65257         43.63225          0.01710          0.00010        24580.888
        -0.67551          0.74166         42.49378         43.47190          0.01707          0.00010        24582.052
        -0.67347          0.73889         42.33540         43.31194          0.01704          0.00010        24583.212
        -0.67143          0.73613         42.17742         43.15235          0.01702          0.00010        24584.366
        -0.66939          0.73338         42.01983         42.99315          0.01699          0.00010        24585.516
        -0.66735          0.73064         41.86263         42.83432          0.01696          0.00010        24586.661
        -0.66531          0.72790         41.70581         42.67586          0.01693          0.00010        24587.801
        -0.66327          0.72517         41.54938         42.51776          0.01690          0.00010        24588.937
        -0.66122          0.72245         41.39333         42.36003          0.01687          0.00010        24590.068
        -0.65918          0.71973         41.23764         42.20266          0.01684          0.00010        24591.195
        -0.65714          0.71702         41.08233         42.04564          0.01681          0.00010        24592.317
        -0.65510          0.71432         40.92739         41.88897          0.01678          0.00010        24593.434
        -0.65306          0.71162         40.77280         41.73264          0.01675          0.00010        24594.546
        -0.65102          0.70893         40.61858         41.57666          0.01672          0.00010        24595.655
        -0.64898          0.70624         40.46471         41.42103          0.01669          0.00010        24596.758
        -0.64694          0.70356         40.31119         41.26572          0.01666          0.00010        24597.857
        -0.64490          0.70089         40.15803         41.11076          0.01663          0.00010        24598.952
        -0.64286          0.69822         40.00520         40.95612          0.01660          0.00010        24600.042
        -0.64082          0.69556         39.85272         40.80181          0.01656          0.00010        24601.128
        -0.63878          0.69291         39.70057         40.64782          0.01653          0.00010        24602.209
        -0.63673          0.69026         39.54876         40.49415          0.01650          0.00010        24603.286
        -0.63469          0.68761         39.39728         40.34080          0.01647          0.00010        24604.358
        -0.63265          0.68497         39.24613         40.18777          0.01643          0.00010        24605.426
        -0.63061          0.68234         39.09531         40.03505          0.01640          0.00010        24606.489
        -0.62857          0.67972         38.94480         39.88263          0.01637          0.00010        24607.549
        -0.62653          0.67709         38.79462         39.73052          0.01633          0.00010        24608.603
        -0.62449          0.67448         38.64475         39.57871          0.01630          0.00010        24609.654
        -0.62245          0.67187         38.49519         39.42720          0.01627          0.00010        24610.700
        -0.62041          0.66926         38.34595         39.27599          0.01623          0.00010        24611.742
        -0.61837          0.66666         38.19701         39.12507          0.01620          0.00010        24612.779
        -0.61633          0.66407         38.04837         38.97444          0.01616          0.00010        24613.813
        -0.61429          0.66148         37.90004         38.82410          0.01613          0.00010        24614.842
