detailed model output for Neptunes's 1-bar reference geoid, assuming rigid rotation with period 16.11 h.
see neptune_model_voyager_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00011        24285.792
        -0.99981          1.55153         88.89630         88.93561          0.00069          0.00011        24285.953
        -0.99963          1.54355         88.43911         88.49469          0.00097          0.00011        24286.113
        -0.99944          1.53743         88.08828         88.15633          0.00119          0.00011        24286.273
        -0.99926          1.53227         87.79250         87.87106          0.00137          0.00011        24286.434
        -0.99907          1.52772         87.53191         87.61972          0.00153          0.00011        24286.594
        -0.99889          1.52361         87.29630         87.39247          0.00168          0.00011        24286.755
        -0.99870          1.51983         87.07962         87.18348          0.00181          0.00011        24286.915
        -0.99852          1.51631         86.87793         86.98894          0.00194          0.00011        24287.075
        -0.99833          1.51300         86.68850         86.80621          0.00205          0.00011        24287.235
        -0.99814          1.50987         86.50932         86.63337          0.00217          0.00011        24287.396
        -0.99796          1.50690         86.33888         86.46897          0.00227          0.00011        24287.556
        -0.99592          1.48041         84.82152         85.00506          0.00320          0.00011        24289.317
        -0.99388          1.46008         83.65660         83.88086          0.00391          0.00011        24291.075
        -0.99184          1.44293         82.67402         82.93237          0.00451          0.00011        24292.829
        -0.98980          1.42782         81.80791         82.09608          0.00503          0.00011        24294.581
        -0.98776          1.41414         81.02449         81.33941          0.00550          0.00011        24296.329
        -0.98571          1.40156         80.30368         80.64303          0.00592          0.00011        24298.075
        -0.98367          1.38985         79.63242         79.99435          0.00632          0.00011        24299.817
        -0.98163          1.37884         79.00164         79.38461          0.00668          0.00011        24301.556
        -0.97959          1.36842         78.40473         78.80746          0.00703          0.00011        24303.292
        -0.97755          1.35851         77.83669         78.25807          0.00735          0.00011        24305.025
        -0.97551          1.34903         77.29366         77.73272          0.00766          0.00011        24306.755
        -0.97347          1.33993         76.77255         77.22845          0.00796          0.00011        24308.482
        -0.97143          1.33118         76.27087         76.74285          0.00824          0.00011        24310.205
        -0.96939          1.32272         75.78655         76.27392          0.00851          0.00011        24311.926
        -0.96735          1.31455         75.31789         75.82003          0.00876          0.00011        24313.643
        -0.96531          1.30661         74.86342         75.37977          0.00901          0.00011        24315.357
        -0.96327          1.29891         74.42190         74.95194          0.00925          0.00011        24317.068
        -0.96122          1.29141         73.99227         74.53551          0.00948          0.00011        24318.776
        -0.95918          1.28410         73.57358         74.12958          0.00970          0.00011        24320.481
        -0.95714          1.27697         73.16502         73.73336          0.00992          0.00011        24322.183
        -0.95510          1.27000         72.76587         73.34617          0.01013          0.00011        24323.881
        -0.95306          1.26319         72.37549         72.96738          0.01033          0.00011        24325.577
        -0.95102          1.25652         71.99331         72.59644          0.01053          0.00011        24327.269
        -0.94898          1.24998         71.61881         72.23287          0.01072          0.00011        24328.958
        -0.94694          1.24357         71.25154         71.87622          0.01090          0.00011        24330.644
        -0.94490          1.23728         70.89108         71.52609          0.01108          0.00011        24332.327
        -0.94286          1.23110         70.53705         71.18211          0.01126          0.00011        24334.007
        -0.94082          1.22503         70.18910         70.84396          0.01143          0.00011        24335.683
        -0.93878          1.21906         69.84693         70.51132          0.01160          0.00011        24337.357
        -0.93673          1.21318         69.51023         70.18392          0.01176          0.00011        24339.027
        -0.93469          1.20740         69.17874         69.86151          0.01192          0.00011        24340.694
        -0.93265          1.20170         68.85223         69.54385          0.01207          0.00011        24342.358
        -0.93061          1.19608         68.53045         69.23071          0.01222          0.00011        24344.018
        -0.92857          1.19055         68.21321         68.92191          0.01237          0.00011        24345.676
        -0.92653          1.18508         67.90030         68.61724          0.01251          0.00011        24347.330
        -0.92449          1.17970         67.59155         68.31654          0.01265          0.00011        24348.981
        -0.92245          1.17438         67.28677         68.01964          0.01279          0.00011        24350.629
        -0.92041          1.16912         66.98583         67.72639          0.01293          0.00011        24352.274
        -0.91837          1.16393         66.68855         67.43664          0.01306          0.00011        24353.915
        -0.91633          1.15881         66.39482         67.15027          0.01319          0.00011        24355.554
        -0.91429          1.15374         66.10449         66.86715          0.01331          0.00011        24357.189
        -0.91224          1.14873         65.81745         66.58715          0.01343          0.00011        24358.821
        -0.91020          1.14378         65.53357         66.31018          0.01355          0.00011        24360.450
        -0.90816          1.13888         65.25275         66.03611          0.01367          0.00011        24362.075
        -0.90612          1.13403         64.97488         65.76486          0.01379          0.00011        24363.697
        -0.90408          1.12923         64.69988         65.49633          0.01390          0.00011        24365.317
        -0.90204          1.12447         64.42763         65.23043          0.01401          0.00011        24366.932
        -0.90000          1.11977         64.15807         64.96708          0.01412          0.00011        24368.545
        -0.89796          1.11511         63.89109         64.70619          0.01423          0.00011        24370.155
        -0.89592          1.11049         63.62664         64.44770          0.01433          0.00011        24371.761
        -0.89388          1.10592         63.36462         64.19152          0.01443          0.00011        24373.364
        -0.89184          1.10139         63.10497         63.93759          0.01453          0.00011        24374.964
        -0.88980          1.09690         62.84761         63.68585          0.01463          0.00011        24376.560
        -0.88776          1.09245         62.59250         63.43623          0.01473          0.00011        24378.154
        -0.88571          1.08803         62.33955         63.18867          0.01482          0.00011        24379.744
        -0.88367          1.08365         62.08872         62.94312          0.01491          0.00011        24381.330
        -0.88163          1.07931         61.83994         62.69952          0.01500          0.00011        24382.914
        -0.87959          1.07500         61.59317         62.45782          0.01509          0.00011        24384.494
        -0.87755          1.07073         61.34834         62.21797          0.01518          0.00011        24386.072
        -0.87551          1.06649         61.10542         61.97992          0.01526          0.00011        24387.645
        -0.87347          1.06228         60.86434         61.74362          0.01535          0.00011        24389.216
        -0.87143          1.05811         60.62508         61.50904          0.01543          0.00011        24390.783
        -0.86939          1.05396         60.38757         61.27612          0.01551          0.00011        24392.348
        -0.86735          1.04985         60.15179         61.04484          0.01559          0.00011        24393.908
        -0.86531          1.04576         59.91768         60.81514          0.01566          0.00011        24395.466
        -0.86327          1.04170         59.68521         60.58700          0.01574          0.00011        24397.020
        -0.86122          1.03767         59.45435         60.36037          0.01581          0.00011        24398.571
        -0.85918          1.03367         59.22505         60.13522          0.01589          0.00011        24400.119
        -0.85714          1.02970         58.99728         59.91152          0.01596          0.00011        24401.664
        -0.85510          1.02575         58.77101         59.68924          0.01603          0.00011        24403.205
        -0.85306          1.02182         58.54620         59.46833          0.01609          0.00011        24404.743
        -0.85102          1.01793         58.32283         59.24879          0.01616          0.00011        24406.277
        -0.84898          1.01405         58.10086         59.03057          0.01623          0.00011        24407.809
        -0.84694          1.01020         57.88026         58.81364          0.01629          0.00011        24409.337
        -0.84490          1.00637         57.66100         58.59799          0.01635          0.00011        24410.862
        -0.84286          1.00257         57.44307         58.38357          0.01641          0.00011        24412.383
        -0.84082          0.99879         57.22642         58.17038          0.01648          0.00011        24413.901
        -0.83878          0.99503         57.01104         57.95838          0.01653          0.00011        24415.416
        -0.83673          0.99129         56.79690         57.74755          0.01659          0.00011        24416.928
        -0.83469          0.98758         56.58398         57.53786          0.01665          0.00011        24418.436
        -0.83265          0.98388         56.37224         57.32930          0.01670          0.00011        24419.941
        -0.83061          0.98021         56.16168         57.12184          0.01676          0.00011        24421.443
        -0.82857          0.97655         55.95227         56.91546          0.01681          0.00011        24422.941
        -0.82653          0.97292         55.74398         56.71014          0.01686          0.00011        24424.436
        -0.82449          0.96930         55.53680         56.50587          0.01691          0.00011        24425.928
        -0.82245          0.96570         55.33070         56.30261          0.01696          0.00011        24427.416
        -0.82041          0.96212         55.12567         56.10036          0.01701          0.00011        24428.901
        -0.81837          0.95856         54.92169         55.89910          0.01706          0.00011        24430.383
        -0.81633          0.95502         54.71874         55.69880          0.01711          0.00011        24431.861
        -0.81429          0.95150         54.51680         55.49945          0.01715          0.00011        24433.337
        -0.81224          0.94799         54.31585         55.30104          0.01719          0.00011        24434.808
        -0.81020          0.94450         54.11588         55.10354          0.01724          0.00011        24436.277
        -0.80816          0.94103         53.91686         54.90694          0.01728          0.00011        24437.742
        -0.80612          0.93757         53.71880         54.71124          0.01732          0.00011        24439.204
        -0.80408          0.93413         53.52166         54.51640          0.01736          0.00011        24440.662
        -0.80204          0.93070         53.32543         54.32242          0.01740          0.00011        24442.117
        -0.80000          0.92730         53.13010         54.12928          0.01744          0.00011        24443.569
        -0.79796          0.92390         52.93566         53.93697          0.01748          0.00011        24445.017
        -0.79592          0.92052         52.74208         53.74548          0.01751          0.00011        24446.462
        -0.79388          0.91716         52.54937         53.55479          0.01755          0.00011        24447.904
        -0.79184          0.91381         52.35749         53.36489          0.01758          0.00011        24449.342
        -0.78980          0.91048         52.16644         53.17576          0.01762          0.00011        24450.777
        -0.78776          0.90716         51.97621         52.98740          0.01765          0.00011        24452.209
        -0.78571          0.90385         51.78679         52.79980          0.01768          0.00011        24453.637
        -0.78367          0.90056         51.59816         52.61293          0.01771          0.00011        24455.062
        -0.78163          0.89728         51.41030         52.42680          0.01774          0.00011        24456.483
        -0.77959          0.89401         51.22322         52.24138          0.01777          0.00011        24457.901
        -0.77755          0.89076         51.03689         52.05668          0.01780          0.00011        24459.316
        -0.77551          0.88752         50.85131         51.87267          0.01783          0.00011        24460.727
        -0.77347          0.88430         50.66647         51.68935          0.01785          0.00011        24462.135
        -0.77143          0.88108         50.48235         51.50670          0.01788          0.00011        24463.540
        -0.76939          0.87788         50.29894         51.32472          0.01790          0.00011        24464.941
        -0.76735          0.87469         50.11624         51.14340          0.01793          0.00011        24466.339
        -0.76531          0.87152         49.93423         50.96273          0.01795          0.00011        24467.733
        -0.76327          0.86835         49.75291         50.78270          0.01797          0.00011        24469.124
        -0.76122          0.86520         49.57227         50.60330          0.01799          0.00011        24470.512
        -0.75918          0.86206         49.39229         50.42452          0.01802          0.00011        24471.896
        -0.75714          0.85893         49.21296         50.24635          0.01804          0.00011        24473.277
        -0.75510          0.85581         49.03429         50.06879          0.01806          0.00011        24474.655
        -0.75306          0.85270         48.85625         49.89182          0.01807          0.00011        24476.029
        -0.75102          0.84961         48.67885         49.71544          0.01809          0.00011        24477.399
        -0.74898          0.84652         48.50206         49.53964          0.01811          0.00011        24478.766
        -0.74694          0.84345         48.32590         49.36441          0.01813          0.00011        24480.130
        -0.74490          0.84038         48.15034         49.18975          0.01814          0.00011        24481.491
        -0.74286          0.83733         47.97537         49.01564          0.01816          0.00011        24482.848
        -0.74082          0.83428         47.80100         48.84209          0.01817          0.00011        24484.201
        -0.73878          0.83125         47.62721         48.66907          0.01818          0.00011        24485.551
        -0.73673          0.82823         47.45400         48.49660          0.01820          0.00011        24486.898
        -0.73469          0.82522         47.28136         48.32465          0.01821          0.00011        24488.241
        -0.73265          0.82221         47.10927         48.15322          0.01822          0.00011        24489.581
        -0.73061          0.81922         46.93775         47.98231          0.01823          0.00011        24490.917
        -0.72857          0.81623         46.76677         47.81190          0.01824          0.00011        24492.250
        -0.72653          0.81326         46.59633         47.64200          0.01825          0.00011        24493.580
        -0.72449          0.81029         46.42642         47.47260          0.01826          0.00011        24494.906
        -0.72245          0.80734         46.25704         47.30368          0.01827          0.00011        24496.229
        -0.72041          0.80439         46.08819         47.13525          0.01827          0.00011        24497.548
        -0.71837          0.80145         45.91985         46.96730          0.01828          0.00011        24498.864
