detailed model output for Saturns's 100-mbar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this is the isobaric shape model at 100 mbar assuming the zonal wind profile from García-Melendo et al. (2011, Icarus 215).
see saturn_model_reference_geoid.txt for the accompanying reference geoid rotating rigidly with period 10h35m.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00016        54445.686
        -0.99981          1.55153         88.89630         89.08693          0.00333          0.00016        54447.431
        -0.99963          1.54355         88.43911         88.70866          0.00470          0.00016        54449.176
        -0.99944          1.53743         88.08828         88.41836          0.00576          0.00016        54450.921
        -0.99926          1.53227         87.79250         88.17359          0.00665          0.00016        54452.665
        -0.99907          1.52772         87.53191         87.95791          0.00744          0.00016        54454.410
        -0.99889          1.52361         87.29630         87.76289          0.00814          0.00016        54456.154
        -0.99870          1.51983         87.07962         87.58352          0.00879          0.00016        54457.898
        -0.99852          1.51631         86.87793         87.41655          0.00940          0.00016        54459.642
        -0.99833          1.51300         86.68850         87.25970          0.00997          0.00016        54461.386
        -0.99814          1.50987         86.50932         87.11133          0.01051          0.00016        54463.130
        -0.99796          1.50690         86.33888         86.97019          0.01102          0.00016        54464.874
        -0.99592          1.48041         84.82152         85.71286          0.01556          0.00016        54484.047
        -0.99388          1.46008         83.65660         84.74649          0.01902          0.00016        54503.207
        -0.99184          1.44293         82.67402         83.93047          0.02193          0.00016        54522.352
        -0.98980          1.42782         81.80791         83.21037          0.02448          0.00016        54541.484
        -0.98776          1.41414         81.02449         82.55828          0.02677          0.00016        54560.601
        -0.98571          1.40156         80.30368         81.95766          0.02887          0.00016        54579.705
        -0.98367          1.38985         79.63242         81.41258          0.03107          0.00016        54598.891
        -0.98163          1.37884         79.00164         80.88647          0.03290          0.00016        54618.137
        -0.97959          1.36842         78.40473         80.39392          0.03472          0.00017        54637.388
        -0.97755          1.35851         77.83669         79.91911          0.03635          0.00017        54656.634
        -0.97551          1.34903         77.29366         79.48703          0.03828          0.00017        54675.968
        -0.97347          1.33993         76.77255         79.07015          0.04010          0.00017        54695.462
        -0.97143          1.33118         76.27087         78.67626          0.04198          0.00017        54715.113
        -0.96939          1.32272         75.78655         78.31988          0.04421          0.00017        54735.073
        -0.96735          1.31455         75.31789         77.92775          0.04555          0.00017        54755.194
        -0.96531          1.30661         74.86342         77.52093          0.04638          0.00017        54775.159
        -0.96327          1.29891         74.42190         77.12366          0.04715          0.00017        54794.927
        -0.96122          1.29141         73.99227         76.71354          0.04750          0.00017        54814.396
        -0.95918          1.28410         73.57358         76.34641          0.04840          0.00017        54833.610
        -0.95714          1.27697         73.16502         75.98485          0.04922          0.00016        54852.708
        -0.95510          1.27000         72.76587         75.63470          0.05007          0.00016        54871.706
        -0.95306          1.26319         72.37549         75.29757          0.05100          0.00016        54890.615
        -0.95102          1.25652         71.99331         74.96920          0.05194          0.00016        54909.476
        -0.94898          1.24998         71.61881         74.64450          0.05281          0.00016        54928.289
        -0.94694          1.24357         71.25154         74.33045          0.05374          0.00016        54947.064
        -0.94490          1.23728         70.89108         74.01938          0.05460          0.00016        54965.811
        -0.94286          1.23110         70.53705         73.71561          0.05548          0.00016        54984.524
        -0.94082          1.22503         70.18910         73.41813          0.05636          0.00016        55003.218
        -0.93878          1.21906         69.84693         73.12526          0.05722          0.00016        55021.895
        -0.93673          1.21318         69.51023         72.83642          0.05805          0.00016        55040.555
        -0.93469          1.20740         69.17874         72.55269          0.05889          0.00016        55059.198
        -0.93265          1.20170         68.85223         72.27415          0.05972          0.00016        55077.830
        -0.93061          1.19608         68.53045         71.99907          0.06054          0.00016        55096.456
        -0.92857          1.19055         68.21321         71.72763          0.06134          0.00016        55115.072
        -0.92653          1.18508         67.90030         71.46062          0.06214          0.00016        55133.681
        -0.92449          1.17970         67.59155         71.19640          0.06292          0.00016        55152.287
        -0.92245          1.17438         67.28677         70.93569          0.06369          0.00016        55170.885
        -0.92041          1.16912         66.98583         70.67833          0.06445          0.00016        55189.478
        -0.91837          1.16393         66.68855         70.42507          0.06521          0.00016        55208.072
        -0.91633          1.15881         66.39482         70.17327          0.06595          0.00016        55226.663
        -0.91429          1.15374         66.10449         69.92605          0.06670          0.00016        55245.253
        -0.91224          1.14873         65.81745         69.68238          0.06746          0.00016        55263.847
        -0.91020          1.14378         65.53357         69.44236          0.06822          0.00016        55282.456
        -0.90816          1.13888         65.25275         69.20575          0.06899          0.00016        55301.078
        -0.90612          1.13403         64.97488         68.97079          0.06974          0.00016        55319.715
        -0.90408          1.12923         64.69988         68.73711          0.07046          0.00016        55338.362
        -0.90204          1.12447         64.42763         68.50572          0.07118          0.00016        55357.018
        -0.90000          1.11977         64.15807         68.27602          0.07187          0.00016        55375.682
        -0.89796          1.11511         63.89109         68.04891          0.07257          0.00017        55394.351
        -0.89592          1.11049         63.62664         67.83060          0.07337          0.00017        55413.046
        -0.89388          1.10592         63.36462         67.61273          0.07414          0.00017        55431.774
        -0.89184          1.10139         63.10497         67.40053          0.07497          0.00017        55450.541
        -0.88980          1.09690         62.84761         67.18854          0.07576          0.00017        55469.352
        -0.88776          1.09245         62.59250         66.97748          0.07653          0.00017        55488.197
        -0.88571          1.08803         62.33955         66.77264          0.07737          0.00017        55507.091
        -0.88367          1.08365         62.08872         66.56325          0.07810          0.00017        55526.024
        -0.88163          1.07931         61.83994         66.34661          0.07866          0.00017        55544.963
        -0.87959          1.07500         61.59317         66.12816          0.07915          0.00017        55563.883
        -0.87755          1.07073         61.34834         65.90773          0.07958          0.00017        55582.770
        -0.87551          1.06649         61.10542         65.68489          0.07993          0.00017        55601.609
        -0.87347          1.06228         60.86434         65.46243          0.08025          0.00017        55620.389
        -0.87143          1.05811         60.62508         65.24279          0.08059          0.00017        55639.111
        -0.86939          1.05396         60.38757         65.02592          0.08095          0.00017        55657.785
        -0.86735          1.04985         60.15179         64.81206          0.08134          0.00017        55676.414
        -0.86531          1.04576         59.91768         64.60026          0.08173          0.00017        55695.006
        -0.86327          1.04170         59.68521         64.39148          0.08214          0.00017        55713.565
        -0.86122          1.03767         59.45435         64.18433          0.08255          0.00017        55732.096
        -0.85918          1.03367         59.22505         63.97923          0.08298          0.00017        55750.601
        -0.85714          1.02970         58.99728         63.77657          0.08341          0.00017        55769.084
        -0.85510          1.02575         58.77101         63.57603          0.08386          0.00017        55787.551
        -0.85306          1.02182         58.54620         63.37734          0.08432          0.00017        55806.004
        -0.85102          1.01793         58.32283         63.18028          0.08478          0.00017        55824.446
        -0.84898          1.01405         58.10086         62.98503          0.08524          0.00017        55842.879
        -0.84694          1.01020         57.88026         62.79163          0.08572          0.00017        55861.306
        -0.84490          1.00637         57.66100         62.60013          0.08620          0.00017        55879.730
        -0.84286          1.00257         57.44307         62.40965          0.08668          0.00017        55898.152
        -0.84082          0.99879         57.22642         62.21955          0.08715          0.00017        55916.572
        -0.83878          0.99503         57.01104         62.03024          0.08760          0.00017        55934.988
        -0.83673          0.99129         56.79690         61.84219          0.08806          0.00017        55953.399
        -0.83469          0.98758         56.58398         61.65379          0.08849          0.00017        55971.806
        -0.83265          0.98388         56.37224         61.46397          0.08887          0.00017        55990.200
        -0.83061          0.98021         56.16168         61.27301          0.08921          0.00017        56008.573
        -0.82857          0.97655         55.95227         61.08082          0.08951          0.00017        56026.918
        -0.82653          0.97292         55.74398         60.88801          0.08978          0.00017        56045.229
        -0.82449          0.96930         55.53680         60.69464          0.09002          0.00017        56063.501
        -0.82245          0.96570         55.33070         60.50076          0.09023          0.00017        56081.729
