detailed model output for Saturn's 100-mbar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model is the reference geoid assumed to be rigidly rotating with period 10h35m.
see saturn_model.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00016        54445.686
        -0.99981          1.55153         88.89630         89.08877          0.00336          0.00016        54447.448
        -0.99963          1.54355         88.43911         88.71126          0.00475          0.00016        54449.210
        -0.99944          1.53743         88.08828         88.42155          0.00582          0.00016        54450.971
        -0.99926          1.53227         87.79250         88.17727          0.00672          0.00016        54452.733
        -0.99907          1.52772         87.53191         87.96202          0.00751          0.00016        54454.494
        -0.99889          1.52361         87.29630         87.76740          0.00822          0.00016        54456.255
        -0.99870          1.51983         87.07962         87.58839          0.00888          0.00016        54458.016
        -0.99852          1.51631         86.87793         87.42175          0.00949          0.00016        54459.777
        -0.99833          1.51300         86.68850         87.26522          0.01007          0.00016        54461.538
        -0.99814          1.50987         86.50932         87.11715          0.01061          0.00016        54463.298
        -0.99796          1.50690         86.33888         86.97629          0.01112          0.00016        54465.059
        -0.99592          1.48041         84.82152         85.72149          0.01571          0.00016        54484.418
        -0.99388          1.46008         83.65660         84.75706          0.01921          0.00016        54503.763
        -0.99184          1.44293         82.67402         83.94267          0.02214          0.00016        54523.095
        -0.98980          1.42782         81.80791         83.22400          0.02472          0.00016        54542.413
        -0.98776          1.41414         81.02449         82.57322          0.02703          0.00016        54561.717
        -0.98571          1.40156         80.30368         81.97379          0.02915          0.00016        54581.007
        -0.98367          1.38985         79.63242         81.41494          0.03111          0.00016        54600.284
        -0.98163          1.37884         79.00164         80.88921          0.03294          0.00016        54619.546
        -0.97959          1.36842         78.40473         80.39116          0.03467          0.00016        54638.794
        -0.97755          1.35851         77.83669         79.91667          0.03630          0.00016        54658.029
        -0.97551          1.34903         77.29366         79.46258          0.03785          0.00016        54677.250
        -0.97347          1.33993         76.77255         79.02634          0.03934          0.00016        54696.456
        -0.97143          1.33118         76.27087         78.60590          0.04075          0.00016        54715.648
        -0.96939          1.32272         75.78655         78.19957          0.04212          0.00016        54734.827
        -0.96735          1.31455         75.31789         77.80594          0.04342          0.00016        54753.991
        -0.96531          1.30661         74.86342         77.42382          0.04469          0.00016        54773.141
        -0.96327          1.29891         74.42190         77.05218          0.04591          0.00016        54792.276
        -0.96122          1.29141         73.99227         76.69015          0.04709          0.00016        54811.398
        -0.95918          1.28410         73.57358         76.33696          0.04823          0.00016        54830.504
        -0.95714          1.27697         73.16502         75.99194          0.04934          0.00016        54849.597
        -0.95510          1.27000         72.76587         75.65450          0.05042          0.00016        54868.675
        -0.95306          1.26319         72.37549         75.32412          0.05146          0.00016        54887.738
        -0.95102          1.25652         71.99331         75.00033          0.05248          0.00016        54906.787
        -0.94898          1.24998         71.61881         74.68271          0.05348          0.00016        54925.822
        -0.94694          1.24357         71.25154         74.37087          0.05444          0.00016        54944.841
        -0.94490          1.23728         70.89108         74.06449          0.05539          0.00016        54963.846
        -0.94286          1.23110         70.53705         73.76326          0.05631          0.00016        54982.836
        -0.94082          1.22503         70.18910         73.46688          0.05721          0.00016        55001.812
