polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the h-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
    0   24318.25132974   24776.20646489
    1   24304.70259240   24761.99322163
    2   24317.30610903   24775.21484014
    3   24319.32888668   24777.33693097
    4   24309.40544678   24766.92657275
    5   24319.16288596   24777.16277887
    6   24312.87093744   24770.56202156
    7   24315.52319657   24773.34441697
    8   24313.66648657   24771.39659967
    9   24305.57692789   24762.91039746
   10   24310.09726099   24767.65230836
   11   24313.80810418   24771.54516542
   12   24311.75642035   24769.39283525
   13   24302.97053723   24760.17631701
   14   24303.08466767   24760.29603774
   15   24310.78837329   24768.37731125
   16   24314.21435522   24771.97134909
   17   24318.41367504   24776.37678095
   18   24316.37141010   24774.23426037
   19   24314.54291015   24772.31602541
   20   24315.41546617   24773.23139961
   21   24304.91037434   24762.21118386
   22   24302.41673003   24759.59538485
   23   24310.06736262   24767.62094392
   24   24303.58596979   24760.82189562
   25   24314.06775731   24771.81755824
   26   24311.77315999   24769.41039594
   27   24310.74014969   24768.32672275
   28   24313.25386108   24770.96373052
   29   24315.89367108   24773.73307350
   30   24311.66396856   24769.29584895
   31   24310.21242950   24767.77312422
   32   24309.69526206   24767.23059796
   33   24319.19970783   24777.20140884
   34   24307.88693256   24765.33361466
   35   24313.27325578   24770.98407670
   36   24321.70852069   24779.83343860
   37   24303.10601485   24760.31843056
   38   24309.00977569   24766.51150254
   39   24315.75149659   24773.58392130
   40   24310.24939451   24767.81190186
   41   24316.81506869   24774.69969566
   42   24311.77130503   24769.40845000
   43   24308.47050769   24765.94579700
   44   24312.96036955   24770.65584090
   45   24313.89947048   24771.64101448
   46   24314.86011144   24772.64879178
   47   24315.43930012   24773.25640323
   48   24306.83856512   24764.23386208
   49   24315.30268600   24773.11308475
   50   24312.83136407   24770.52050688
   51   24309.23537432   24766.74816176
   52   24316.89537326   24774.78394208
   53   24320.22136365   24778.27323612
   54   24310.59759442   24768.17717665
   55   24307.08922571   24764.49680791
   56   24311.02149850   24768.62186922
   57   24316.66422223   24774.54144483
   58   24306.23292107   24763.59853653
   59   24319.14625851   24777.14533495
   60   24310.19157794   24767.75125019
   61   24315.11193095   24772.91296862
