polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the h-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing wind fit coefficients from Gaussians with means and standard deviations from Table 1 (polynomial profiles).
index         r_pol_km          r_eq_km
    0   24214.92835036   24772.06409885
    1   24269.31425345   24768.67384323
    2   24245.26411539   24771.75620186
    3   24336.03197723   24772.03405895
    4   24400.27923919   24760.72444548
    5   24013.75366283   24780.74551778
    6   24152.99522534   24769.58996747
    7   24263.95200611   24775.19317609
    8   24338.18869171   24763.36333783
    9   24335.77459398   24771.17399024
   10   24421.73937722   24759.74122981
   11   24147.24534417   24774.32340000
   12   24327.34857933   24770.28035566
   13   24310.59254461   24762.45055249
   14   24282.87581252   24764.40157574
   15   24292.65183805   24771.64877799
   16   24297.63213300   24766.31230951
   17   24397.91363837   24760.57446395
   18   23870.82018098   24776.64534197
   19   24275.39683885   24771.65965426
   20   24293.20611186   24769.50410576
   21   24319.43465904   24773.72345984
   22   24401.55938398   24764.81543552
   23   24394.53282282   24770.89909913
   24   24148.65103074   24773.94298416
   25   24400.97008762   24764.86181355
   26   24280.11285103   24777.14740586
   27   24434.42100876   24761.99034717
   28   24396.25718972   24767.57729978
   29   24333.71190920   24771.52172195
   30   24294.01267812   24766.65727260
   31   24356.79496259   24762.97991815
   32   24282.93536145   24771.99386657
   33   24248.28089711   24761.09631734
   34   24398.85032195   24766.73934069
   35   24168.93319981   24779.14160471
   36   24132.52447346   24772.41260282
   37   24304.08606383   24763.80835876
   38   24356.84138304   24763.09604255
   39   24366.00877816   24766.08576571
   40   24414.21486705   24761.46240247
   41   24092.98498396   24774.03786329
   42   24386.33796497   24764.76981943
   43   24292.58552706   24767.76102370
   44   24188.06807352   24769.78989431
   45   24354.24386734   24765.09534046
   46   24342.02869301   24766.32314368
   47   24400.51694018   24762.85489346
   48   24137.19209735   24776.40139741
   49   24326.18141250   24766.73610812
   50   24354.06764642   24770.77586306
   51   24254.06658352   24777.63121190
   52   24427.07295836   24764.29712818
   53   24321.11276554   24771.56173238
   54   24406.64498504   24768.22987195
   55   24414.40489838   24759.87715909
   56   24069.08185302   24779.20983065
   57   24265.13837825   24769.68965518
   58   24227.38737745   24775.43433504
   59   24422.95324931   24765.71477000
   60   24363.83569747   24768.89507264
   61   24352.05150625   24758.13023495
   62   24435.05067485   24757.20200525
   63   24384.23188450   24767.95613814
   64   24405.75560970   24766.43553133
   65   24057.27725010   24779.83771612
   66   24349.46176324   24767.26445309
   67   24121.68022619   24773.76961645
   68   24145.41109459   24768.56597157
   69   24406.95548293   24770.38568000
   70   24403.86438499   24765.76585987
   71   24275.86263529   24776.89849431
   72   24253.71171495   24771.85948566
   73   24430.60250672   24757.87921786
   74   24321.52249087   24765.02020387
   75   24353.01444894   24767.06662181
   76   24325.26014309   24770.87798446
   77   24425.01989458   24762.60669881
   78   24332.02736589   24767.03673540
   79   24099.79219918   24772.53756818
   80   24423.60556451   24763.11223056
   81   24006.89645215   24772.01010739
   82   24356.16265150   24766.97837421
   83   24185.38461229   24780.11861659
   84   24408.40723271   24773.11780855
   85   24364.22830854   24765.39862457
   86   24171.69096902   24771.76958845
   87   24359.92172219   24767.98289329
   88   24273.02253094   24766.19544132
   89   24135.55400478   24777.58083783
   90   24384.25658695   24769.20969709
   91   24378.18659792   24766.88476765
   92   24374.94904456   24768.34000271
   93   24156.72338017   24777.41284048
   94   24268.69764207   24771.17694892
   95   24068.58267580   24779.16327493
   96   24196.59999282   24772.08730159
   97   24293.64126437   24771.75037398
   98   24344.80385549   24775.21231515
   99   24385.74607884   24770.27767659
  100   24220.33140289   24774.37063762
  101   24275.59746784   24771.32010461
  102   24191.58781443   24775.33607823
  103   24353.09389891   24769.67998854
  104   24345.24951557   24768.53811909
  105   24384.72065420   24765.60258748
  106   24367.23493665   24769.72356425
  107   24337.42680186   24766.47479506
  108   24263.88438858   24773.93145085
  109   24430.09282293   24757.61594446
  110   24338.80373291   24768.93101148
  111   24122.67470063   24781.22426017
  112   24396.16245532   24762.79306695
  113   24338.20553610   24766.31234434
  114   24194.27502099   24770.98597942
  115   24256.03727587   24767.37167517
  116   24213.59427337   24768.56828291
  117   24428.76634361   24760.78456666
  118   24189.05454611   24776.21042463
  119   24419.85897338   24765.70797247
  120   24427.78047572   24760.39728060
  121   24101.12139881   24771.00580957
  122   24133.07312367   24774.95354259
  123   24279.40546066   24769.56218969
  124   24181.71543537   24774.96538996
  125   24338.42973439   24772.23015618
  126   24238.94785520   24765.35810047
  127   24254.04058068   24767.02828570
  128   24416.44598713   24763.43916814
  129   24125.78224837   24781.52866527
  130   24250.47046811   24776.53462028
  131   24273.49250064   24774.34679417
  132   24085.12748383   24772.94816431
  133   24053.69269556   24782.58285154
  134   24169.86662391   24775.91036917
  135   24407.13916720   24763.65331171
  136   24401.36638524   24758.36557245
  137   24134.15863654   24777.43938865
  138   24134.87867840   24779.73041200
  139   24354.55425364   24770.70001966
  140   24217.86496824   24770.15114091
  141   24423.48344387   24766.52330519
  142   24285.85635595   24765.17692530
  143   24417.43213059   24759.86642849
  144   24104.69041149   24774.66972921
  145   24243.37159753   24768.60618861
  146   24067.03910034   24780.61223849
  147   24349.99698551   24764.98285493
  148   24206.11267739   24773.42193736
  149   24221.07136796   24772.33648572
  150   24232.81180210   24772.37436104
  151   24207.14163208   24772.10658206
  152   24232.78839517   24771.67858595
  153   24368.21747422   24768.55635281
  154   24356.89052896   24765.13460781
  155   24189.01525505   24777.33778142
  156   24407.14937893   24763.30728345
  157   24088.68369778   24776.02293501
  158   24295.47552522   24770.46289200
  159   24129.54209583   24776.32775158
  160   24372.23867387   24766.98868498
  161   24253.50192980   24769.56394074
  162   24350.17560638   24764.11460740
  163   24410.09004467   24768.59886084
  164   24397.18385918   24764.62537016
  165   24269.57899022   24770.04758811
  166   24174.76183259   24772.14841833
  167   24046.22586907   24788.26235429
  168   24385.17751041   24765.52729418
  169   24321.52011752   24771.10077052
  170   24246.45491506   24768.00545956
