polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the k-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
    0   24323.17642828   24758.43496666
    1   24326.06346866   24761.45247797
    2   24330.33213994   24765.91416621
    3   24329.11332046   24764.64022216
    4   24329.44991037   24764.99203426
    5   24328.52914425   24764.02962862
    6   24328.80684475   24764.31988686
    7   24330.50382463   24766.09361667
    8   24325.67977122   24761.05143711
    9   24327.95477027   24763.42928294
   10   24321.27874650   24756.45155692
   11   24324.38663221   24759.69985490
   12   24322.83902605   24758.08232040
   13   24327.81526944   24763.28347459
   14   24324.09665970   24759.39677874
   15   24323.33418222   24758.59984828
   16   24323.59905286   24758.87668679
   17   24330.43705855   24766.02383056
   18   24321.69943254   24756.89124530
   19   24326.38849316   24761.79219462
   20   24331.36090367   24766.98946684
   21   24329.59912611   24765.14799850
   22   24321.61601964   24756.80406455
   23   24328.35927587   24763.85207900
   24   24320.27920159   24755.40686765
   25   24331.74905216   24767.39517546
   26   24336.63589187   24772.50319018
   27   24324.79769954   24760.12949908
   28   24319.10073975   24754.17518972
   29   24310.78700708   24745.48630922
   30   24329.48356059   24765.02720634
   31   24326.40521995   24761.80967753
   32   24331.31094376   24766.93724679
   33   24326.11063276   24761.50177398
   34   24327.65204618   24763.11287138
   35   24317.73182603   24752.74447188
   36   24314.56134861   24749.43090343
   37   24318.14314970   24753.17436473
   38   24320.05526869   24755.17282180
   39   24319.95330816   24755.06625680
   40   24319.63060697   24754.72898308
   41   24322.55485640   24757.78531242
   42   24321.04296897   24756.20512988
   43   24325.75846792   24761.13369088
   44   24323.39364526   24758.66199805
   45   24323.16449849   24758.42249786
   46   24330.46280853   24766.05074528
   47   24330.57504309   24766.16805660
   48   24327.77705317   24763.24353040
   49   24326.95953165   24762.38904770
   50   24313.64992030   24748.47835332
   51   24324.97385814   24760.31361895
   52   24323.53433403   24758.80904367
   53   24330.95078145   24766.56079155
   54   24323.41873132   24758.68821759
   55   24327.84801223   24763.31769783
   56   24317.99421891   24753.01871033
   57   24331.40742614   24767.03809397
   58   24324.09319609   24759.39315862
   59   24319.97996694   24755.09411946
   60   24327.89976685   24763.37179253
   61   24329.34765372   24764.88515299
   62   24324.01122408   24759.30748247
   63   24323.72533336   24759.00867330
   64   24323.46854070   24758.74027753
   65   24328.04053589   24763.51892651
   66   24334.41610028   24770.18291150
   67   24323.77943561   24759.06522020
   68   24322.17720397   24757.39059914
   69   24335.09237700   24770.88979872
   70   24324.99710669   24760.33791821
   71   24326.19414607   24761.58906232
   72   24326.33889100   24761.74035024
   73   24318.11616755   24753.14616444
   74   24327.74877838   24763.21397719
   75   24329.08597087   24764.61163572
   76   24321.16903947   24756.33689464
   77   24323.76826689   24759.05354682
   78   24329.35169388   24764.88937587
   79   24328.15751692   24763.64119701
   80   24327.82496404   24763.29360753
   81   24315.35421328   24750.25954531
   82   24323.85343729   24759.14256575
   83   24326.26823769   24761.66650313
   84   24331.66835552   24767.31082796
   85   24321.07248692   24756.23598106
   86   24329.44214389   24764.98391654
   87   24325.90429951   24761.28611413
   88   24324.44043473   24759.75608878
   89   24329.93284476   24765.49681062
   90   24334.60760439   24770.38308339
   91   24324.41135985   24759.72569999
   92   24325.92866496   24761.31158091
   93   24330.07292371   24765.64322532
   94   24324.98324991   24760.32343517
   95   24331.85167362   24767.50243977
   96   24326.95064287   24762.37975707
   97   24331.40476349   24767.03531086
   98   24320.28230627   24755.41011254
   99   24330.72959493   24766.32959949
  100   24328.02562148   24763.50333774
  101   24327.05531631   24762.48916266
  102   24332.19908108   24767.86556535
  103   24329.73195572   24765.28683565
  104   24329.01252831   24764.53487186
  105   24321.34760955   24756.52353041
  106   24329.94023080   24765.50453073
  107   24330.72996659   24766.32998797
  108   24337.01046250   24772.89472056
  109   24331.04234987   24766.65650223
  110   24329.83857851   24765.39828080
  111   24329.36770711   24764.90611331
  112   24330.02677810   24765.59499254
  113   24325.72247346   24761.09606947
  114   24326.40839510   24761.81299621
  115   24322.01831423   24757.22453168
  116   24335.25109774   24771.05570414
  117   24325.20347020   24760.55360838
  118   24328.40547329   24763.90036539
  119   24320.49096310   24755.62819276
  120   24322.64655758   24757.88115645
  121   24318.81049722   24753.87184213
  122   24321.68250651   24756.87355470
  123   24329.43275068   24764.97409851
  124   24321.45860495   24756.63953940
  125   24339.84102114   24775.85347273
  126   24328.85105791   24764.36609941
  127   24327.48788101   24762.94128386
  128   24313.29146557   24748.10372743
  129   24324.03852271   24759.33601465
  130   24322.80353150   24758.04522223
  131   24325.88725400   24761.26829814
  132   24328.48980557   24763.98851108
  133   24327.99564411   24763.47200491
  134   24320.70046226   24755.84715366
  135   24327.59797460   24763.05635505
  136   24318.33513370   24753.37501624
  137   24322.28008160   24757.49812427
  138   24324.26120352   24759.56875811
  139   24318.20162740   24753.23548250
  140   24325.42268689   24760.78273296
  141   24331.59438417   24767.23351005
  142   24319.68539774   24754.78624804
  143   24327.42399693   24762.87451147
  144   24324.12559021   24759.42701657
  145   24323.47507474   24758.74710681
  146   24332.94783862   24768.64820260
  147   24319.41782831   24754.50659617
  148   24327.48696879   24762.94033040
  149   24330.12401656   24765.69662913
  150   24328.17284023   24763.65721318
  151   24324.38642088   24759.69963402
  152   24324.85547055   24760.18988095
  153   24325.85644395   24761.23609545
  154   24312.63937639   24747.42222254
  155   24330.34941685   24765.93222460
  156   24325.95148865   24761.33543626
  157   24331.69352433   24767.33713545
  158   24323.67409573   24758.95512047
  159   24325.50909015   24760.87304147
  160   24326.43703028   24761.84292584
  161   24323.54550143   24758.82071566
  162   24326.31264030   24761.71291289
  163   24322.27939781   24757.49740959
  164   24320.92855435   24756.08554757
  165   24316.70651391   24751.67287731
  166   24327.37763061   24762.82604885
  167   24326.24402987   24761.64120103
  168   24328.76621706   24764.27742194
  169   24334.03511551   24769.78468353
  170   24326.32747536   24761.72841856
  171   24325.61903060   24760.98795106
  172   24323.30231134   24758.56653739
  173   24316.72078923   24751.68779696
  174   24334.75733597   24770.53959224
  175   24319.75021640   24754.85399374
  176   24333.29115615   24769.00705585
  177   24327.25037965   24762.69304476
  178   24330.88081295   24766.48765793
  179   24322.70308485   24757.94023752
  180   24323.85205054   24759.14111633
  181   24326.13411982   24761.52632272
  182   24335.33216667   24771.14044283
  183   24325.24882181   24760.60100971
  184   24320.18069068   24755.30390788
  185   24322.83071185   24758.07363057
  186   24321.89660406   24757.09732347
  187   24327.06597036   24762.50029837
  188   24330.19141419   24765.76707521
  189   24324.99384717   24760.33451137
  190   24326.75042438   24762.17048718
  191   24326.92365773   24762.35155198
  192   24329.84212517   24765.40198787
  193   24319.13843375   24754.21458572
  194   24339.54401598   24775.54301382
  195   24314.97713162   24749.86544767
  196   24328.20556753   24763.69142032
  197   24328.02276507   24763.50035216
  198   24334.12494686   24769.87858052
  199   24319.71321103   24754.81531729
  200   24331.15868050   24766.77809538
  201   24321.60116568   24756.78853963
  202   24323.28430859   24758.54772123
  203   24322.20395521   24757.41855885
  204   24328.85732930   24764.37265440
  205   24327.10880332   24762.54506777
  206   24323.80337339   24759.09023964
  207   24329.99880835   24765.56575772
  208   24324.32702903   24759.63755825
  209   24333.39449295   24769.11506899
  210   24327.74570566   24763.21076555
  211   24318.67156878   24753.72664100
  212   24326.74321371   24762.16295053
  213   24329.75780296   24765.31385191
  214   24332.52374604   24768.20492023
  215   24330.65832535   24766.25510606
  216   24321.46683567   24756.64814190
  217   24331.49528660   24767.12992924
  218   24323.18361295   24758.44247595
  219   24318.00782826   24753.03293408
  220   24323.23998070   24758.50139050
  221   24331.56992700   24767.20794642
  222   24323.39897526   24758.66756887
  223   24332.98809019   24768.69027559
  224   24326.25077143   24761.64824733
  225   24333.34938474   24769.06791948
  226   24329.11382508   24764.64074960
