polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the k-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing wind fit coefficients from Gaussians with means and standard deviations from Table 1 (polynomial profiles).
index         r_pol_km          r_eq_km
    0   24384.53721266   24759.75690451
    1   24414.71849507   24763.92115821
    2   24390.58268544   24756.51317179
    3   24333.77401817   24754.07106620
    4   24205.00640320   24767.09749739
    5   24351.99619439   24757.18393948
    6   24432.15412630   24755.33655282
    7   24269.95516466   24766.15780754
    8   24281.81878029   24757.16036599
    9   24010.12516152   24766.06247012
   10   24175.85853672   24766.02545698
   11   24425.01235323   24752.76777269
   12   24006.86147656   24774.01258903
   13   24400.85939204   24761.12304531
   14   24200.43032707   24758.28605380
   15   24368.53398669   24760.81985344
   16   23787.88426048   24780.86965467
   17   24419.11758104   24755.88765746
   18   24351.29210385   24764.18620384
   19   24207.79276360   24755.84595562
   20   24287.60868724   24767.26617302
   21   24232.37503528   24764.71161554
   22   24406.71675431   24768.29327667
   23   24326.13987743   24760.56620896
   24   24426.20814538   24750.43722067
   25   24236.78865622   24758.69935649
   26   24269.15118268   24765.53028299
   27   24401.53774158   24768.77124369
   28   24239.84060704   24779.53089489
   29   24170.82085812   24775.72498073
   30   24409.62624871   24758.95488133
   31   24269.36192600   24759.13562327
   32   23894.26461172   24770.88782301
   33   24288.81130084   24768.55683569
   34   24109.28192513   24763.39473333
   35   23910.86273558   24766.53941690
   36   24387.77439425   24759.03287799
   37   24406.31151564   24759.00186122
   38   24405.57476039   24754.74458530
   39   24409.69759664   24764.47917648
   40   24209.30748527   24766.41828276
   41   23538.49538585   24783.93704719
   42   24334.04961289   24751.67647305
   43   24402.30425833   24751.00746523
   44   24376.00268252   24759.40800695
   45   24398.66156910   24765.75190466
   46   24076.63091920   24764.38607502
   47   24274.69494856   24765.34973520
   48   24431.85059269   24752.22317914
   49   24396.18692551   24760.86679308
   50   24272.63599691   24771.87218901
   51   24391.17108807   24757.33202343
   52   24378.01619799   24758.16839302
   53   24380.69582531   24761.44891686
   54   24161.44959095   24781.81480596
   55   24226.90917179   24763.53403786
   56   24297.83838002   24764.64856999
   57   24383.20204244   24768.78838579
   58   24436.57987061   24748.12692388
   59   24372.31483313   24763.35672844
   60   24274.73744358   24765.89605168
   61   24339.10160063   24770.81513830
   62   24329.67592266   24766.97762435
   63   24388.24160642   24757.39853382
   64   24280.06640896   24756.63991456
   65   24430.94161375   24743.57268568
   66   23675.92516529   24778.27270317
   67   24139.23417548   24769.22573708
   68   24146.72907945   24766.81437912
   69   23843.34011926   24770.46027998
   70   24050.11951361   24775.25690514
   71   24324.09367454   24766.19315731
   72   24412.14665397   24760.86975169
   73   24385.78646870   24765.39593041
