polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the voyager wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the gravity moments j2,j4 from Gaussians with means and standard deviations from Jacobson 2009.
index         r_pol_km          r_eq_km
    0   24286.20206608   24761.80309752
    1   24286.23755640   24761.89510013
    2   24285.92698196   24761.95087196
    3   24285.91593429   24761.96312081
    4   24286.34436846   24761.63399543
    5   24286.15253347   24761.88862099
    6   24286.13321503   24761.90591468
    7   24285.96997851   24761.79842285
    8   24285.99712019   24761.87477113
    9   24285.84781802   24761.81084896
   10   24285.77617335   24761.74790294
   11   24286.14463396   24761.90632925
   12   24285.91347198   24761.77161573
   13   24286.15851690   24761.87167546
   14   24285.80598141   24761.85798124
   15   24286.06514086   24761.71138947
   16   24285.82035174   24761.76468044
   17   24285.84634660   24762.04683064
   18   24286.19571082   24761.85517515
   19   24285.91639538   24761.82017642
   20   24286.13950896   24761.70654330
   21   24285.85004230   24761.75522248
   22   24286.04111669   24761.64472794
   23   24285.88303303   24761.98076907
   24   24286.03995401   24761.90310280
   25   24285.91042182   24761.64371396
   26   24285.86723919   24762.03786626
   27   24285.86107012   24761.86467009
   28   24286.12488806   24761.69267793
   29   24285.81468257   24761.79186916
   30   24285.67501805   24761.87075434
   31   24285.69531989   24761.72208757
   32   24286.21756249   24761.74322820
   33   24285.84671940   24761.87551726
   34   24285.79555317   24761.87484185
   35   24285.91451735   24761.97677574
   36   24286.04903777   24761.82586765
   37   24286.16928058   24761.83009326
   38   24286.02140121   24761.80791384
   39   24285.95335714   24761.82344222
   40   24286.07031749   24761.89059246
   41   24285.69399271   24762.06748006
   42   24285.95709554   24761.81908909
   43   24286.24509172   24761.90034502
   44   24285.83873873   24761.65887561
   45   24285.92826557   24761.77934395
   46   24286.00813897   24761.88595708
   47   24286.25969742   24761.84105764
   48   24285.67581886   24761.69697876
   49   24285.70667250   24761.75349313
   50   24286.09774083   24761.72274237
   51   24286.23324060   24761.94264793
   52   24286.39029855   24761.93452554
   53   24285.81856287   24761.71615575
   54   24286.15297541   24761.63853706
   55   24285.93898499   24761.83618656
   56   24285.96818415   24761.88089127
   57   24286.00711390   24761.99916869
   58   24285.74594918   24761.90712612
   59   24285.82452494   24761.85919889
   60   24285.77521512   24761.81057744
   61   24286.21892351   24761.73170483
   62   24285.71806153   24761.88134341
   63   24285.89525483   24761.93270220
   64   24286.01787873   24761.75662592
   65   24285.66437936   24761.80978243
   66   24285.97158224   24761.72549574
   67   24286.46878911   24761.91968094
   68   24285.59007950   24761.68876216
   69   24285.85539013   24761.99583911
   70   24286.09352688   24761.78533279
   71   24285.60670273   24761.65676462
   72   24286.06437348   24761.78320046
   73   24286.05199218   24761.78997876
   74   24286.11560213   24761.98244598
   75   24285.99457467   24761.89181302
   76   24286.15866967   24761.83954577
   77   24285.94369108   24761.71962348
   78   24286.31110752   24761.88027445
   79   24285.87824249   24761.85026768
   80   24286.14412607   24761.80498976
   81   24285.85034229   24761.71504088
   82   24285.98588020   24761.90516546
   83   24286.13853854   24761.93470303
   84   24286.01314305   24761.90882257
   85   24286.00546297   24761.94763184
   86   24286.07761284   24761.84178820
   87   24285.83834314   24761.97132097
   88   24285.86408851   24761.90584454
   89   24285.99984375   24761.68833259
   90   24285.91587655   24761.73643995
   91   24286.03325459   24761.81494409
   92   24286.15582724   24761.86980510
   93   24286.02528269   24762.02751221
   94   24285.80865557   24761.79018408
   95   24285.97078618   24761.81284295
   96   24285.86234620   24761.86742725
   97   24285.91394554   24761.87675202
   98   24286.11807237   24761.76157148
   99   24285.71362949   24761.64371784
  100   24285.85788742   24762.02997373
  101   24286.17234110   24761.85610199
  102   24286.09082745   24761.67957177
  103   24286.03319999   24761.93115895
  104   24286.13153068   24761.87759668
  105   24286.18227843   24761.92759530
  106   24285.81788859   24761.73309834
  107   24286.29969940   24761.81022572
  108   24285.85671147   24762.01658668
  109   24285.88932182   24761.81037724
  110   24286.04919927   24761.84772669
  111   24285.69346850   24761.81855613
  112   24285.88096605   24761.75913740
  113   24285.77580176   24761.76660228
  114   24286.15334058   24761.91310675
  115   24285.98913771   24761.85209258
  116   24285.94329267   24761.74305504
  117   24285.69105622   24761.96783011
  118   24285.73627823   24761.87880540
  119   24285.67907687   24761.68984237
  120   24286.05258951   24761.47039437
  121   24286.19468355   24762.00044036
  122   24285.68606008   24761.84990245
  123   24285.84881803   24761.82066961
  124   24286.12106894   24761.74349095
  125   24286.08666007   24761.96947379
  126   24285.93017432   24762.00469713
  127   24286.01147932   24761.64869306
  128   24285.78589452   24761.70688515
  129   24285.88551985   24762.00859171
  130   24286.05063889   24761.69251373
  131   24286.37215927   24761.77862004
  132   24285.77336113   24761.92072513
  133   24286.13751977   24761.97972058
  134   24286.07417269   24761.85012224
  135   24285.77731315   24761.71997899
  136   24285.89687862   24761.95265312
  137   24285.95244775   24761.60678221
  138   24286.17828816   24761.74795744
  139   24285.96238823   24761.88632000
  140   24285.85463073   24761.81758170
  141   24286.35341819   24761.78146595
  142   24285.85657536   24761.90161822
  143   24286.25514347   24761.83782414
  144   24286.12024649   24761.81979444
  145   24286.18247570   24761.82743015
  146   24286.08063256   24761.81073670
  147   24286.19400559   24761.78318667
