polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the voyager wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
    0   24285.56696848   24761.36597824
    1   24289.55561638   24765.56271806
    2   24279.07007276   24754.53040511
    3   24282.81173545   24758.46707614
    4   24285.52673828   24761.32364983
    5   24296.37160300   24772.73459645
    6   24292.73722162   24768.91040222
    7   24285.01218762   24760.78226397
    8   24289.69699343   24765.71147324
    9   24287.00212182   24762.87599036
   10   24280.98750339   24756.54775460
   11   24282.01727111   24757.63119647
   12   24280.92815718   24756.48531536
   13   24285.58449043   24761.38441405
   14   24286.77602366   24762.63809765
   15   24277.37914049   24752.75138139
   16   24291.14394045   24767.23394208
   17   24286.19185069   24762.02345280
   18   24285.22262066   24761.00367140
   19   24284.42915248   24760.16882452
   20   24293.67934968   24769.90172466
   21   24285.10187503   24760.87662866
   22   24285.13593964   24760.91246979
   23   24289.47655905   24765.47953499
   24   24286.00933568   24761.83141792
   25   24289.78663798   24765.80579620
   26   24286.43247659   24762.27663000
   27   24286.33242852   24762.17136326
   28   24291.80534307   24767.92987148
   29   24285.71521509   24761.52195675
   30   24281.66586034   24757.26146831
   31   24279.93682890   24755.44232497
   32   24286.28599940   24762.12251235
   33   24281.35072381   24756.92990603
   34   24289.62446722   24765.63516204
   35   24287.35498244   24763.24725901
   36   24284.51335558   24760.25741850
   37   24282.85765555   24758.51539021
   38   24285.66077653   24761.46467889
   39   24288.86880369   24764.84006456
   40   24290.15061134   24766.18876544
   41   24280.25079699   24755.77265435
   42   24295.18739529   24771.48852951
   43   24282.89973442   24758.55966280
   44   24280.30861005   24755.83348022
   45   24293.50193581   24769.71504636
   46   24291.88136577   24768.00986297
   47   24290.53048769   24766.58846878
   48   24282.75321500   24758.40550485
   49   24291.17211034   24767.26358244
   50   24285.48324629   24761.27788954
   51   24279.29032214   24754.76213037
   52   24282.77275662   24758.42606523
   53   24279.92318904   24755.42797434
   54   24290.36548607   24766.41485504
   55   24291.67530944   24767.79304952
   56   24280.99814286   24756.55894858
   57   24285.25798838   24761.04088363
   58   24287.91665120   24763.83823096
   59   24280.38543647   24755.91431032
   60   24290.53398901   24766.59215285
   61   24281.16545171   24756.73497743
   62   24279.30222389   24754.77465227
   63   24281.92948425   24757.53883360
   64   24284.21745489   24759.94608793
   65   24281.86561240   24757.47163239
   66   24291.83155997   24767.95745704
   67   24286.02186288   24761.84459853
   68   24279.12389105   24754.58702751
   69   24287.66910449   24763.57776902
   70   24279.09232669   24754.55381855
   71   24293.39852834   24769.60623915
   72   24280.21280900   24755.73268672
   73   24283.86316252   24759.57332173
   74   24286.93685756   24762.80732151
   75   24282.25704250   24757.88346658
   76   24281.25847374   24756.83284780
   77   24287.23225248   24763.11812636
   78   24278.48026325   24753.90986607
   79   24291.03186793   24767.11601947
   80   24279.77599012   24755.27310497
   81   24279.95547907   24755.46194700
   82   24285.31403378   24761.09985196
   83   24275.34123538   24750.60733917
   84   24285.92643555   24761.74419386
   85   24282.49225763   24758.13094338
   86   24287.62044556   24763.52657147
   87   24285.48942084   24761.28438612
   88   24290.35108978   24766.39970736
   89   24281.67028572   24757.26612435
   90   24289.85300883   24765.87563088
   91   24286.00145809   24761.82312945
   92   24283.51255570   24759.20443426
   93   24287.04457348   24762.92065659
   94   24282.26744863   24757.89441517
   95   24283.15512286   24758.82836586
   96   24283.40981820   24759.09634020
   97   24286.87061276   24762.73762100
   98   24285.44688223   24761.23962893
   99   24275.72599417   24751.01213423
  100   24292.93855638   24769.12224933
  101   24294.34484449   24770.60197338
  102   24282.91963067   24758.58059631
  103   24290.03735664   24766.06959983
  104   24288.69467984   24764.65685479
  105   24283.94862595   24759.66324139
  106   24285.01909557   24760.78953216
  107   24291.17116318   24767.26258584
  108   24278.24920297   24753.66676812
  109   24289.95011122   24765.97780102
  110   24292.02854903   24768.16473010
  111   24282.92446611   24758.58568384
  112   24293.11323901   24769.30605298
  113   24289.84060742   24765.86258225
  114   24291.30021951   24767.39837896
  115   24285.55763349   24761.35615638
  116   24281.01742500   24756.57923567
  117   24284.19640949   24759.92394513
  118   24275.10638717   24750.36026185
  119   24282.00592585   24757.61925982
  120   24289.21548134   24765.20483285
  121   24281.89736725   24757.50504247
  122   24287.84327711   24763.76102867
  123   24295.78467742   24772.11701035
  124   24283.41475841   24759.10153798
  125   24287.61060331   24763.51621573
  126   24278.56360890   24753.99755393
  127   24290.54111066   24766.59964621
  128   24290.51976919   24766.57719082
  129   24282.85008740   24758.50742750
  130   24281.35786050   24756.93741470
  131   24283.88872766   24759.60021988
  132   24279.97709279   24755.48468702
  133   24288.63645906   24764.59559606
  134   24291.08345975   24767.17030432
  135   24286.58192176   24762.43387062
  136   24277.28492281   24752.65225599
  137   24293.70390315   24769.92756031
  138   24288.32514227   24764.26803526
  139   24287.12947643   24763.00998870
  140   24278.23651296   24753.65341701
  141   24285.46621259   24761.25996746
  142   24286.22222814   24762.05541474
  143   24286.51744420   24762.36602972
  144   24288.79947503   24764.76711825
  145   24281.94241185   24757.55243506
  146   24283.67077086   24759.37089864
  147   24282.34601528   24757.97707742
  148   24284.90340096   24760.66780406
  149   24277.20587051   24752.56908596
  150   24290.62755676   24766.69060439
  151   24288.28259995   24764.22327321
  152   24289.65753658   24765.66995721
  153   24285.22931035   24761.01070998
  154   24287.38012563   24763.27371391
  155   24283.60156455   24759.29808394
  156   24293.59189199   24769.80969996
  157   24279.96200517   24755.46881319
  158   24279.40577039   24754.88359409
  159   24285.36058456   24761.14883051
  160   24286.80615362   24762.66979933
  161   24297.33324472   24773.74647953
  162   24291.06349217   24767.14929446
  163   24288.61084848   24764.56864913
  164   24281.75783809   24757.35824033
  165   24281.28549981   24756.86128248
  166   24281.23859987   24756.81193809
  167   24289.74884917   24765.76603524
  168   24290.50153637   24766.55800636
  169   24290.24259287   24766.28554768
  170   24281.42819595   24757.01141615
  171   24279.07836788   24754.53913244
  172   24286.38738149   24762.22918266
  173   24288.25450585   24764.19371325
  174   24286.99190627   24762.86524190
  175   24289.72690241   24765.74294310
  176   24289.96696336   24765.99553268
  177   24292.04789881   24768.18509008
  178   24289.78359893   24765.80259854
  179   24278.19398548   24753.60867400
  180   24282.70690147   24758.35677689
  181   24284.91154823   24760.67637621
  182   24294.88653843   24771.17195864
  183   24282.63551335   24758.28166717
  184   24284.48969398   24760.23252303
  185   24284.90885044   24760.67353773
  186   24289.40059144   24765.39960293
  187   24284.46105027   24760.20238566
  188   24287.34975164   24763.24175533
  189   24279.30354947   24754.77604692
  190   24286.45087023   24762.29598308
  191   24291.66283365   24767.77992244
  192   24288.74797114   24764.71292685
  193   24284.89512738   24760.65909901
  194   24290.15614030   24766.19458296
  195   24290.07718676   24766.11150872
  196   24287.96973496   24763.89408431
  197   24289.32081044   24765.31565852
  198   24291.07664062   24767.16312924
  199   24282.49072682   24758.12933276
  200   24283.06951890   24758.73829889
  201   24289.14308189   24765.12865531
  202   24294.26189641   24770.51469333
  203   24285.47118250   24761.26519657
  204   24281.01518651   24756.57688052
  205   24291.91530638   24768.04557548
