polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the voyager wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing wind fit coefficients from Gaussians with means and standard deviations from Table 1 (polynomial profiles).
index         r_pol_km          r_eq_km
    0   24301.29233920   24762.26400319
    1   24236.82123106   24762.35742192
    2   24272.71551569   24761.97878121
    3   24325.08802488   24760.30230246
    4   24284.84442342   24761.66545694
    5   24261.29561342   24762.97939274
    6   24256.36698694   24761.93934464
    7   24273.79991841   24761.82752587
    8   24266.06089696   24762.83580594
    9   24259.66977803   24763.31520291
   10   24312.22194451   24760.20483395
   11   24262.67470712   24762.75493799
   12   24302.00263660   24760.97045936
   13   24293.18514722   24762.56907189
   14   24323.57683311   24760.85474327
   15   24233.75892511   24763.82847231
   16   24264.23022834   24763.05631416
   17   24326.73374259   24760.44772650
   18   24282.69375185   24763.04622320
   19   24302.77437680   24761.92525005
   20   24334.74857497   24760.24415146
   21   24312.63896289   24761.00450007
   22   24315.74230357   24761.49917033
   23   24283.55706523   24760.60427873
   24   24292.08728627   24761.21926107
   25   24302.31525032   24760.61904113
   26   24292.13593330   24762.53431529
   27   24334.36421370   24760.80470451
   28   24294.77422333   24761.04027210
   29   24286.08622860   24762.64285680
   30   24297.14237836   24761.74611144
   31   24315.12290245   24760.70571716
   32   24284.86615314   24761.95944398
   33   24208.57241281   24763.97870310
   34   24253.74636340   24762.98911180
   35   24266.15822693   24761.88916741
   36   24237.21207826   24763.09607147
   37   24231.87950007   24763.86613785
   38   24309.82540045   24761.49615905
   39   24348.18826936   24758.75089971
   40   24296.20657672   24760.97540884
   41   24289.85672867   24761.49236035
   42   24242.09348310   24763.15049463
   43   24316.19806818   24760.43118740
   44   24248.82325771   24762.72837956
   45   24290.64279302   24760.13992899
   46   24315.02155524   24761.64589428
   47   24282.72532420   24761.91137877
   48   24314.21187805   24760.69601522
   49   24328.66215916   24760.87647950
   50   24257.02341711   24762.77249955
   51   24290.87257963   24762.00436670
   52   24338.80676907   24760.01251658
   53   24224.54339192   24762.81165812
   54   24293.18877979   24762.32377920
   55   24291.12619179   24760.76314036
   56   24287.30826992   24762.70904896
   57   24274.18164948   24761.93270866
