polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the Jacobson (2009, AJ 137) error ellipsoid,
followed by direct integration of Equation (3) from the Voyager 2 occultation point reported in Lindal (1992, AJ 103) to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
    0      24283.45699      24763.56647   3.50930653e-03  -3.54481894e-05   1.93320216e-06
    1      24283.53080      24763.55057   3.50916189e-03  -3.56889251e-05   1.06575180e-07
    2      24283.42788      24763.56582   3.50973953e-03  -3.50171825e-05   2.11065866e-06
    3      24283.51879      24763.56463   3.50879608e-03  -3.61029800e-05   1.15876060e-06
    4      24283.40609      24763.55396   3.51019971e-03  -3.44054488e-05   1.54803700e-06
    5      24283.55810      24763.56317   3.50820714e-03  -3.66037775e-05   8.74331793e-07
    6      24283.54517      24763.57626   3.50818243e-03  -3.67870965e-05   1.79139710e-06
    7      24283.44449      24763.55403   3.50987879e-03  -3.47457310e-05   1.33214368e-06
    8      24283.55570      24763.55467   3.50875309e-03  -3.62179194e-05   1.55510133e-08
    9      24283.40779      24763.57062   3.50975320e-03  -3.49658302e-05   2.66709683e-06
   10      24283.54456      24763.54654   3.50924064e-03  -3.56400627e-05  -2.99137551e-07
   11      24283.50198      24763.57450   3.50869835e-03  -3.61877437e-05   2.09030110e-06
   12      24283.48587      24763.55866   3.50929510e-03  -3.55245912e-05   1.03328073e-06
   13      24283.55073      24763.55083   3.50908755e-03  -3.58369929e-05  -6.72126761e-08
   14      24283.51987      24763.54488   3.50944675e-03  -3.53733673e-05  -2.14212397e-07
   15      24283.44160      24763.57342   3.50938383e-03  -3.54973713e-05   2.38322043e-06
   16      24283.53773      24763.54638   3.50924412e-03  -3.55994326e-05  -2.33739263e-07
   17      24283.54973      24763.54937   3.50897602e-03  -3.59263311e-05  -2.22527395e-07
   18      24283.44231      24763.55284   3.50947513e-03  -3.52511767e-05   7.68360735e-07
   19      24283.47636      24763.56305   3.50913755e-03  -3.55792626e-05   1.58661785e-06
   20      24283.48829      24763.57729   3.50868135e-03  -3.61244069e-05   2.52137067e-06
   21      24283.46963      24763.55181   3.50985560e-03  -3.49494156e-05   7.14209330e-07
   22      24283.50574      24763.55916   3.50935890e-03  -3.55531452e-05   9.19076976e-07
   23      24283.49962      24763.55904   3.50923556e-03  -3.56222514e-05   9.55223042e-07
   24      24283.46847      24763.57766   3.50914802e-03  -3.58867469e-05   2.33088383e-06
   25      24283.47469      24763.55035   3.50951247e-03  -3.51811257e-05   6.18488331e-07
   26      24283.44987      24763.56430   3.50959928e-03  -3.51884399e-05   1.81576165e-06
   27      24283.49970      24763.56779   3.50905458e-03  -3.58769116e-05   1.53905691e-06
   28      24283.40200      24763.55223   3.51030334e-03  -3.42919345e-05   1.46006930e-06
   29      24283.48313      24763.55238   3.50935248e-03  -3.52871766e-05   8.40629695e-07
   30      24283.51085      24763.54607   3.50970934e-03  -3.52281377e-05  -2.01579755e-07
   31      24283.48049      24763.54277   3.50980327e-03  -3.48774317e-05   7.94819349e-08
   32      24283.48684      24763.56525   3.50920515e-03  -3.56937730e-05   1.44805263e-06
   33      24283.54186      24763.55109   3.50905132e-03  -3.58402918e-05   7.66103571e-09
   34      24283.50009      24763.57149   3.50873264e-03  -3.61583988e-05   1.80424963e-06
   35      24283.43649      24763.54894   3.51019957e-03  -3.45566750e-05   7.36165130e-07
   36      24283.43761      24763.58327   3.50931700e-03  -3.56267768e-05   3.16603924e-06
   37      24283.50651      24763.56118   3.50897315e-03  -3.58461690e-05   1.09573074e-06
