polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Section 4.5 and Table 6.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index   r_pol_north_km   r_pol_south_km          r_eq_km              lnp
    0        25033.581        25028.150        25625.615       -1.875e+02
    1        25016.632        25011.216        25607.486       -1.014e+02
    2        25093.910        25088.427        25690.166       -7.075e+02
    3        24996.542        24991.144        25586.003       -3.335e+01
    4        25033.581        25028.150        25625.615       -1.875e+02
    5        25010.185        25004.774        25600.591       -7.554e+01
    6        25073.695        25068.229        25668.532       -4.961e+02
    7        24992.872        24987.477        25582.078       -2.491e+01
    8        25033.581        25028.150        25625.615       -1.875e+02
    9        25010.185        25004.774        25600.591       -7.554e+01
   10        25065.134        25059.676        25659.372       -4.179e+02
   11        24992.872        24987.477        25582.078       -2.491e+01
   12        25033.581        25028.150        25625.615       -1.875e+02
   13        25003.603        24998.199        25593.553       -5.306e+01
   14        25065.134        25059.676        25659.372       -4.179e+02
   15        24992.872        24987.477        25582.078       -2.491e+01
   16        25033.581        25028.150        25625.615       -1.875e+02
   17        25003.603        24998.199        25593.553       -5.306e+01
   18        25065.134        25059.676        25659.372       -4.179e+02
   19        24992.541        24987.145        25581.723       -2.420e+01
   20        25025.422        25019.999        25616.888       -1.428e+02
   21        25003.603        24998.199        25593.553       -5.306e+01
   22        25065.134        25059.676        25659.372       -4.179e+02
   23        24990.059        24984.666        25579.070       -1.927e+01
   24        25025.422        25019.999        25616.888       -1.428e+02
   25        25004.564        24999.158        25594.580       -5.610e+01
   26        25058.891        25053.439        25652.692       -3.651e+02
   27        24990.059        24984.666        25579.070       -1.927e+01
   28        25015.928        25010.512        25606.733       -9.839e+01
   29        25004.564        24999.158        25594.580       -5.610e+01
   30        25038.832        25033.396        25631.231       -2.195e+02
   31        24976.512        24971.131        25564.586       -2.239e+00
   32        25015.928        25010.512        25606.733       -9.839e+01
   33        25004.564        24999.158        25594.580       -5.610e+01
   34        25038.138        25032.702        25630.489       -2.152e+02
   35        24967.292        24961.918        25554.729       -2.381e-01
   36        25012.598        25007.185        25603.172       -8.477e+01
   37        24988.253        24982.861        25577.139       -1.603e+01
   38        25032.098        25026.668        25624.028       -1.789e+02
   39        24967.292        24961.918        25554.729       -2.381e-01
   40        25012.598        25007.185        25603.172       -8.477e+01
   41        24988.253        24982.861        25577.139       -1.603e+01
   42        25032.098        25026.668        25624.028       -1.789e+02
   43        24967.292        24961.918        25554.729       -2.381e-01
   44        25010.975        25005.564        25601.437       -7.851e+01
   45        24988.253        24982.861        25577.139       -1.603e+01
   46        25032.098        25026.668        25624.028       -1.789e+02
   47        24967.292        24961.918        25554.729       -2.381e-01
   48        25009.944        25004.533        25600.333       -7.464e+01
   49        24982.901        24977.513        25571.416       -8.180e+00
   50        25021.567        25016.145        25612.764       -1.238e+02
   51        24967.292        24961.918        25554.729       -2.381e-01
   52        25004.188        24998.783        25594.178       -5.490e+01
   53        24982.901        24977.513        25571.416       -8.180e+00
   54        25021.567        25016.145        25612.764       -1.238e+02
   55        24967.292        24961.918        25554.729       -2.381e-01
   56        25004.188        24998.783        25594.178       -5.490e+01
   57        24982.901        24977.513        25571.416       -8.180e+00
   58        25021.567        25016.145        25612.764       -1.238e+02
   59        24967.292        24961.918        25554.729       -2.381e-01
   60        24996.211        24990.813        25585.649       -3.254e+01
   61        24977.700        24972.317        25565.856       -3.061e+00
   62        25021.567        25016.145        25612.764       -1.238e+02
   63        24967.292        24961.918        25554.729       -2.381e-01
   64        24996.211        24990.813        25585.649       -3.254e+01
   65        24962.465        24957.095        25549.569       -2.288e+00
   66        25001.996        24996.592        25591.834       -4.817e+01
   67        24967.292        24961.918        25554.729       -2.381e-01
   68        24994.193        24988.796        25583.491       -2.781e+01
   69        24962.465        24957.095        25549.569       -2.288e+00
   70        25001.996        24996.592        25591.834       -4.817e+01
   71        24974.808        24969.428        25562.764       -1.284e+00
   72        24990.164        24984.770        25579.182       -1.946e+01
   73        24962.465        24957.095        25549.569       -2.288e+00
   74        25001.996        24996.592        25591.834       -4.817e+01
   75        24974.808        24969.428        25562.764       -1.284e+00
   76        24990.164        24984.770        25579.182       -1.946e+01
   77        24962.465        24957.095        25549.569       -2.288e+00
   78        25001.996        24996.592        25591.834       -4.817e+01
   79        24974.377        24968.998        25562.304       -1.085e+00
   80        24990.164        24984.770        25579.182       -1.946e+01
   81        24975.195        24969.814        25563.177       -1.477e+00
   82        24999.818        24994.417        25589.506       -4.193e+01
   83        24974.377        24968.998        25562.304       -1.085e+00
   84        24986.757        24981.366        25575.539       -1.357e+01
   85        24966.288        24960.915        25553.656       -4.892e-01
   86        24999.818        24994.417        25589.506       -4.193e+01
   87        24974.377        24968.998        25562.304       -1.085e+00
   88        24986.530        24981.140        25575.296       -1.322e+01
   89        24970.570        24965.193        25558.233       -5.961e-02
   90        24985.879        24980.490        25574.601       -1.222e+01
   91        24974.061        24968.682        25561.966       -9.490e-01
   92        24986.848        24981.457        25575.637       -1.371e+01
   93        24969.803        24964.428        25557.414       -1.342e-02
   94        24985.936        24980.547        25574.661       -1.231e+01
   95        24976.300        24970.919        25564.360       -2.105e+00
   96        24984.736        24979.347        25573.378       -1.058e+01
   97        24968.485        24963.110        25556.005       -5.952e-02
   98        24985.936        24980.547        25574.661       -1.231e+01
   99        24976.300        24970.919        25564.360       -2.105e+00
  100        24983.616        24978.228        25572.181       -9.077e+00
  101        24968.823        24963.447        25556.366       -3.259e-02
  102        24985.936        24980.547        25574.661       -1.231e+01
  103        24979.127        24973.744        25567.382       -4.220e+00
  104        24983.616        24978.228        25572.181       -9.077e+00
  105        24968.823        24963.447        25556.366       -3.259e-02
  106        24985.936        24980.547        25574.661       -1.231e+01
  107        24978.223        24972.839        25566.415       -3.464e+00
  108        24983.616        24978.228        25572.181       -9.077e+00
  109        24971.892        24966.514        25559.647       -2.654e-01
  110        24984.890        24979.501        25573.544       -1.079e+01
  111        24978.223        24972.839        25566.415       -3.464e+00
  112        24983.950        24978.563        25572.539       -9.513e+00
  113        24975.546        24970.165        25563.553       -1.665e+00
  114        24978.873        24973.489        25567.110       -4.000e+00
  115        24979.715        24974.331        25568.011       -4.752e+00
  116        24983.270        24977.882        25571.811       -8.637e+00
  117        24975.379        24969.999        25563.375       -1.574e+00
  118        24980.172        24974.788        25568.499       -5.186e+00
  119        24980.084        24974.699        25568.405       -5.101e+00
  120        24982.675        24977.288        25571.175       -7.907e+00
  121        24971.734        24966.356        25559.477       -2.323e-01
  122        24979.734        24974.350        25568.031       -4.769e+00
  123        24980.084        24974.699        25568.405       -5.101e+00
  124        24982.697        24977.309        25571.198       -7.932e+00
  125        24970.587        24965.210        25558.252       -6.125e-02
  126        24979.531        24974.146        25567.813       -4.581e+00
  127        24978.160        24972.777        25566.348       -3.414e+00
  128        24981.908        24976.521        25570.355       -7.012e+00
  129        24967.038        24961.665        25554.458       -2.928e-01
  130        24981.109        24975.724        25569.501       -6.138e+00
  131        24976.830        24971.448        25564.926       -2.446e+00
  132        24981.908        24976.521        25570.355       -7.012e+00
  133        24960.705        24955.337        25547.688       -3.564e+00
  134        24981.109        24975.724        25569.501       -6.138e+00
  135        24976.983        24971.602        25565.090       -2.550e+00
  136        24981.908        24976.521        25570.355       -7.012e+00
  137        24960.705        24955.337        25547.688       -3.564e+00
  138        24981.109        24975.724        25569.501       -6.138e+00
  139        24978.989        24973.605        25567.234       -4.099e+00
  140        24981.908        24976.521        25570.355       -7.012e+00
  141        24960.705        24955.337        25547.688       -3.564e+00
  142        24981.246        24975.860        25569.648       -6.284e+00
  143        24976.760        24971.379        25564.852       -2.400e+00
  144        24981.973        24976.587        25570.425       -7.086e+00
  145        24965.273        24959.901        25552.571       -8.365e-01
  146        24975.199        24969.818        25563.182       -1.479e+00
  147        24976.760        24971.379        25564.852       -2.400e+00
  148        24981.973        24976.587        25570.425       -7.086e+00
  149        24965.273        24959.901        25552.571       -8.365e-01
  150        24975.199        24969.818        25563.182       -1.479e+00
  151        24976.760        24971.379        25564.852       -2.400e+00
  152        24981.973        24976.587        25570.425       -7.086e+00
  153        24964.967        24959.596        25552.244       -9.595e-01
  154        24970.225        24964.849        25557.865       -3.222e-02
  155        24976.760        24971.379        25564.852       -2.400e+00
  156        24981.973        24976.587        25570.425       -7.086e+00
  157        24965.457        24960.085        25552.767       -7.667e-01
  158        24971.669        24966.292        25559.409       -2.195e-01
  159        24975.056        24969.676        25563.029       -1.406e+00
  160        24982.823        24977.436        25571.333       -8.085e+00
  161        24965.074        24959.703        25552.359       -9.154e-01
  162        24971.669        24966.292        25559.409       -2.195e-01
  163        24975.056        24969.676        25563.029       -1.406e+00
  164        24976.560        24971.178        25564.637       -2.269e+00
  165        24968.110        24962.735        25555.603       -1.017e-01
  166        24970.030        24964.654        25557.656       -2.148e-02
  167        24975.056        24969.676        25563.029       -1.406e+00
  168        24976.560        24971.178        25564.637       -2.269e+00
  169        24968.934        24963.559        25556.484       -2.600e-02
  170        24970.356        24964.979        25558.005       -4.132e-02
  171        24975.307        24969.927        25563.298       -1.536e+00
  172        24976.928        24971.546        25565.031       -2.512e+00
  173        24968.934        24963.559        25556.484       -2.600e-02
  174        24971.617        24966.239        25559.353       -2.094e-01
  175        24974.111        24968.732        25562.020       -9.700e-01
  176        24976.522        24971.140        25564.596       -2.245e+00
  177        24966.577        24961.204        25553.965       -4.074e-01
  178        24972.208        24966.831        25559.985       -3.383e-01
  179        24974.111        24968.732        25562.020       -9.700e-01
  180        24978.100        24972.718        25566.284       -3.367e+00
  181        24968.728        24963.352        25556.264       -3.912e-02
  182        24972.208        24966.831        25559.985       -3.383e-01
  183        24974.890        24969.510        25562.852       -1.324e+00
  184        24980.127        24974.742        25568.451       -5.142e+00
  185        24970.996        24965.618        25558.689       -1.085e-01
