polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the composite wind profile from Sromovsky et al. (2015, Icarus 258) Table 6.
the distribution of models in this file comes from randomly drawing the near-equatorial occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
    0   24975.96994066   25563.23340916
    1   24962.89982742   25549.25988114
    2   24975.05774953   25562.25823757
    3   24977.01083917   25564.34658022
    4   24967.43981818   25554.11366796
    5   24976.85070344   25564.17509976
    6   24970.78519137   25557.69029683
    7   24973.33640032   25560.41769592
    8   24971.54307372   25558.50061076
    9   24963.74431241   25550.16281394
   10   24968.10783415   25554.82770075
   11   24971.67989892   25558.64681215
   12   24969.70924113   25556.53972043
   13   24961.22784537   25547.47253964
   14   24961.33807965   25547.59012803
   15   24968.77485248   25555.54095480
   16   24972.08205785   25559.07691152
   17   24976.12695094   25563.40129255
   18   24974.15481944   25561.29313214
   19   24972.39977962   25559.41651806
   20   24973.23208422   25560.30602021
   21   24963.10080271   25549.47486362
   22   24960.69361661   25546.90140578
   23   24968.07881100   25554.79678557
   24   24961.82178799   25548.10757871
   25   24971.94039723   25558.92545673
   26   24969.72510717   25556.55642577
   27   24968.72831797   25555.49089291
   28   24971.15476237   25558.08522977
   29   24973.69372356   25560.80009338
   30   24969.61988881   25556.44428851
   31   24968.21881181   25554.94609279
   32   24967.71954607   25554.41237906
   33   24976.88609683   25564.21281214
   34   24965.97336071   25552.54577029
   35   24971.17359876   25558.10521916
   36   24979.30863290   25566.80302842
   37   24961.35908555   25547.61194160
   38   24967.05778174   25553.70519000
   39   24973.55608578   25560.65237211
   40   24968.25455654   25554.98449504
   41   24974.58352748   25561.75106131
   42   24969.72465592   25556.55623028
   43   24966.53709548   25553.14841085
   44   24970.87129673   25557.78217602
   45   24971.76794376   25558.74101966
   46   24972.69571110   25559.73292831
   47   24973.25498923   25560.33072193
   48   24964.96203125   25551.46459948
   49   24973.12299028   25560.18982557
   50   24970.74682091   25557.64901665
   51   24967.27563370   25553.93778948
   52   24974.66103670   25561.83405563
   53   24977.87215107   25565.26726086
   54   24968.59024366   25555.34351924
   55   24965.20356812   25551.72280962
   56   24969.00002472   25555.78143386
   57   24974.43824118   25561.59532591
   58   24964.37764339   25550.83995966
   59   24976.83448641   25564.15781374
   60   24968.19910520   25554.92529970
   61   24972.93873533   25559.99271754
   62   24968.73517068   25555.49789610
   63   24967.34974059   25554.01695327
   64   24971.13894066   25558.06842621
   65   24958.80341523   25544.88062169
   66   24959.34618363   25545.46099010
   67   24962.84196551   25549.19811064
   68   24978.60463472   25566.05056514
   69   24978.80114011   25566.26059894
   70   24967.91872234   25554.62526342
   71   24967.35805141   25554.02606568
   72   24975.00302479   25562.19971849
   73   24970.76667433   25557.67040178
   74   24965.17439254   25551.69160668
   75   24972.86207633   25559.91066522
   76   24973.70535452   25560.81234878
   77   24974.64933561   25561.82116407
   78   24972.06141365   25559.05487688
   79   24963.94531285   25550.37729178
   80   24976.49357057   25563.79321465
   81   24965.37091331   25551.90189737
   82   24966.51068610   25553.12015766
   83   24965.44995416   25551.98605870
   84   24964.04413763   25550.48313216
   85   24975.65050144   25562.89210613
   86   24973.28420316   25560.36156119
   87   24961.90891260   25548.20073193
   88   24965.97123855   25552.54364899
   89   24972.28038360   25559.28867115
