polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
the distribution of models in this file comes from randomly drawing the gravity moments j2,j4 from a multivariate Gaussian from French et al. 2024 Table 17: Fit 15, Adopted solution.
index         r_pol_km          r_eq_km
    0   24968.68138190   25556.60873892
    1   24968.63554331   25556.60880092
    2   24968.68135536   25556.60866672
    3   24968.73152152   25556.60843480
    4   24968.71017227   25556.60835984
    5   24968.64887625   25556.60859120
    6   24968.64864344   25556.60869902
    7   24968.68935703   25556.60855934
    8   24968.72035569   25556.60851401
    9   24968.67878431   25556.60862313
   10   24968.73810281   25556.60842921
   11   24968.67841311   25556.60878393
   12   24968.68454567   25556.60865150
   13   24968.68725421   25556.60853098
   14   24968.72497555   25556.60842705
   15   24968.65364510   25556.60870472
   16   24968.68606815   25556.60848695
   17   24968.70966517   25556.60841572
   18   24968.67369566   25556.60857516
   19   24968.68199877   25556.60859755
   20   24968.71329921   25556.60851480
   21   24968.74876803   25556.60843958
   22   24968.64446284   25556.60867142
   23   24968.72570718   25556.60858027
   24   24968.66153797   25556.60853405
   25   24968.68042383   25556.60868073
   26   24968.66132155   25556.60868144
   27   24968.71500995   25556.60838541
   28   24968.64902556   25556.60862057
   29   24968.69743368   25556.60843699
   30   24968.71586198   25556.60840389
   31   24968.63708961   25556.60881910
   32   24968.67147392   25556.60846841
   33   24968.72521928   25556.60846621
   34   24968.63600636   25556.60867952
   35   24968.63603010   25556.60873204
   36   24968.64357120   25556.60871313
   37   24968.69064914   25556.60849968
   38   24968.65095196   25556.60870137
   39   24968.63157381   25556.60872427
   40   24968.64033085   25556.60868964
   41   24968.67902478   25556.60855232
   42   24968.68355868   25556.60867352
   43   24968.69558445   25556.60854903
   44   24968.71466304   25556.60853520
   45   24968.71126488   25556.60838038
   46   24968.66685725   25556.60867716
   47   24968.65792267   25556.60865679
   48   24968.66601031   25556.60848501
   49   24968.67992676   25556.60858279
   50   24968.73328808   25556.60854798
   51   24968.66272580   25556.60863397
   52   24968.70306135   25556.60851802
   53   24968.67749573   25556.60859347
   54   24968.62992515   25556.60877628
   55   24968.72652209   25556.60856081
   56   24968.73429444   25556.60839169
   57   24968.72147308   25556.60852928
   58   24968.64915745   25556.60869383
   59   24968.60766837   25556.60880261
   60   24968.70674540   25556.60861545
   61   24968.69760094   25556.60867692
   62   24968.66617177   25556.60868362
   63   24968.63216294   25556.60875332
   64   24968.71593492   25556.60855578
   65   24968.65168745   25556.60880354
   66   24968.64205136   25556.60875996
   67   24968.71994451   25556.60851242
   68   24968.62327159   25556.60874369
   69   24968.70055647   25556.60849833
   70   24968.62974399   25556.60879651
   71   24968.68584961   25556.60854982
   72   24968.70371662   25556.60844962
   73   24968.66782441   25556.60866904
   74   24968.67623275   25556.60856033
   75   24968.71687646   25556.60871131
   76   24968.70992993   25556.60851360
   77   24968.69393827   25556.60862266
   78   24968.73727625   25556.60839055
   79   24968.63798420   25556.60884977
   80   24968.69020051   25556.60840678
   81   24968.71992548   25556.60855103
   82   24968.65427277   25556.60871033
   83   24968.65084683   25556.60848974
   84   24968.71597913   25556.60853925
   85   24968.65188840   25556.60862352
   86   24968.68711969   25556.60865712
   87   24968.69127548   25556.60855033
   88   24968.71222513   25556.60840853
   89   24968.71053936   25556.60843360
   90   24968.66107092   25556.60857213
   91   24968.74651230   25556.60840839
   92   24968.67363069   25556.60857097
   93   24968.70802060   25556.60842518
   94   24968.69357806   25556.60869809
   95   24968.68758431   25556.60849563
   96   24968.70352855   25556.60863016
   97   24968.71349529   25556.60841719
   98   24968.69821111   25556.60854968
   99   24968.71972874   25556.60848742
  100   24968.66369861   25556.60863786
  101   24968.74221236   25556.60830253
  102   24968.64943089   25556.60851847
  103   24968.67333939   25556.60849860
  104   24968.60356327   25556.60869826
  105   24968.70421950   25556.60846613
  106   24968.71393966   25556.60849857
  107   24968.66238939   25556.60858263
  108   24968.65227062   25556.60858601
  109   24968.67082805   25556.60851469
  110   24968.67226162   25556.60865955
  111   24968.62545828   25556.60871466
  112   24968.70184085   25556.60857197
  113   24968.70155913   25556.60849454
  114   24968.74389370   25556.60854824
  115   24968.70981154   25556.60848467
  116   24968.68301147   25556.60851651
  117   24968.71514101   25556.60861732
  118   24968.75118067   25556.60833285
  119   24968.66270310   25556.60870135
  120   24968.70207738   25556.60851746
  121   24968.70342224   25556.60853574
  122   24968.72126422   25556.60847672
  123   24968.66435315   25556.60867065
  124   24968.71331986   25556.60846876
  125   24968.64895719   25556.60870086
  126   24968.73639452   25556.60843343
  127   24968.69655401   25556.60868593
  128   24968.70645786   25556.60847559
  129   24968.68679114   25556.60860631
  130   24968.67486082   25556.60861151
  131   24968.67178803   25556.60867829
  132   24968.61028112   25556.60872276
  133   24968.62619415   25556.60861554
  134   24968.68834956   25556.60848886
  135   24968.66370372   25556.60869465
  136   24968.70345094   25556.60855674
  137   24968.66200499   25556.60859517
  138   24968.64878897   25556.60853772
  139   24968.64556736   25556.60879273
  140   24968.65251045   25556.60863117
  141   24968.62458244   25556.60874642
  142   24968.67615562   25556.60866336
  143   24968.73026058   25556.60839804
  144   24968.70497367   25556.60843173
  145   24968.67183957   25556.60859859
  146   24968.67676104   25556.60881321
  147   24968.65980946   25556.60869799
  148   24968.70585969   25556.60849728
  149   24968.63945262   25556.60876066
  150   24968.66306791   25556.60855124
  151   24968.68670680   25556.60859659
  152   24968.67169994   25556.60855844
  153   24968.71989055   25556.60841640
  154   24968.65887470   25556.60863824
  155   24968.66167999   25556.60862642
  156   24968.66932458   25556.60866413
  157   24968.64113294   25556.60869220
  158   24968.68820926   25556.60852614
  159   24968.76011792   25556.60830575
  160   24968.60168079   25556.60887367
  161   24968.66502739   25556.60862070
  162   24968.71418441   25556.60853168
  163   24968.61374265   25556.60881873
  164   24968.67347469   25556.60848597
  165   24968.70835186   25556.60857802
  166   24968.65141791   25556.60879064
  167   24968.64936150   25556.60877751
  168   24968.70836963   25556.60858095
  169   24968.64604870   25556.60869511
  170   24968.69000386   25556.60847608
  171   24968.67246806   25556.60869314
  172   24968.66824228   25556.60872983
  173   24968.65847789   25556.60845358
  174   24968.64750095   25556.60865749
  175   24968.67010156   25556.60849034
  176   24968.67753036   25556.60867864
  177   24968.67341538   25556.60858570
  178   24968.65414264   25556.60864710
  179   24968.75576973   25556.60836657
  180   24968.73009833   25556.60850239
  181   24968.72635254   25556.60851613
  182   24968.72559544   25556.60841427
  183   24968.68956660   25556.60856778
  184   24968.67277198   25556.60855102
  185   24968.68142222   25556.60862895
  186   24968.66063698   25556.60865885
  187   24968.60363198   25556.60868237
  188   24968.65251786   25556.60865621
  189   24968.72284357   25556.60845580
  190   24968.66746220   25556.60861949
  191   24968.69871225   25556.60858384
  192   24968.72242323   25556.60860397
  193   24968.66367104   25556.60865055
  194   24968.69558330   25556.60852699
  195   24968.64842837   25556.60866754
  196   24968.69326517   25556.60859288
  197   24968.66545808   25556.60873262
  198   24968.74272481   25556.60837131
  199   24968.70271711   25556.60860340
  200   24968.69869009   25556.60855481
  201   24968.70870476   25556.60856926
  202   24968.70457218   25556.60854002
  203   24968.70961088   25556.60847091
  204   24968.67265960   25556.60857911
  205   24968.74392972   25556.60835987
  206   24968.70086843   25556.60859511
  207   24968.71384429   25556.60838854
  208   24968.71957698   25556.60835250
  209   24968.71031772   25556.60864016
  210   24968.68564921   25556.60846283
  211   24968.62288272   25556.60866340
  212   24968.66796786   25556.60871952
  213   24968.62143946   25556.60868112
  214   24968.76454069   25556.60842253
  215   24968.67961031   25556.60864942
  216   24968.70474783   25556.60848704
  217   24968.67604928   25556.60876491
  218   24968.69096832   25556.60859556
  219   24968.72272173   25556.60853971
  220   24968.69629170   25556.60864963
  221   24968.73050279   25556.60843640
  222   24968.66569607   25556.60875523
  223   24968.65661879   25556.60859008
  224   24968.67538083   25556.60853862
  225   24968.64692351   25556.60866185
  226   24968.73188296   25556.60847408
  227   24968.66615819   25556.60859854
  228   24968.66017802   25556.60864102
  229   24968.66498733   25556.60869877
  230   24968.65637877   25556.60875201
  231   24968.65062071   25556.60868315
  232   24968.74466970   25556.60850033
  233   24968.68659640   25556.60846996
  234   24968.71019970   25556.60837017
  235   24968.68333779   25556.60852794
  236   24968.66612683   25556.60862975
  237   24968.71754425   25556.60852345
  238   24968.61030990   25556.60881209
  239   24968.66445287   25556.60862936
  240   24968.62618572   25556.60872929
  241   24968.67058957   25556.60856326
  242   24968.71610570   25556.60852602
  243   24968.68773910   25556.60853081
  244   24968.71605120   25556.60864125
  245   24968.65459767   25556.60868707
  246   24968.73214018   25556.60838053
  247   24968.71874214   25556.60836157
  248   24968.71072353   25556.60852864
  249   24968.70878116   25556.60849953
  250   24968.65165929   25556.60864299
  251   24968.66230875   25556.60861041
  252   24968.69960438   25556.60855856
  253   24968.63390099   25556.60874380
  254   24968.66370765   25556.60863977
  255   24968.73063503   25556.60840231
  256   24968.68847376   25556.60846370
  257   24968.70343978   25556.60858561
  258   24968.65926408   25556.60852649
  259   24968.71077812   25556.60841099
  260   24968.70546579   25556.60848692
  261   24968.67212052   25556.60862805
  262   24968.69668751   25556.60863028
  263   24968.69009119   25556.60852535
  264   24968.67713152   25556.60864922
  265   24968.67298195   25556.60860906
  266   24968.71841275   25556.60857048
  267   24968.63700969   25556.60864125
  268   24968.69411292   25556.60863559
  269   24968.64720030   25556.60862526
  270   24968.66410888   25556.60869799
  271   24968.70106055   25556.60855732
  272   24968.65529499   25556.60867358
  273   24968.66047298   25556.60864380
  274   24968.69196842   25556.60862212
  275   24968.68975163   25556.60855242
  276   24968.68676218   25556.60857989
  277   24968.68170231   25556.60852787
  278   24968.64134676   25556.60871684
  279   24968.66121020   25556.60861019
  280   24968.73635647   25556.60840090
  281   24968.68659917   25556.60855902
  282   24968.65790250   25556.60857340
  283   24968.69989477   25556.60853015
  284   24968.68745722   25556.60850818
  285   24968.70366980   25556.60860235
  286   24968.68594893   25556.60846429
  287   24968.74639738   25556.60837820
  288   24968.61421711   25556.60868278
  289   24968.63799748   25556.60858737
  290   24968.68557945   25556.60853361
  291   24968.69629061   25556.60841706
  292   24968.70470245   25556.60839603
  293   24968.63816495   25556.60864036
  294   24968.69356535   25556.60852323
  295   24968.72366128   25556.60839848
  296   24968.70218782   25556.60856863
  297   24968.65468986   25556.60860793
  298   24968.68875737   25556.60862393
  299   24968.70171095   25556.60867519
  300   24968.70636900   25556.60867089
  301   24968.65645914   25556.60877911
  302   24968.68663609   25556.60847128
  303   24968.66205325   25556.60866805
  304   24968.68664217   25556.60855153
  305   24968.70142978   25556.60846587
  306   24968.63869478   25556.60859228
  307   24968.70777003   25556.60851314
  308   24968.68903885   25556.60852403
  309   24968.64550086   25556.60868755
  310   24968.70996041   25556.60850351
  311   24968.71606135   25556.60846675
  312   24968.70669465   25556.60835698
  313   24968.66165582   25556.60865837
  314   24968.71045540   25556.60839917
  315   24968.70537085   25556.60857921
  316   24968.67698117   25556.60865606
  317   24968.67616204   25556.60857878
  318   24968.66074627   25556.60867730
  319   24968.69688427   25556.60862523
  320   24968.73098699   25556.60852701
  321   24968.71826433   25556.60842163
  322   24968.74085196   25556.60847192
  323   24968.66496772   25556.60864619
  324   24968.64784066   25556.60860847
  325   24968.65974861   25556.60863863
  326   24968.66014108   25556.60877083
  327   24968.70327508   25556.60865088
  328   24968.70744498   25556.60833690
  329   24968.68239840   25556.60843840
  330   24968.67507920   25556.60849908
  331   24968.64288652   25556.60868737
  332   24968.68242842   25556.60851291
  333   24968.69031660   25556.60850428
  334   24968.63516535   25556.60884769
  335   24968.68398003   25556.60846545
  336   24968.68760286   25556.60845900
  337   24968.69563188   25556.60857680
  338   24968.72012358   25556.60849217
  339   24968.57645790   25556.60888514
  340   24968.63564946   25556.60876218
  341   24968.63140030   25556.60868369
  342   24968.68403320   25556.60852678
  343   24968.68723575   25556.60865337
  344   24968.70835963   25556.60863699
  345   24968.65003313   25556.60874407
  346   24968.66718873   25556.60866781
  347   24968.66997894   25556.60867582
  348   24968.69794644   25556.60852366
  349   24968.66920355   25556.60850277
  350   24968.72031541   25556.60856899
  351   24968.74508172   25556.60843356
  352   24968.63543307   25556.60888245
  353   24968.69257177   25556.60856983
  354   24968.70374066   25556.60847807
  355   24968.70138383   25556.60861617
  356   24968.57942631   25556.60884256
  357   24968.70228936   25556.60858375
  358   24968.66380380   25556.60868702
  359   24968.66561280   25556.60860579
  360   24968.63677439   25556.60874991
  361   24968.69166806   25556.60850111
  362   24968.65163542   25556.60858733
  363   24968.68177566   25556.60864742
  364   24968.69303294   25556.60853261
  365   24968.73841217   25556.60845239
  366   24968.62825450   25556.60873002
  367   24968.66526584   25556.60867437
  368   24968.67250232   25556.60858785
  369   24968.64075338   25556.60870189
  370   24968.67192968   25556.60854336
  371   24968.64903317   25556.60866347
  372   24968.69867114   25556.60860368
  373   24968.67589264   25556.60862330
  374   24968.69769243   25556.60854368
  375   24968.63780108   25556.60879644
  376   24968.66713213   25556.60859153
  377   24968.58913781   25556.60887584
  378   24968.68762187   25556.60852830
  379   24968.69183769   25556.60862384
  380   24968.67231948   25556.60861038
  381   24968.66798533   25556.60862843
  382   24968.67824342   25556.60870675
  383   24968.67804240   25556.60856448
  384   24968.70058323   25556.60862412
  385   24968.66529521   25556.60866794
  386   24968.72025980   25556.60852800
  387   24968.68817957   25556.60842615
  388   24968.76120426   25556.60848017
  389   24968.72315473   25556.60854781
  390   24968.67543223   25556.60858361
  391   24968.69406710   25556.60853087
  392   24968.66974202   25556.60861015
  393   24968.66192492   25556.60871150
  394   24968.67734130   25556.60854137
  395   24968.66614171   25556.60849149
  396   24968.74377098   25556.60830299
  397   24968.72414886   25556.60858968
  398   24968.68743878   25556.60869134
  399   24968.67876285   25556.60855092
  400   24968.72980872   25556.60852380
  401   24968.68127213   25556.60853571
  402   24968.70799366   25556.60852518
  403   24968.65871170   25556.60862332
  404   24968.69175148   25556.60853704
  405   24968.69970533   25556.60874530
  406   24968.67329687   25556.60865650
  407   24968.76288482   25556.60840001
  408   24968.69372428   25556.60853800
  409   24968.68782666   25556.60849530
  410   24968.63937718   25556.60872367
  411   24968.73304942   25556.60845196
  412   24968.75175734   25556.60837554
  413   24968.71240386   25556.60842035
  414   24968.67846162   25556.60863985
  415   24968.68797538   25556.60853393
  416   24968.66619948   25556.60868712
  417   24968.68652756   25556.60854726
  418   24968.73658338   25556.60859126
  419   24968.62178918   25556.60876096
  420   24968.72957956   25556.60845612
  421   24968.66630019   25556.60863752
  422   24968.67482309   25556.60872316
  423   24968.69134743   25556.60850427
  424   24968.67903634   25556.60862316
  425   24968.68051044   25556.60866961
  426   24968.58832718   25556.60889110
  427   24968.67705656   25556.60868123
  428   24968.66898893   25556.60865681
  429   24968.71109074   25556.60843637
  430   24968.68030735   25556.60861524
  431   24968.68301808   25556.60859675
  432   24968.65544528   25556.60875111
  433   24968.65811394   25556.60868698
  434   24968.63939490   25556.60867997
  435   24968.63803126   25556.60870065
  436   24968.66818082   25556.60873578
  437   24968.68797758   25556.60862243
  438   24968.66824148   25556.60866971
  439   24968.72300787   25556.60849331
  440   24968.68826619   25556.60861669
  441   24968.68218467   25556.60873936
  442   24968.73195066   25556.60837735
  443   24968.66311455   25556.60876968
  444   24968.72114886   25556.60864266
  445   24968.70448063   25556.60856814
  446   24968.72913084   25556.60842320
  447   24968.67253075   25556.60851596
  448   24968.72330967   25556.60861024
  449   24968.70738576   25556.60843391
  450   24968.66184108   25556.60862961
  451   24968.65478470   25556.60863951
  452   24968.66183588   25556.60860607
  453   24968.70339118   25556.60848871
  454   24968.64605342   25556.60863365
  455   24968.69231279   25556.60870849
  456   24968.69496157   25556.60863440
  457   24968.66527247   25556.60870908
  458   24968.69941467   25556.60843027
  459   24968.70668877   25556.60864970
  460   24968.69204714   25556.60842996
  461   24968.70987267   25556.60848863
  462   24968.65857907   25556.60871312
  463   24968.69545366   25556.60846451
  464   24968.74473413   25556.60837519
  465   24968.68519860   25556.60845844
  466   24968.67694562   25556.60862738
  467   24968.73894665   25556.60833517
  468   24968.64579532   25556.60873180
  469   24968.71667392   25556.60847330
  470   24968.68096581   25556.60860726
  471   24968.61511257   25556.60865850
  472   24968.66089377   25556.60846846
  473   24968.68944812   25556.60853361
  474   24968.69860480   25556.60861436
  475   24968.72271886   25556.60850633
  476   24968.68992107   25556.60844255
  477   24968.67361431   25556.60850646
  478   24968.69315279   25556.60846318
  479   24968.72339923   25556.60848431
  480   24968.65507782   25556.60875136
  481   24968.68884700   25556.60863385
  482   24968.70657087   25556.60846289
  483   24968.70639053   25556.60856353
  484   24968.69731311   25556.60846381
  485   24968.61375351   25556.60879964
  486   24968.67898957   25556.60852047
  487   24968.68152314   25556.60855151
  488   24968.63638082   25556.60876138
  489   24968.70151543   25556.60852027
  490   24968.63416019   25556.60884895
  491   24968.70253415   25556.60863834
  492   24968.66700822   25556.60861798
  493   24968.66713009   25556.60866829
  494   24968.65086025   25556.60858411
  495   24968.67757337   25556.60863231
  496   24968.67884912   25556.60856602
  497   24968.62962795   25556.60872771
  498   24968.67396627   25556.60861849
  499   24968.62967099   25556.60875727
  500   24968.71270847   25556.60851810
  501   24968.68823332   25556.60855141
  502   24968.67078207   25556.60861145
  503   24968.65270068   25556.60863755
  504   24968.66784616   25556.60850481
  505   24968.68378421   25556.60855745
  506   24968.70048689   25556.60852387
  507   24968.71354815   25556.60845590
  508   24968.64527330   25556.60872137
  509   24968.70869660   25556.60850986
  510   24968.66827120   25556.60877983
  511   24968.66450878   25556.60877114
  512   24968.66193552   25556.60860449
  513   24968.72952257   25556.60827956
  514   24968.59803733   25556.60881840
  515   24968.68243501   25556.60859969
  516   24968.71498008   25556.60859069
  517   24968.64671437   25556.60877600
  518   24968.65080631   25556.60865821
  519   24968.70990869   25556.60858473
  520   24968.68764397   25556.60847284
  521   24968.69145897   25556.60864860
  522   24968.65977735   25556.60866908
  523   24968.63349242   25556.60880797
  524   24968.65794963   25556.60864616
  525   24968.68915298   25556.60850780
  526   24968.69964549   25556.60855804
  527   24968.68939291   25556.60859131
  528   24968.68059231   25556.60865311
  529   24968.70657804   25556.60856762
  530   24968.66435162   25556.60876346
  531   24968.74197054   25556.60851229
  532   24968.76976425   25556.60825623
  533   24968.61354365   25556.60885146
  534   24968.65333650   25556.60871281
  535   24968.64952516   25556.60862022
  536   24968.70278127   25556.60852737
  537   24968.63849679   25556.60859424
  538   24968.69961039   25556.60859793
  539   24968.75051930   25556.60837292
  540   24968.66442877   25556.60861519
  541   24968.70931533   25556.60849015
  542   24968.63739233   25556.60861229
  543   24968.64845819   25556.60879419
  544   24968.71440659   25556.60860162
  545   24968.72136468   25556.60852916
  546   24968.65360282   25556.60875996
  547   24968.71322561   25556.60858770
  548   24968.64324768   25556.60864376
  549   24968.73808837   25556.60848106
  550   24968.70549345   25556.60849989
  551   24968.71015229   25556.60847863
  552   24968.70246312   25556.60848164
  553   24968.72473941   25556.60858943
  554   24968.67169422   25556.60862226
  555   24968.69704986   25556.60861817
  556   24968.65277596   25556.60870426
  557   24968.70218878   25556.60851173
  558   24968.73711766   25556.60854437
  559   24968.69859810   25556.60860885
  560   24968.67343275   25556.60863875
  561   24968.70469170   25556.60856801
  562   24968.68593221   25556.60851007
  563   24968.68425413   25556.60854180
  564   24968.70265423   25556.60857934
  565   24968.70051395   25556.60864904
  566   24968.62376546   25556.60874561
  567   24968.64807213   25556.60869959
  568   24968.67200364   25556.60855455
  569   24968.68418679   25556.60870574
  570   24968.67467569   25556.60855334
  571   24968.69898849   25556.60856015
  572   24968.68564459   25556.60851869
  573   24968.68009804   25556.60842640
  574   24968.65450636   25556.60861579
  575   24968.76837354   25556.60835194
  576   24968.71811114   25556.60856218
  577   24968.68676645   25556.60864723
  578   24968.68182390   25556.60866789
  579   24968.68393182   25556.60857918
  580   24968.71219382   25556.60847077
  581   24968.76589584   25556.60851197
  582   24968.68133343   25556.60865109
  583   24968.72003442   25556.60849792
  584   24968.68553542   25556.60848927
  585   24968.68180114   25556.60850905
  586   24968.68341562   25556.60867943
  587   24968.72642905   25556.60852026
  588   24968.69744374   25556.60859032
  589   24968.67094223   25556.60855098
  590   24968.67526998   25556.60860538
  591   24968.63237617   25556.60880962
  592   24968.72634132   25556.60848303
  593   24968.74902051   25556.60838989
  594   24968.70381464   25556.60842427
  595   24968.73582987   25556.60838228
  596   24968.73504329   25556.60845371
  597   24968.61384534   25556.60874571
  598   24968.69201987   25556.60859599
  599   24968.65433313   25556.60870969
  600   24968.72091068   25556.60844479
  601   24968.63521125   25556.60879832
  602   24968.66919696   25556.60860281
  603   24968.63326353   25556.60875552
  604   24968.71615718   25556.60843708
  605   24968.69006691   25556.60848520
  606   24968.61752015   25556.60882935
  607   24968.65608086   25556.60865911
  608   24968.75051400   25556.60842624
  609   24968.67859133   25556.60851522
  610   24968.57829293   25556.60888147
  611   24968.73737872   25556.60844889
  612   24968.67339301   25556.60868256
  613   24968.66768600   25556.60879141
  614   24968.69129914   25556.60849721
  615   24968.65140947   25556.60850380
  616   24968.73436793   25556.60839857
  617   24968.63102509   25556.60863559
