polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
the distribution of models in this file comes from randomly drawing the near-equatorial occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
    0   24968.25237398   25556.14664747
    1   24972.10826634   25560.26987584
    2   24961.95523938   25549.41332845
    3   24965.58189044   25553.29106053
    4   24968.21332110   25556.10487143
    5   24978.71650669   25567.33662227
    6   24975.19291759   25563.56851325
    7   24967.71459792   25555.57153513
    8   24972.24537778   25560.41653815
    9   24969.64324205   25557.63385734
   10   24963.81371003   25551.40051983
   11   24964.81184743   25552.46780958
   12   24963.75613139   25551.33895868
   13   24968.26923162   25556.16477201
   14   24969.42400065   25557.39946390
   15   24960.31632730   25547.66084682
   16   24973.64816123   25561.91646238
   17   24968.85791891   25556.79408348
   18   24967.91851701   25555.78966131
   19   24967.14952271   25554.96732675
   20   24976.10637196   25564.54533454
   21   24967.80157540   25555.66459584
   22   24967.83453063   25555.69993819
   23   24972.03157092   25560.18800557
   24   24968.68105213   25556.60509653
   25   24972.33219773   25560.50929242
   26   24969.09121458   25557.04368083
   27   24968.99408452   25556.93986705
   28   24974.28942752   25562.60241023
   29   24968.39592911   25556.30017720
   30   24964.47121814   25552.10350624
   31   24962.79542063   25550.31160328
   32   24968.94916675   25556.89180123
   33   24964.16573291   25551.77692183
   34   24972.17492863   25560.34115784
   35   24969.98525609   25557.99965027
   36   24967.23101783   25555.05447318
   37   24965.62635955   25553.33873232
   38   24968.34327819   25556.24378609
   39   24971.45261741   25559.56879268
   40   24972.68506135   25560.88667063
   41   24963.09962517   25550.63690233
   42   24977.56838774   25566.10880262
   43   24965.66706716   25553.38219721
   44   24963.15570492   25550.69686400
   45   24975.93435826   25564.36136669
   46   24974.36317225   25562.68118001
   47   24973.05341285   25561.28056607
   48   24965.52512241   25553.23046912
   49   24973.67541351   25561.94579031
   50   24968.17115615   25556.05988917
   51   24962.16878777   25549.64165766
   52   24965.54410591   25553.25074606
   53   24962.78210563   25550.29751362
   54   24972.89335932   25561.10945302
   55   24974.16328046   25562.46744300
   56   24963.82403614   25551.41153398
   57   24967.95280420   25555.82635134
   58   24970.52957157   25558.58166826
   59   24963.23026761   25550.77656802
   60   24973.05673068   25561.28412245
   61   24963.98595587   25551.58457552
   62   24962.18024057   25549.65392944
   63   24964.72673051   25552.37680574
   64   24966.94418774   25554.74780766
   65   24964.66471470   25552.31037372
   66   24974.31487874   25562.62959880
   67   24968.69314870   25556.61800358
   68   24962.00737789   25549.46903455
   69   24970.28977530   25558.32531475
   70   24961.97673364   25549.43628701
   71   24975.83408322   25564.25418220
   72   24963.06284009   25550.59750336
   73   24966.60098215   25554.38086750
   74   24969.57988963   25557.56621921
   75   24965.04414700   25552.71609146
   76   24964.07641042   25551.68138542
   77   24969.86622963   25557.87241481
   78   24961.38362043   25548.80209236
   79   24973.53942334   25561.80030857
   80   24962.63946560   25550.14487128
   81   24962.81348512   25550.33091148
   82   24968.00709939   25555.88436551
   83   24958.34107664   25545.54892067
   84   24968.60062910   25556.51895911
   85   24965.27222878   25552.96002393
   86   24970.24248404   25558.27470273
   87   24968.17713015   25556.06622835
   88   24972.87944346   25561.09452798
   89   24964.47559209   25552.10818543
   90   24972.39653539   25560.57816427
   91   24968.67332575   25556.59672107
   92   24966.26122528   25554.01757566
   93   24969.68439532   25557.67793854
   94   24965.05434919   25552.72696563
   95   24965.91467064   25553.64703357
   96   24966.16154856   25553.91099230
   97   24969.51572567   25557.49749750
   98   24968.13577052   25556.02203029
   99   24958.71401503   25545.94770143
  100   24975.38815991   25563.77733240
  101   24976.75154593   25565.23542986
  102   24965.68642788   25553.40293946
  103   24972.57522483   25560.76928124
  104   24971.28370669   25559.38814655
  105   24966.68373186   25554.46943401
  106   24967.72120084   25555.57861529
  107   24973.67455152   25561.94480523
  108   24961.15953814   25548.56253004
  109   24972.49069273   25560.67877734
  110   24974.50581506   25562.83372746
  111   24965.69103648   25553.40788365
  112   24975.55753907   25563.95852429
  113   24972.38455926   25560.56528021
  114   24973.79964301   25562.07859484
  115   24968.24321074   25556.13678491
  116   24963.84277137   25551.43152062
  117   24966.92398885   25554.72619136
  118   24958.11352528   25545.30566820
  119   24964.80080860   25552.45586329
  120   24971.77845359   25559.91728826
  121   24964.69562055   25552.34348811
  122   24970.45849646   25558.50572382
  123   24978.14758107   25566.72822467
  124   24966.16635595   25553.91611794
  125   24970.23308579   25558.26463941
  126   24961.46443965   25548.88844677
  127   24973.06374209   25561.29157956
  128   24973.04304811   25561.26953535
  129   24965.61898692   25553.33076953
  130   24964.17268293   25551.78436591
  131   24966.62564899   25554.40723364
  132   24962.83439039   25550.35332446
  133   24971.22727732   25559.32783900
  134   24973.58953158   25561.85383306
  135   24969.23599211   25557.19847954
  136   24960.22500589   25547.56332489
  137   24976.13017200   25564.57087264
  138   24970.92565656   25559.00523077
  139   24969.76665607   25557.76595769
  140   24961.14734212   25548.54952636
  141   24968.15461958   25556.04220781
  142   24968.88740696   25556.82574023
  143   24969.17352689   25557.13158969
  144   24971.38530018   25559.49686141
  145   24964.73925593   25552.39013773
  146   24966.41452150   25554.18141329
  147   24965.13045445   25552.80848800
  148   24967.60900191   25555.45872440
  149   24960.14832513   25547.48117342
  150   24973.14747490   25561.38123913
  151   24970.88429942   25558.96100553
  152   24972.20707930   25560.37556306
  153   24967.92514037   25555.79677439
  154   24970.00971517   25558.02578709
  155   24966.34726689   25554.10947988
  156   24976.02156873   25564.45468730
  157   24962.81981598   25550.33767463
  158   24962.28057440   25549.76109976
  159   24968.05225675   25555.93268109
  160   24969.45325895   25557.43070921
  161   24979.64890830   25568.33371221
  162   24973.57020853   25561.83318842
  163   24971.20259168   25559.30150916
  164   24964.56042931   25552.19889124
  165   24964.10256880   25551.70926683
  166   24964.05706729   25551.66061804
  167   24972.29553648   25560.47013163
  168   24973.02531154   25561.25056175
  169   24972.77431254   25560.98211966
  170   24964.24089077   25551.85730273
  171   24961.96326308   25549.42194074
  172   24969.04743388   25556.99684705
  173   24970.85705961   25558.93191047
  174   24969.63338227   25557.62342375
  175   24972.27431270   25560.44752098
  176   24972.50704096   25560.69627629
  177   24974.52465366   25562.85381432
  178   24972.32930241   25560.50617785
  179   24961.10599071   25548.50524261
  180   24965.48012582   25553.18238821
  181   24967.61700898   25555.46728511
  182   24977.27678691   25565.79694409
  183   24965.41096767   25553.10838175
  184   24967.20819487   25555.03009852
  185   24967.61436555   25555.46454215
  186   24971.95792188   25560.10919358
  187   24967.18052519   25555.00054703
  188   24969.98014142   25557.99419948
  189   24962.18158379   25549.65532649
  190   24969.10903491   25557.06262135
  191   24974.15131728   25562.45468438
  192   24971.33542650   25559.44348333
  193   24967.60112412   25555.45029912
  194   24972.69049360   25560.89256753
  195   24972.61399595   25560.81078350
  196   24970.58122243   25558.63700319
  197   24971.88051895   25560.02646543
  198   24973.58295586   25561.84686817
  199   24965.27082890   25552.95845336
  200   24965.83166377   25553.55820925
  201   24971.71827532   25559.85278064
  202   24976.67125603   25565.14942929
  203   24968.15946226   25556.04735636
  204   24963.84053215   25551.42911354
  205   24974.39600436   25562.71634678
  206   24967.17995231   25554.99991501
  207   24966.78461643   25554.57722148
  208   24957.55008623   25544.70321802
  209   24968.04637009   25555.92640039
  210   24971.47052398   25559.58800060
  211   24963.94837600   25551.54450262
  212   24972.78922624   25560.99809689
  213   24963.76849479   25551.35209837
  214   24965.68845682   25553.40510539
  215   24964.03712652   25551.63933897
  216   24964.30025220   25551.92076719
  217   24961.51047890   25548.93771842
  218   24966.84474285   25554.64155903
  219   24966.51207024   25554.28576275
  220   24967.00262613   25554.81033674
  221   24969.31612260   25557.28420898
  222   24960.55708390   25547.91838730
  223   24970.65195837   25558.71261127
  224   24971.10511086   25559.19712164
  225   24967.63516176   25555.48659477
  226   24971.07997978   25559.17026299
  227   24968.04476273   25555.92471258
  228   24976.86177956   25565.35326996
  229   24973.42691002   25561.68004414
  230   24972.22532034   25560.39512931
  231   24962.06866491   25549.53454446
  232   24968.49293808   25556.40397350
  233   24971.73282878   25559.86851709
  234   24972.92186727   25561.13980930
  235   24968.24417607   25556.13783157
