polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
the distribution of models in this file comes from randomly drawing wind fit coefficients from Gaussians with means and standard deviations given by Sromovsky et al. Table 5 (Fit 1).
index         r_pol_km          r_eq_km
    0   24968.81855295   25556.60964774
    1   24968.22254546   25556.60747008
    2   24969.13923852   25556.60729162
    3   24968.16774527   25556.60752007
    4   24968.70475886   25556.60773915
    5   24968.39721843   25556.60732993
    6   24968.80316874   25556.60754652
    7   24968.55457279   25556.61325807
    8   24968.04010221   25556.60564436
    9   24968.93819431   25556.60811761
   10   24969.45633701   25556.61127225
   11   24968.91939873   25556.60757061
   12   24968.74555364   25556.60976611
   13   24968.34014364   25556.61174178
   14   24968.16302696   25556.60791647
   15   24969.03463300   25556.60605059
   16   24969.15352827   25556.61085630
   17   24968.13383127   25556.60774861
   18   24968.39026753   25556.60561232
   19   24968.90806720   25556.60791539
   20   24968.60645317   25556.61119487
   21   24968.65235666   25556.60556912
   22   24968.62474109   25556.60886451
   23   24968.64854215   25556.60587019
   24   24968.96087558   25556.60690262
   25   24968.56059558   25556.61097334
   26   24968.64909275   25556.61234734
   27   24968.67109416   25556.61296765
   28   24968.61341041   25556.60896864
   29   24968.41460876   25556.60780495
   30   24968.47268212   25556.60786574
   31   24968.16313750   25556.60652633
   32   24967.83948107   25556.61092154
   33   24968.83613941   25556.60827201
   34   24968.59305927   25556.60932747
   35   24968.48228693   25556.60863802
   36   24968.81347944   25556.60298263
   37   24968.53471704   25556.60992518
   38   24968.72488677   25556.60973746
   39   24968.33384294   25556.60793574
   40   24968.79530966   25556.60719959
   41   24969.65642049   25556.60514569
   42   24969.06453855   25556.61140955
   43   24968.54835057   25556.60699013
   44   24968.74942377   25556.60785303
   45   24968.34149788   25556.60871352
   46   24968.95770500   25556.60938190
   47   24968.50144504   25556.60926111
   48   24968.14319657   25556.60879897
   49   24968.20893745   25556.60465917
   50   24968.24140091   25556.61006813
   51   24969.01786627   25556.60626349
   52   24968.57819443   25556.60696321
   53   24968.67419229   25556.61030261
   54   24968.65045794   25556.60878283
   55   24968.70221021   25556.60793413
   56   24969.01269933   25556.60662631
   57   24968.77560580   25556.61136183
   58   24968.70023533   25556.60862551
   59   24969.11058548   25556.60708050
   60   24969.13500601   25556.60917644
   61   24968.88739119   25556.60940905
   62   24969.21506483   25556.60938586
   63   24969.29160687   25556.61199305
   64   24969.01816692   25556.60756451
   65   24968.55100710   25556.61027241
   66   24968.55257870   25556.60970785
   67   24968.60877049   25556.60892773
   68   24968.24854010   25556.60979470
   69   24968.29522050   25556.61028294
   70   24968.59900391   25556.60546523
   71   24968.90279476   25556.61051334
   72   24968.32439305   25556.61102822
   73   24969.01758566   25556.61128784
   74   24968.53474306   25556.60839517
   75   24968.12606735   25556.61026308
   76   24968.53263728   25556.60907668
   77   24968.32541468   25556.60638683
   78   24968.74482923   25556.61195428
   79   24968.50088152   25556.60685339
   80   24969.20635947   25556.60706424
   81   24969.24747993   25556.61056001
   82   24968.22289601   25556.60631929
   83   24968.84530887   25556.60806928
   84   24968.90092207   25556.60770028
   85   24968.77517832   25556.61176127
   86   24968.27600428   25556.61054735
   87   24967.98586488   25556.60795170
   88   24968.98753300   25556.60915441
   89   24968.88772661   25556.60701979
   90   24968.73958461   25556.61186945
   91   24968.72689333   25556.60656993
   92   24968.97513996   25556.60880405
   93   24968.72631503   25556.60836031
   94   24968.49518490   25556.60870939
   95   24969.06366301   25556.60847799
   96   24968.43778320   25556.60880990
   97   24967.88802524   25556.61040129
   98   24968.05778124   25556.61029840
   99   24968.55772238   25556.60985952
  100   24969.11533180   25556.61061969
  101   24968.85473735   25556.60773080
  102   24968.68203806   25556.61014301
  103   24968.66301147   25556.60818194
  104   24969.01736480   25556.61108028
  105   24969.03292805   25556.60927576
  106   24968.67396317   25556.61223309
  107   24968.43122832   25556.60905051
  108   24968.45274891   25556.61104015
  109   24969.04094346   25556.60680412
  110   24968.88963346   25556.60634242
  111   24968.71572583   25556.60845165
  112   24968.52542867   25556.60722775
  113   24968.90187093   25556.61263113
  114   24968.55727876   25556.61080035
  115   24969.41018989   25556.60567191
  116   24968.92888714   25556.60739290
  117   24968.45551424   25556.60646052
  118   24968.65140600   25556.60836744
  119   24969.27388413   25556.60907951
  120   24968.85877433   25556.60633295
  121   24969.20639820   25556.60936452
  122   24967.53160713   25556.61078516
  123   24968.36620736   25556.60982138
  124   24968.39869438   25556.60563754
  125   24968.69181088   25556.60898094
  126   24968.40584306   25556.60884842
  127   24969.27783177   25556.60692951
  128   24968.97675983   25556.60923563
  129   24968.54966583   25556.61203256
  130   24968.15620522   25556.60860072
  131   24969.25712427   25556.61181167
  132   24968.86260054   25556.61066808
  133   24968.61515071   25556.60760658
  134   24968.87619490   25556.60957585
  135   24968.67048196   25556.60876595
  136   24968.56144043   25556.60797107
  137   24968.46600377   25556.61247076
  138   24967.78735885   25556.60883554
  139   24968.21290722   25556.60737922
  140   24967.99568008   25556.61095939
  141   24968.91568117   25556.60749896
  142   24968.80998638   25556.60879685
  143   24968.63996875   25556.60823600
  144   24968.32050842   25556.61181503
  145   24968.61204186   25556.60520634
  146   24968.91152500   25556.60811864
  147   24968.91827964   25556.61005071
  148   24968.13942526   25556.60794080
  149   24968.70536482   25556.61079867
  150   24969.26467066   25556.60658302
  151   24968.36152378   25556.60754230
  152   24968.63918245   25556.60701678
  153   24968.78945954   25556.60662587
  154   24968.10141396   25556.60866795
  155   24968.66873994   25556.60929132
  156   24968.64637485   25556.61126659
  157   24967.96866842   25556.61304403
  158   24968.83541026   25556.61104370
  159   24968.83194699   25556.61110132
  160   24969.13686118   25556.60624649
  161   24968.66433644   25556.61241456
  162   24969.27993585   25556.60845734
  163   24968.69667961   25556.60975073
  164   24968.99729654   25556.60551373
  165   24969.23468991   25556.60770272
  166   24969.50446776   25556.60843104
  167   24968.04003742   25556.60658861
  168   24968.62682739   25556.60786353
  169   24968.84928133   25556.61198233
  170   24968.82370311   25556.60862290
  171   24968.80505197   25556.60799386
  172   24968.80710913   25556.61160409
  173   24968.86853392   25556.60714921
  174   24968.21527091   25556.60812727
  175   24968.91528406   25556.60604566
  176   24968.90656404   25556.60876417
  177   24968.71578218   25556.60690239
  178   24969.07402868   25556.60864060
  179   24968.84252123   25556.61114447
  180   24968.71386011   25556.60976428
  181   24968.74627604   25556.60803130
  182   24968.47320456   25556.61028314
  183   24968.64931132   25556.60986157
  184   24968.31091147   25556.61015410
  185   24968.79922678   25556.60545129
  186   24968.66775571   25556.60730911
  187   24968.63567363   25556.60594665
  188   24968.39159658   25556.60758827
  189   24968.15135875   25556.60950553
  190   24968.49413843   25556.60990494
  191   24968.50981749   25556.60880220
  192   24967.84606255   25556.60760128
  193   24968.65877186   25556.60616130
  194   24968.27241634   25556.61294421
  195   24968.45691774   25556.60761364
  196   24968.19454353   25556.60772102
  197   24968.48294362   25556.60978762
  198   24968.48503278   25556.61073583
  199   24968.36875148   25556.60674084
  200   24968.07459911   25556.60693152
  201   24968.85824959   25556.60521652
  202   24968.78435055   25556.60505347
  203   24968.34354471   25556.60953497
  204   24968.70021675   25556.60633802
  205   24968.90094928   25556.61115531
  206   24968.74903889   25556.60860819
  207   24968.09630642   25556.60893949
  208   24969.15878142   25556.60986470
  209   24969.25672565   25556.60475783
  210   24968.20861656   25556.60854554
  211   24968.67752573   25556.60950953
  212   24968.35560827   25556.60495894
  213   24969.32882930   25556.60864741
  214   24968.54017551   25556.61210218
  215   24968.41407742   25556.60903218
  216   24968.55013375   25556.60514755
  217   24968.69729585   25556.60575857
  218   24968.61530474   25556.61177310
  219   24968.84184696   25556.60971295
  220   24969.13032854   25556.60933789
  221   24968.51198170   25556.60904428
  222   24968.76571067   25556.60952902
  223   24968.27340835   25556.60724818
  224   24968.59173437   25556.61030704
  225   24968.54943060   25556.60971680
  226   24968.69056525   25556.60745363
  227   24968.99804079   25556.60712164
  228   24968.66031941   25556.60764949
  229   24968.55970120   25556.60906080
  230   24968.32438365   25556.61082349
  231   24969.08424793   25556.60981483
  232   24968.86358808   25556.60635089
  233   24968.25664073   25556.60946933
  234   24969.30646747   25556.60439927
  235   24968.87102749   25556.61082418
  236   24969.04548673   25556.60669508
  237   24968.67591933   25556.60834910
  238   24968.37200370   25556.60673563
  239   24969.05000595   25556.61127643
  240   24968.56085984   25556.60870379
  241   24968.88635372   25556.60569527
  242   24968.86740076   25556.61072739
  243   24968.90256270   25556.60930494
  244   24968.51066711   25556.60735125
  245   24968.68451362   25556.60643772
  246   24968.66534533   25556.61280921
  247   24968.78198918   25556.60898484
  248   24968.67238630   25556.60866538
  249   24969.06134953   25556.60880227
  250   24968.47985358   25556.60913003
  251   24969.03407427   25556.61010291
  252   24969.99962288   25556.60602492
  253   24968.62161736   25556.60734692
  254   24968.04210481   25556.60858484
  255   24968.32057301   25556.61005277
  256   24968.47752092   25556.60473175
  257   24968.24819449   25556.61132658
  258   24968.63694558   25556.60966665
  259   24968.31124744   25556.61077451
  260   24968.89847331   25556.61192467
  261   24968.69540854   25556.60574873
  262   24968.04854934   25556.60843522
  263   24968.19534854   25556.60701854
  264   24968.53361238   25556.60735964
  265   24968.52225443   25556.60658251
  266   24968.35741383   25556.60832745
  267   24968.92022786   25556.60965592
  268   24968.84074127   25556.60764797
  269   24968.49508892   25556.60952483
  270   24968.72362005   25556.61296783
  271   24968.82216353   25556.61045786
  272   24968.60690020   25556.60681815
  273   24968.20277490   25556.60517651
  274   24968.79648440   25556.61098562
  275   24967.82337197   25556.60764446
  276   24968.97284015   25556.60847374
  277   24968.39968228   25556.60551047
  278   24968.90020047   25556.60717003
  279   24968.57507529   25556.60837080
  280   24967.77891978   25556.60733447
  281   24968.94551741   25556.60712510
  282   24968.88620820   25556.60728004
  283   24968.67621818   25556.60741610
  284   24969.18119095   25556.60484491
  285   24968.68368760   25556.60797339
  286   24968.91412182   25556.60794473
  287   24969.43004250   25556.60888759
  288   24968.90973572   25556.60614910
  289   24968.77232275   25556.60715448
  290   24968.50037300   25556.60781528
  291   24968.34071565   25556.60877947
  292   24968.62788177   25556.61051913
  293   24968.48731034   25556.60758748
  294   24968.68802456   25556.60590028
