polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
    0        25007.357        25598.740       -6.924e+01
    1        25081.639        25678.221       -5.861e+02
    2        25149.763        25751.163       -1.505e+03
    3        25153.102        25754.740       -1.561e+03
    4        25007.357        25598.740       -6.924e+01
    5        25017.570        25609.664       -1.104e+02
    6        25149.763        25751.163       -1.505e+03
    7        25149.128        25750.483       -1.494e+03
    8        25006.485        25597.807       -6.618e+01
    9        25017.570        25609.664       -1.104e+02
   10        25123.389        25722.918       -1.099e+03
   11        25149.128        25750.483       -1.494e+03
   12        24962.808        25551.100       -1.457e+00
   13        25017.570        25609.664       -1.104e+02
   14        25110.991        25709.643       -9.298e+02
   15        25149.128        25750.483       -1.494e+03
   16        24962.808        25551.100       -1.457e+00
   17        25017.570        25609.664       -1.104e+02
   18        25110.991        25709.643       -9.298e+02
   19        25149.128        25750.483       -1.494e+03
   20        24962.808        25551.100       -1.457e+00
   21        25017.570        25609.664       -1.104e+02
   22        25110.991        25709.643       -9.298e+02
   23        25149.128        25750.483       -1.494e+03
   24        24962.808        25551.100       -1.457e+00
   25        25017.570        25609.664       -1.104e+02
   26        25091.979        25689.289       -6.982e+02
   27        25149.128        25750.483       -1.494e+03
   28        24962.808        25551.100       -1.457e+00
   29        25017.570        25609.664       -1.104e+02
   30        25091.979        25689.289       -6.982e+02
   31        25125.744        25725.439       -1.132e+03
   32        24962.808        25551.100       -1.457e+00
   33        24993.266        25583.669       -2.818e+01
   34        25091.979        25689.289       -6.982e+02
   35        25125.744        25725.439       -1.132e+03
   36        24962.808        25551.100       -1.457e+00
   37        24955.296        25543.068       -7.900e+00
   38        25091.979        25689.289       -6.982e+02
   39        25125.744        25725.439       -1.132e+03
   40        24962.808        25551.100       -1.457e+00
   41        24963.295        25551.620       -1.218e+00
   42        25073.962        25670.004       -5.093e+02
   43        25125.744        25725.439       -1.132e+03
   44        24962.919        25551.218       -1.401e+00
   45        24963.277        25551.600       -1.227e+00
   46        25019.011        25611.205       -1.169e+02
   47        25112.406        25711.158       -9.483e+02
   48        24962.919        25551.218       -1.401e+00
   49        24963.206        25551.525       -1.260e+00
   50        25019.011        25611.205       -1.169e+02
   51        25112.076        25710.805       -9.440e+02
   52        24962.919        25551.218       -1.401e+00
   53        24963.245        25551.567       -1.241e+00
   54        24998.688        25589.467       -4.183e+01
   55        25112.076        25710.805       -9.440e+02
   56        24962.919        25551.218       -1.401e+00
   57        24963.245        25551.567       -1.241e+00
   58        24970.295        25559.105       -1.676e-01
   59        25112.076        25710.805       -9.440e+02
   60        24962.919        25551.218       -1.401e+00
   61        24966.612        25555.166       -1.621e-01
   62        24970.295        25559.105       -1.676e-01
   63        25112.076        25710.805       -9.440e+02
   64        24962.919        25551.218       -1.401e+00
   65        24966.612        25555.166       -1.621e-01
   66        24970.295        25559.105       -1.676e-01
   67        25067.628        25663.224       -4.500e+02
   68        24962.708        25550.992       -1.510e+00
   69        24966.612        25555.166       -1.621e-01
   70        24970.295        25559.105       -1.676e-01
   71        25039.344        25632.958       -2.299e+02
   72        24962.599        25550.876       -1.567e+00
   73        24969.448        25558.199       -5.665e-02
   74        24970.275        25559.083       -1.643e-01
   75        25025.495        25618.142       -1.488e+02
   76        24962.599        25550.876       -1.567e+00
   77        24968.713        25557.413       -1.340e-02
   78        24970.275        25559.083       -1.643e-01
   79        25025.495        25618.142       -1.488e+02
   80        24962.236        25550.487       -1.767e+00
   81        24968.713        25557.413       -1.340e-02
   82        24970.275        25559.083       -1.643e-01
   83        25025.495        25618.142       -1.488e+02
   84        24965.235        25553.694       -4.785e-01
   85        24968.442        25557.123       -9.915e-03
   86        24968.227        25556.893       -1.194e-02
   87        25025.495        25618.142       -1.488e+02
   88        24966.531        25555.080       -1.759e-01
   89        24968.442        25557.123       -9.915e-03
   90        24968.202        25556.866       -1.245e-02
   91        25017.765        25609.872       -1.112e+02
   92        24964.662        25553.082       -6.609e-01
   93        24967.381        25555.989       -6.088e-02
   94        24970.107        25558.903       -1.373e-01
   95        25017.765        25609.872       -1.112e+02
   96        24964.662        25553.082       -6.609e-01
   97        24965.836        25554.337       -3.190e-01
   98        24970.107        25558.903       -1.373e-01
   99        25003.298        25594.398       -5.555e+01
  100        24964.662        25553.082       -6.609e-01
  101        24966.984        25555.564       -1.065e-01
  102        24971.641        25560.544       -4.789e-01
  103        24999.061        25589.866       -4.287e+01
  104        24965.631        25554.118       -3.697e-01
  105        24966.865        25555.437       -1.228e-01
  106        24971.641        25560.544       -4.789e-01
  107        24997.702        25588.413       -3.915e+01
  108        24960.033        25548.132       -3.237e+00
  109        24974.724        25563.841       -1.816e+00
  110        24971.641        25560.544       -4.789e-01
  111        24997.702        25588.413       -3.915e+01
  112        24959.055        25547.087       -4.031e+00
  113        24974.724        25563.841       -1.816e+00
  114        24971.032        25559.893       -3.177e-01
  115        24997.702        25588.413       -3.915e+01
  116        24959.055        25547.087       -4.031e+00
  117        24974.724        25563.841       -1.816e+00
  118        24971.032        25559.893       -3.177e-01
  119        24997.702        25588.413       -3.915e+01
  120        24959.055        25547.087       -4.031e+00
  121        24974.724        25563.841       -1.816e+00
  122        24972.238        25561.182       -6.698e-01
  123        24981.081        25570.638       -7.315e+00
  124        24959.055        25547.087       -4.031e+00
  125        24975.065        25564.205       -2.017e+00
  126        24972.238        25561.182       -6.698e-01
  127        24981.069        25570.625       -7.301e+00
  128        24959.055        25547.087       -4.031e+00
  129        24967.839        25556.479       -2.625e-02
  130        24973.766        25562.815       -1.307e+00
  131        24981.069        25570.625       -7.301e+00
  132        24961.949        25550.181       -1.933e+00
  133        24975.850        25565.044       -2.521e+00
  134        24971.374        25560.259       -4.041e-01
  135        24976.416        25565.649       -2.919e+00
  136        24961.949        25550.181       -1.933e+00
  137        24975.850        25565.044       -2.521e+00
  138        24967.844        25556.484       -2.597e-02
  139        24975.532        25564.704       -2.310e+00
  140        24961.949        25550.181       -1.933e+00
  141        24972.257        25561.202       -6.765e-01
  142        24967.844        25556.484       -2.597e-02
  143        24975.532        25564.704       -2.310e+00
  144        24962.308        25550.565       -1.726e+00
  145        24972.257        25561.202       -6.765e-01
  146        24967.844        25556.484       -2.597e-02
  147        24971.720        25560.628       -5.022e-01
  148        24964.366        25552.765       -7.671e-01
  149        24972.257        25561.202       -6.765e-01
  150        24967.022        25555.605       -1.014e-01
  151        24974.099        25563.172       -1.475e+00
  152        24964.366        25552.765       -7.671e-01
  153        24971.692        25560.599       -4.941e-01
  154        24967.022        25555.605       -1.014e-01
  155        24973.264        25562.279       -1.075e+00
  156        24969.074        25557.799       -2.846e-02
  157        24973.864        25562.921       -1.356e+00
  158        24967.670        25556.298       -3.678e-02
  159        24973.264        25562.279       -1.075e+00
  160        24965.302        25553.766       -4.589e-01
  161        24974.171        25563.249       -1.512e+00
  162        24967.012        25555.594       -1.028e-01
  163        24973.031        25562.030       -9.742e-01
  164        24964.967        25553.407       -5.602e-01
  165        24973.824        25562.878       -1.336e+00
  166        24967.012        25555.594       -1.028e-01
  167        24973.419        25562.445       -1.144e+00
  168        24965.040        25553.486       -5.372e-01
  169        24973.824        25562.878       -1.336e+00
  170        24967.050        25555.635       -9.784e-02
  171        24969.791        25558.566       -9.368e-02
  172        24965.040        25553.486       -5.372e-01
  173        24973.531        25562.564       -1.195e+00
  174        24966.735        25555.298       -1.423e-01
  175        24968.455        25557.137       -9.928e-03
  176        24963.282        25551.606       -1.224e+00
  177        24971.140        25560.009       -3.438e-01
  178        24967.361        25555.968       -6.277e-02
  179        24968.455        25557.137       -9.928e-03
  180        24965.121        25553.572       -5.124e-01
  181        24970.406        25559.223       -1.870e-01
  182        24967.361        25555.968       -6.277e-02
  183        24969.426        25558.176       -5.462e-02
