polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the French et al. (2024, Icarus 411) error ellipsoid,
followed by direct integration of Equation (3) from one of the Voyager 2 radio points reported in Lindal et al. 1987 to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
    0      24968.86365      25556.62051   3.50922928e-03  -3.56910470e-05   1.26726079e-06
    1      24968.91367      25556.62009   3.50897526e-03  -3.59162249e-05   2.31603087e-07
    2      24968.88543      25556.62067   3.50869497e-03  -3.61482228e-05   1.48336242e-06
    3      24968.86818      25556.62036   3.50920742e-03  -3.55297735e-05   1.01894125e-06
    4      24968.85219      25556.62084   3.50890760e-03  -3.58220631e-05   2.01968330e-06
    5      24968.86796      25556.62072   3.50894878e-03  -3.60105144e-05   1.62732505e-06
    6      24968.83721      25556.62070   3.50937621e-03  -3.55123521e-05   1.76344586e-06
    7      24968.86321      25556.62021   3.50948782e-03  -3.52653627e-05   7.51540042e-07
    8      24968.84632      25556.62079   3.50906530e-03  -3.56886063e-05   1.93961789e-06
    9      24968.88983      25556.62009   3.50929186e-03  -3.55453649e-05   3.59585767e-07
   10      24968.91900      25556.62013   3.50881035e-03  -3.60388433e-05   2.87220742e-07
   11      24968.90291      25556.62017   3.50897026e-03  -3.58257165e-05   4.58087657e-07
   12      24968.93485      25556.61966   3.50911017e-03  -3.56795298e-05  -6.57635905e-07
   13      24968.88928      25556.62014   3.50921470e-03  -3.55799737e-05   4.79893106e-07
   14      24968.94317      25556.61996   3.50867473e-03  -3.61644621e-05  -1.45574812e-07
   15      24968.86151      25556.62012   3.50963172e-03  -3.51408095e-05   5.75748564e-07
   16      24968.94419      25556.62015   3.50838777e-03  -3.64008264e-05   2.24909292e-07
   17      24968.89794      25556.62034   3.50883852e-03  -3.59708020e-05   7.88946952e-07
   18      24968.78140      25556.62165   3.50902489e-03  -3.57600280e-05   3.90683323e-06
   19      24968.93519      25556.62031   3.50844959e-03  -3.65051278e-05   5.24056073e-07
   20      24968.85689      25556.62066   3.50920157e-03  -3.58012802e-05   1.55096212e-06
   21      24968.88813      25556.62015   3.50924942e-03  -3.56327728e-05   4.72669293e-07
   22      24968.86319      25556.62043   3.50932948e-03  -3.55964846e-05   1.11341600e-06
   23      24968.89520      25556.62060   3.50865883e-03  -3.62409556e-05   1.29425636e-06
   24      24968.84160      25556.62073   3.50925730e-03  -3.56000628e-05   1.81624323e-06
   25      24968.82539      25556.62086   3.50929678e-03  -3.54916999e-05   2.17688023e-06
   26      24968.96894      25556.61946   3.50884608e-03  -3.59293073e-05  -1.20977400e-06
   27      24968.81082      25556.62052   3.50986927e-03  -3.49221005e-05   1.58424002e-06
   28      24968.83220      25556.62056   3.50958238e-03  -3.52754614e-05   1.54638220e-06
   29      24968.85813      25556.62066   3.50909369e-03  -3.57458971e-05   1.60189296e-06
   30      24968.82537      25556.62021   3.50998700e-03  -3.46938822e-05   9.72250732e-07
   31      24968.86789      25556.62057   3.50904638e-03  -3.57627773e-05   1.39088165e-06
   32      24968.93206      25556.62011   3.50879492e-03  -3.63260999e-05   7.67522027e-08
   33      24968.81086      25556.62087   3.50944526e-03  -3.52592364e-05   2.29903925e-06
   34      24968.85015      25556.62042   3.50947346e-03  -3.54276331e-05   1.15832207e-06
   35      24968.82435      25556.62065   3.50955344e-03  -3.52273926e-05   1.77509533e-06
   36      24968.88271      25556.62072   3.50865874e-03  -3.61658798e-05   1.60994198e-06
   37      24968.92838      25556.62008   3.50872038e-03  -3.60693574e-05   1.76039433e-07
   38      24968.91904      25556.62019   3.50880083e-03  -3.61560235e-05   3.46467920e-07
   39      24968.85522      25556.62105   3.50868385e-03  -3.61471880e-05   2.36654180e-06
   40      24968.83988      25556.62056   3.50942306e-03  -3.53416641e-05   1.53657947e-06
   41      24968.86759      25556.62042   3.50925862e-03  -3.56296084e-05   1.08138705e-06
   42      24968.93106      25556.61949   3.50938027e-03  -3.54357307e-05  -9.86964901e-07
   43      24968.87733      25556.62004   3.50947537e-03  -3.52791344e-05   3.67112100e-07
   44      24968.87654      25556.62042   3.50906035e-03  -3.56892852e-05   1.08547194e-06
   45      24968.80228      25556.62127   3.50915242e-03  -3.56070382e-05   3.07973114e-06
   46      24968.87220      25556.61981   3.50986339e-03  -3.49621160e-05  -8.76650796e-08
   47      24968.83748      25556.62058   3.50948695e-03  -3.53620669e-05   1.54750332e-06
   48      24968.87788      25556.62007   3.50950061e-03  -3.53565671e-05   3.70643181e-07
   49      24968.96721      25556.61919   3.50920352e-03  -3.56192334e-05  -1.74052657e-06
   50      24968.81473      25556.62076   3.50952404e-03  -3.51779306e-05   2.06297872e-06
   51      24968.79318      25556.62102   3.50959194e-03  -3.52175417e-05   2.62309796e-06
   52      24968.87607      25556.62045   3.50905741e-03  -3.57512895e-05   1.12798206e-06
   53      24968.80684      25556.62046   3.51001033e-03  -3.47887538e-05   1.48693261e-06
   54      24968.88042      25556.62093   3.50854579e-03  -3.64453692e-05   1.95942239e-06
   55      24968.90101      25556.62036   3.50878109e-03  -3.59755322e-05   8.48965937e-07
   56      24968.85483      25556.62060   3.50921189e-03  -3.56399462e-05   1.51040854e-06
   57      24968.84769      25556.62043   3.50949402e-03  -3.53955876e-05   1.18854854e-06
