shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.244781 -3.599057 -0.117234  0.852378  0.289859 -0.249673 -0.272671 -0.021675  0.086471  0.036530
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001217926 24968.2441290955
   -0.9998144712     1.5515331758    88.8963027451    88.9526274278     0.0009830512     0.0001217902 24968.4805644822
   -0.9996289425     1.5435536961    88.4391122386    88.5187489126     0.0013899222     0.0001217877 24968.7169566885
   -0.9994434137     1.5374305386    88.0882811581    88.1857931089     0.0017019046     0.0001217852 24968.9533090942
   -0.9992578850     1.5322682374    87.7925030866    87.9050739637     0.0019647324     0.0001217826 24969.1896213361
   -0.9990723562     1.5277199472    87.5319052508    87.6577339155     0.0021961245     0.0001217800 24969.4258928611
   -0.9988868275     1.5236077873    87.2962958471    87.4341019829     0.0024051708     0.0001217774 24969.6621231815
   -0.9987012987     1.5198260904    87.0796205724    87.2284332248     0.0025972708     0.0001217747 24969.8983118871
   -0.9985157699     1.5163060092    86.8779347757    87.0369847178     0.0027759452     0.0001217720 24970.1344586324
   -0.9983302412     1.5129997231    86.6884985354    86.8571566396     0.0029436392     0.0001217692 24970.3705631225
   -0.9981447124     1.5098724146    86.5093169626    86.6870561307     0.0031021337     0.0001217664 24970.6066251024
   -0.9979591837     1.5068978001    86.3388841007    86.5252542786     0.0032527732     0.0001217635 24970.8426443491
