shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.235650 -3.623158 -0.106032  0.834220  0.279658 -0.147820 -0.233746  0.041517  0.097552 -0.030411
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -1.0000000000     1.5707963268    90.0000000000    90.0000000000     0.0000000000     0.0001212303 24968.3928879046
   -0.9998144712     1.5515331758    88.8963027451    88.9522213054     0.0009759630     0.0001212317 24968.6276157911
   -0.9996289425     1.5435536961    88.4391122386    88.5181786352     0.0013799689     0.0001212331 24968.8623135395
   -0.9994434137     1.5374305386    88.0882811581    88.1850996767     0.0016898019     0.0001212345 24969.0969822967
   -0.9992578850     1.5322682374    87.7925030866    87.9042790851     0.0019508592     0.0001212358 24969.3316219552
   -0.9990723562     1.5277199472    87.5319052508    87.6568517930     0.0021807286     0.0001212372 24969.5662323379
   -0.9988868275     1.5236077873    87.2962958471    87.4331428901     0.0023884315     0.0001212385 24969.8008132859
   -0.9987012987     1.5198260904    87.0796205724    87.2274052257     0.0025793288     0.0001212398 24970.0353646648
   -0.9985157699     1.5163060092    86.8779347757    87.0358942678     0.0027569132     0.0001212412 24970.2698863603
   -0.9983302412     1.5129997231    86.6884985354    86.8560091429     0.0029236116     0.0001212425 24970.5043782743
   -0.9981447124     1.5098724146    86.5093169626    86.6858562191     0.0030811913     0.0001212438 24970.7388403214
   -0.9979591837     1.5068978001    86.3388841007    86.5240059933     0.0032309865     0.0001212450 24970.9732724263
