detailed model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Table 6.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000         -0.00012        24969.530
        -0.99981          1.55153         88.89630         88.95214          0.00097         -0.00012        24969.765
        -0.99963          1.54355         88.43911         88.51806          0.00138         -0.00012        24969.999
        -0.99944          1.53743         88.08828         88.18496          0.00169         -0.00012        24970.233
        -0.99926          1.53227         87.79250         87.90411          0.00195         -0.00012        24970.468
        -0.99907          1.52772         87.53191         87.65666          0.00218         -0.00012        24970.702
        -0.99889          1.52361         87.29630         87.43293          0.00238         -0.00012        24970.936
        -0.99870          1.51983         87.07962         87.22718          0.00258         -0.00012        24971.170
        -0.99852          1.51631         86.87793         87.03565          0.00275         -0.00012        24971.404
        -0.99833          1.51300         86.68850         86.85575          0.00292         -0.00012        24971.639
        -0.99814          1.50987         86.50932         86.68558          0.00308         -0.00012        24971.873
        -0.99796          1.50690         86.33888         86.52371          0.00323         -0.00012        24972.107
        -0.99592          1.48041         84.82152         85.08232          0.00455         -0.00012        24974.679
        -0.99388          1.46008         83.65660         83.97531          0.00556         -0.00012        24977.248
        -0.99184          1.44293         82.67402         83.04123          0.00641         -0.00012        24979.812
        -0.98980          1.42782         81.80791         82.21754          0.00715         -0.00012        24982.372
        -0.98776          1.41414         81.02449         81.47221          0.00781         -0.00012        24984.928
        -0.98571          1.40156         80.30368         80.78620          0.00842         -0.00012        24987.480
        -0.98367          1.38985         79.63242         80.14711          0.00898         -0.00012        24990.028
        -0.98163          1.37884         79.00164         79.54632          0.00951         -0.00012        24992.572
        -0.97959          1.36842         78.40473         78.97758          0.01000         -0.00012        24995.111
        -0.97755          1.35851         77.83669         78.43615          0.01046         -0.00012        24997.647
        -0.97551          1.34903         77.29366         77.91836          0.01090         -0.00012        25000.178
