detailed model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000         -0.00012        24968.435
        -0.99981          1.55153         88.89630         88.95213          0.00097         -0.00012        24968.670
        -0.99963          1.54355         88.43911         88.51805          0.00138         -0.00012        24968.904
        -0.99944          1.53743         88.08828         88.18495          0.00169         -0.00012        24969.138
        -0.99926          1.53227         87.79250         87.90412          0.00195         -0.00012        24969.373
        -0.99907          1.52772         87.53191         87.65668          0.00218         -0.00012        24969.607
        -0.99889          1.52361         87.29630         87.43296          0.00239         -0.00012        24969.841
        -0.99870          1.51983         87.07962         87.22722          0.00258         -0.00012        24970.075
        -0.99852          1.51631         86.87793         87.03570          0.00275         -0.00012        24970.310
        -0.99833          1.51300         86.68850         86.85581          0.00292         -0.00012        24970.544
        -0.99814          1.50987         86.50932         86.68566          0.00308         -0.00012        24970.778
        -0.99796          1.50690         86.33888         86.52381          0.00323         -0.00012        24971.012
        -0.99592          1.48041         84.82152         85.08263          0.00456         -0.00012        24973.587
        -0.99388          1.46008         83.65660         83.97584          0.00557         -0.00012        24976.159
        -0.99184          1.44293         82.67402         83.04196          0.00642         -0.00012        24978.728
        -0.98980          1.42782         81.80791         82.21845          0.00717         -0.00012        24981.293
        -0.98776          1.41414         81.02449         81.47325          0.00783         -0.00012        24983.855
        -0.98571          1.40156         80.30368         80.78733          0.00844         -0.00012        24986.413
        -0.98367          1.38985         79.63242         80.14828          0.00900         -0.00012        24988.966
        -0.98163          1.37884         79.00164         79.54750          0.00953         -0.00012        24991.516
        -0.97959          1.36842         78.40473         78.97873          0.01002         -0.00012        24994.060
        -0.97755          1.35851         77.83669         78.43723          0.01048         -0.00012        24996.601
        -0.97551          1.34903         77.29366         77.91933          0.01092         -0.00012        24999.136
        -0.97347          1.33993         76.77255         77.42213          0.01134         -0.00012        25001.667
        -0.97143          1.33118         76.27087         76.94326          0.01174         -0.00012        25004.192
        -0.96939          1.32272         75.78655         76.48078          0.01212         -0.00012        25006.713
        -0.96735          1.31455         75.31789         76.03305          0.01248         -0.00012        25009.229
        -0.96531          1.30661         74.86342         75.59871          0.01283         -0.00012        25011.741
        -0.96327          1.29891         74.42190         75.17658          0.01317         -0.00012        25014.247
        -0.96122          1.29141         73.99227         74.76565          0.01350         -0.00012        25016.749
        -0.95918          1.28410         73.57358         74.36505          0.01381         -0.00012        25019.245
        -0.95714          1.27697         73.16502         73.97399          0.01412         -0.00012        25021.737
        -0.95510          1.27000         72.76587         73.59180          0.01442         -0.00012        25024.225
        -0.95306          1.26319         72.37549         73.21788          0.01470         -0.00012        25026.707
        -0.95102          1.25652         71.99331         72.85169          0.01498         -0.00012        25029.185
        -0.94898          1.24998         71.61881         72.49275          0.01525         -0.00012        25031.659
        -0.94694          1.24357         71.25154         72.14062          0.01552         -0.00012        25034.128
        -0.94490          1.23728         70.89108         71.79490          0.01577         -0.00012        25036.592
        -0.94286          1.23110         70.53705         71.45524          0.01603         -0.00012        25039.052
        -0.94082          1.22503         70.18910         71.12132          0.01627         -0.00012        25041.508
        -0.93878          1.21906         69.84693         70.79283          0.01651         -0.00012        25043.960
