detailed model output for Uranus's 1-bar reference geoid, assuming rigid rotation with period 17.25 h.
see uranus_model_symmetric_wind.txt for the corresponding shape model including the effect of the latitudinally varying atmospheric rotation.
that model used the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2) and this reference geoid satisfies the same r_pol.
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
        -1.00000          1.57080         90.00000         90.00000          0.00000          0.00010        24968.435
        -0.99981          1.55153         88.89630         88.93885          0.00074          0.00010        24968.614
        -0.99963          1.54355         88.43911         88.49928          0.00105          0.00010        24968.793
        -0.99944          1.53743         88.08828         88.16195          0.00129          0.00010        24968.971
        -0.99926          1.53227         87.79250         87.87755          0.00148          0.00010        24969.150
        -0.99907          1.52772         87.53191         87.62697          0.00166          0.00010        24969.328
        -0.99889          1.52361         87.29630         87.40042          0.00182          0.00010        24969.507
        -0.99870          1.51983         87.07962         87.19206          0.00196          0.00010        24969.685
        -0.99852          1.51631         86.87793         86.99811          0.00210          0.00010        24969.864
        -0.99833          1.51300         86.68850         86.81594          0.00222          0.00010        24970.042
        -0.99814          1.50987         86.50932         86.64362          0.00234          0.00010        24970.220
        -0.99796          1.50690         86.33888         86.47972          0.00246          0.00010        24970.399
        -0.99592          1.48041         84.82152         85.02023          0.00347          0.00010        24972.359
        -0.99388          1.46008         83.65660         83.89940          0.00424          0.00010        24974.315
        -0.99184          1.44293         82.67402         82.95374          0.00488          0.00010        24976.268
        -0.98980          1.42782         81.80791         82.11991          0.00545          0.00010        24978.218
        -0.98776          1.41414         81.02449         81.36547          0.00595          0.00010        24980.164
        -0.98571          1.40156         80.30368         80.67112          0.00641          0.00010        24982.108
        -0.98367          1.38985         79.63242         80.02432          0.00684          0.00010        24984.047
        -0.98163          1.37884         79.00164         79.41633          0.00724          0.00010        24985.983
        -0.97959          1.36842         78.40473         78.84082          0.00761          0.00010        24987.916
        -0.97755          1.35851         77.83669         78.29299          0.00796          0.00010        24989.846
        -0.97551          1.34903         77.29366         77.76913          0.00830          0.00010        24991.772
        -0.97347          1.33993         76.77255         77.26626          0.00862          0.00010        24993.694
        -0.97143          1.33118         76.27087         76.78200          0.00892          0.00010        24995.613
        -0.96939          1.32272         75.78655         76.31437          0.00921          0.00010        24997.529
        -0.96735          1.31455         75.31789         75.86171          0.00949          0.00010        24999.442
        -0.96531          1.30661         74.86342         75.42264          0.00976          0.00010        25001.351
        -0.96327          1.29891         74.42190         74.99596          0.01002          0.00010        25003.256
        -0.96122          1.29141         73.99227         74.58064          0.01027          0.00010        25005.158
        -0.95918          1.28410         73.57358         74.17578          0.01051          0.00010        25007.057
        -0.95714          1.27697         73.16502         73.78061          0.01074          0.00010        25008.952
        -0.95510          1.27000         72.76587         73.39442          0.01097          0.00010        25010.844
        -0.95306          1.26319         72.37549         73.01661          0.01119          0.00010        25012.732
        -0.95102          1.25652         71.99331         72.64663          0.01140          0.00010        25014.617
        -0.94898          1.24998         71.61881         72.28398          0.01161          0.00010        25016.498
        -0.94694          1.24357         71.25154         71.92823          0.01181          0.00010        25018.376
        -0.94490          1.23728         70.89108         71.57897          0.01201          0.00010        25020.251
        -0.94286          1.23110         70.53705         71.23585          0.01220          0.00010        25022.122
        -0.94082          1.22503         70.18910         70.89853          0.01238          0.00010        25023.989
        -0.93878          1.21906         69.84693         70.56670          0.01256          0.00010        25025.853
        -0.93673          1.21318         69.51023         70.24010          0.01274          0.00010        25027.714
        -0.93469          1.20740         69.17874         69.91846          0.01291          0.00010        25029.571
        -0.93265          1.20170         68.85223         69.60155          0.01308          0.00010        25031.425
        -0.93061          1.19608         68.53045         69.28915          0.01324          0.00010        25033.275
        -0.92857          1.19055         68.21321         68.98107          0.01340          0.00010        25035.122
        -0.92653          1.18508         67.90030         68.67711          0.01356          0.00010        25036.965
        -0.92449          1.17970         67.59155         68.37710          0.01371          0.00010        25038.805
        -0.92245          1.17438         67.28677         68.08087          0.01386          0.00010        25040.641
        -0.92041          1.16912         66.98583         67.78828          0.01401          0.00010        25042.474
        -0.91837          1.16393         66.68855         67.49919          0.01415          0.00010        25044.303
        -0.91633          1.15881         66.39482         67.21345          0.01429          0.00010        25046.129
        -0.91429          1.15374         66.10449         66.93095          0.01442          0.00010        25047.951
        -0.91224          1.14873         65.81745         66.65156          0.01456          0.00010        25049.769
        -0.91020          1.14378         65.53357         66.37518          0.01469          0.00010        25051.585
        -0.90816          1.13888         65.25275         66.10170          0.01482          0.00010        25053.396
        -0.90612          1.13403         64.97488         65.83103          0.01494          0.00010        25055.204
        -0.90408          1.12923         64.69988         65.56306          0.01507          0.00010        25057.009
        -0.90204          1.12447         64.42763         65.29771          0.01519          0.00010        25058.810
        -0.90000          1.11977         64.15807         65.03489          0.01530          0.00010        25060.607
        -0.89796          1.11511         63.89109         64.77454          0.01542          0.00010        25062.401
        -0.89592          1.11049         63.62664         64.51656          0.01553          0.00010        25064.192
        -0.89388          1.10592         63.36462         64.26090          0.01564          0.00010        25065.979
        -0.89184          1.10139         63.10497         64.00747          0.01575          0.00010        25067.762
        -0.88980          1.09690         62.84761         63.75622          0.01586          0.00010        25069.542
        -0.88776          1.09245         62.59250         63.50708          0.01596          0.00010        25071.318
        -0.88571          1.08803         62.33955         63.26000          0.01606          0.00010        25073.091
        -0.88367          1.08365         62.08872         63.01491          0.01617          0.00010        25074.860
        -0.88163          1.07931         61.83994         62.77177          0.01626          0.00010        25076.625
        -0.87959          1.07500         61.59317         62.53051          0.01636          0.00010        25078.387
        -0.87755          1.07073         61.34834         62.29110          0.01645          0.00010        25080.146
        -0.87551          1.06649         61.10542         62.05348          0.01655          0.00010        25081.901
